"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","COM_LAST_PRICE","COM_52W_LOW","COM_52W_HIGH","COM_6M_PRICE","COM_3M_PRICE","COM_5Y_LOW","COM_5Y_HIGH","COM_MKTCAP","CRDT_SCORE","COM_FEB2020_PRICE","COM_MAR2020_PRICE","COM_5Y_LOW_CHG","COM_5Y_HIGH_CHG","COM_52W_LOW_CHG","COM_52W_HIGH_CHG","COM_6M_CHG","COM_3M_CHG","COM_FEB2020_CHG","COM_MAR2020_CHG","5Y_LOW_SKOR","5Y_HIGH_SKOR","52W_LOW_SKOR","52W_HIGH_SKOR","COM_6M_SKOR","COM_3M_SKOR","FEB2020_SKOR","MAR2020_SKOR","Normalized_5Y_LOW","Normalized_5Y_HIGH","Normalized_52W_LOW","Normalized_52W_HIGH","Normalized_COM_6M","Normalized_COM_3M","Normalized_FEB2020","Normalized_MAR2020"
"VLYPN","VLYPN","VLY","NFF","","8.000000","06/12/2025","9/30/2029","NONE","0.520000","8.25%","","","559.85","Regionalbank","","86.000000","","","","","","24.760000","","","","","","","23.750000","26.850000","23.750000","26.880000","24.740000","8.530000","6.470000","11.100000","9.920000","8.840000","6.380000","15.100000","4.775520","8.000000","10.820000","6.800000","0.336991","-0.435099","0.318393","-0.231532","-0.140121","-0.035068","-0.211645","0.254412","","4078.447294","","272.642263","58.747176","52.202428","243.997545","179.410033","","70.774671","","95.521563","56.308477","65.890998","12.644597","12.272800"
"VLYPO","VLYPO","VLY","FF","","8.000000","06/13/2025","9/30/2022","NONE","0.520000","5.50%","","","559.85","Regionalbank","","87.000000","","","","","","24.620000","","","24.840000","24.790000","-0.870000","-0.670000","22.730000","25.770000","20.040000","26.010000","24.600000","8.530000","6.470000","11.100000","9.920000","8.840000","6.380000","15.100000","4.775520","8.000000","10.820000","6.800000","0.336991","-0.435099","0.318393","-0.231532","-0.140121","-0.035068","-0.211645","0.254412","","4078.447294","","272.642263","58.747176","52.202428","243.997545","179.410033","","70.774671","","95.521563","56.308477","65.890998","12.644597","12.272800"
"VLYPP","VLYPP","VLY","NFF","","8.000000","06/13/2025","6/30/2025","NONE","0.390000","6.25%","","","559.85","Regionalbank","","87.000000","","","","","","24.720000","","","24.670000","24.160000","0.190000","2.320000","21.710000","25.680000","16.760000","25.680000","24.710000","8.530000","6.470000","11.100000","9.920000","8.840000","6.380000","15.100000","4.775520","8.000000","10.820000","6.800000","0.336991","-0.435099","0.318393","-0.231532","-0.140121","-0.035068","-0.211645","0.254412","","4078.447294","","272.642263","58.747176","52.202428","243.997545","179.410033","","70.774671","","95.521563","56.308477","65.890998","12.644597","12.272800"
"VOYA PRB","VOYA-B","VOYA","NFF","","10.000000","05/27/2025","9/15/2029","NONE","0.330000","5.35%","","","96.09","Financialconglomerates","","70.000000","","","","","","23.710000","","","24.160000","24.650000","-1.880000","-3.800000","22.810000","26.630000","19.830000","26.630000","23.640000","66.400000","52.430000","84.300000","68.070000","67.440000","44.810000","84.300000","6.380376","10.000000","62.240000","31.930000","0.481812","-0.212337","0.266451","-0.212337","-0.024534","-0.015421","0.066838","1.079549","","5699.061822","","280.232818","70.004711","53.774329","339.019830","313.868539","","98.500380","","98.153111","66.907064","67.844973","17.179463","20.721179"
"WAL PRA","WAL-A","WAL","NFF","","8.000000","06/13/2025","9/30/2026","NONE","0.270000","4.25%","","","110.43","Regionalbank","","87.000000","","","","","","21.910000","","","21.830000","20.870000","0.350000","4.990000","19.570000","23.000000","13.560000","23.000000","21.900000","71.310000","57.050000","98.100000","88.330000","77.080000","7.460000","124.930000","7.874763","8.000000","56.310000","26.330000","8.558981","-0.429200","0.249956","-0.273089","-0.192687","-0.074857","0.266383","1.708318","","4121.362884","","256.208411","53.627600","49.018950","407.107153","416.328188","","71.508877","","89.824158","51.488569","61.933730","20.428879","27.158986"
"WBS PRG","WBS-G","WBS","","","10.000000","06/30/2025","4/15/2018","NONE","0.410000","6.50%","25.240000","20.250000","168.44","Regionalbank","","14.000000","","","","","","23.180000","2.930000","-2.060000","23.280000","23.630000","-0.420000","-1.910000","21.260000","25.260000","18.120000","25.260000","22.830000","51.940000","39.330000","63.990000","57.710000","50.860000","23.670000","65.000000","8.748774","10.000000","46.680000","20.200000","1.194339","-0.200923","0.320620","-0.188311","-0.099983","0.021235","0.112682","1.571287","","5782.098236","","254.965947","62.656411","56.707097","354.662449","393.998691","","99.920979","","89.393412","59.988889","71.490594","17.925995","25.755965"
"WCC PRA","WCC-A","WCC","NFF","","8.000000","06/13/2025","6/22/2025","NONE","0.660000","10.63%","","","48.81","Industrialdistribution","","87.000000","","","","","","25.570000","","","25.530000","25.840000","0.170000","-1.060000","25.240000","26.250000","25.240000","27.390000","25.550000","173.270000","125.200000","216.170000","186.130000","163.590000","32.040000","216.170000","8.457309","8.000000","47.270000","17.640000","4.407928","-0.198455","0.383946","-0.198455","-0.069091","0.059172","2.665538","8.822562","","5104.047763","","251.435773","65.665030","59.742411","1225.732168","1575.615007","","88.320793","","88.169546","62.821402","75.263686","59.497134","100.000000"
"WHFCL","WHFCL","WHF","","BB","8.000000","05/28/2025","9/15/2025","9/15/2028","0.490000","7.88%","","24.850000","23.24","Assetmanagement","","71.000000","","","","","","25.140000","0.290000","","25.310000","25.340000","-0.660000","-0.800000","25.000000","25.730000","24.540000","27.410000","25.040000","9.240000","8.430000","13.280000","10.610000","10.160000","8.430000","16.720000","0.214738","8.000000","14.000000","7.640000","0.096085","-0.447368","0.096085","-0.304217","-0.129123","-0.090551","-0.340000","0.209424","3.864937","3989.188736","3.864937","243.898714","59.818268","47.763311","250.251359","172.079160","66.562031","69.247622","66.562031","85.556545","57.316873","60.372889","12.943056","11.812182"
"WSBCP","WSBCP","WSBC","NFF","","8.000000","07/28/2025","11/15/2025","NONE","0.420000","6.75%","","","95.79","Regionalbank","","42.000000","","","","","","25.200000","","","25.140000","25.050000","0.230000","0.590000","24.420000","25.600000","21.800000","25.600000","24.980000","30.440000","25.930000","37.360000","34.530000","31.980000","18.350000","41.370000","2.915848","8.000000","34.440000","20.840000","0.658856","-0.264201","0.173930","-0.185225","-0.118448","-0.048155","-0.116144","0.460653","","5321.745494","","256.039810","60.858023","51.155343","276.583830","213.017574","","92.045197","","89.765706","58.295767","64.589405","14.199753","14.384450"
"WTFCM","WTFCM","WTFC","NFF","","8.000000","07/01/2025","7/15/2025","NONE","0.410000","6.50%","","","66.87","Regionalbank","","15.000000","","","","","","25.300000","","","25.090000","24.930000","0.840000","1.480000","24.340000","25.500000","20.460000","25.500000","24.960000","117.990000","89.100000","142.040000","130.250000","112.510000","37.280000","142.040000","7.889991","8.000000","64.150000","30.620000","2.164968","-0.169319","0.324242","-0.169319","-0.094127","0.048707","0.839283","2.853364","","5290.581152","","261.575177","63.226750","58.905082","602.588659","602.916803","","91.512033","","91.684747","60.525844","74.222832","29.758085","38.882835"
