"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","COM_LAST_PRICE","COM_52W_LOW","COM_52W_HIGH","COM_6M_PRICE","COM_3M_PRICE","COM_5Y_LOW","COM_5Y_HIGH","COM_MKTCAP","CRDT_SCORE","COM_FEB2020_PRICE","COM_MAR2020_PRICE","COM_5Y_LOW_CHG","COM_5Y_HIGH_CHG","COM_52W_LOW_CHG","COM_52W_HIGH_CHG","COM_6M_CHG","COM_3M_CHG","COM_FEB2020_CHG","COM_MAR2020_CHG","5Y_LOW_SKOR","5Y_HIGH_SKOR","52W_LOW_SKOR","52W_HIGH_SKOR","COM_6M_SKOR","COM_3M_SKOR","FEB2020_SKOR","MAR2020_SKOR","Normalized_5Y_LOW","Normalized_5Y_HIGH","Normalized_52W_LOW","Normalized_52W_HIGH","Normalized_COM_6M","Normalized_COM_3M","Normalized_FEB2020","Normalized_MAR2020"
"SOJF","SOJF","SO","","","12.000000","06/13/2025","3/15/2030","3/15/2085","0.410000","6.50%","","","1098.51","Utility","","87.000000","","","","","","25.410000","","","","","","","24.920000","26.990000","24.920000","26.990000","25.400000","90.680000","76.960000","94.450000","83.280000","90.540000","50.400000","94.450000","99.612887","12.000000","68.440000","46.360000","0.799206","-0.039915","0.178274","-0.039915","0.088857","0.001546","0.324956","0.955997","","25.982621","","26.060682","81.048275","55.131858","427.093286","293.735307","","1.444514","","10.034903","77.304206","69.532470","21.382702","19.456155"
"SPMA","SPMA","SPMC","","","8.000000","05/15/2025","11/30/2026","11/30/2029","0.170000","8.00%","","","20.27","Assetmanagement","","58.000000","","","","","","24.810000","","","","","","","23.670000","25.200000","23.670000","25.200000","24.750000","17.780000","16.250000","22.300000","20.800000","21.090000","16.250000","22.300000","0.360401","8.000000","","","0.094154","-0.202691","0.094154","-0.202691","-0.145192","-0.156946","","","3.792042","5769.239489","3.792042","284.047469","58.253257","42.451152","","","65.325494","99.700990","65.325494","99.475601","55.843469","53.769531","",""
"SPNT PRB","SPNT-B","SPNT","NFF","","9.000000","05/15/2025","2/26/2026","NONE","0.500000","8.00%","","","116.79","Insurance","","58.000000","","","","","","25.260000","","","25.220000","25.340000","0.150000","-0.330000","24.750000","25.780000","24.310000","25.780000","25.080000","19.400000","11.920000","19.870000","15.140000","15.110000","4.070000","19.870000","2.265726","9.000000","","","3.766585","-0.023654","0.627517","-0.023654","0.281374","0.283918","","","","25.586950","","25.633977","99.798299","77.723890","","","","1.437745","","9.886970","94.956719","97.615829","",""
"SSSSL","SSSSL","SSSS","","BB","8.000000","06/13/2025","12/30/2024","12/30/2026","0.380000","6.00%","24.750000","23.350000","23.55","Assetmanagement","","87.000000","","","","","","24.550000","1.200000","-0.200000","24.610000","24.470000","-0.250000","0.310000","24.160000","25.400000","22.390000","25.400000","24.540000","7.350000","3.520000","7.830000","6.050000","6.030000","2.900000","16.400000","0.173093","8.000000","","","1.534483","-0.551829","1.088068","-0.061303","0.214876","0.218905","","","","3229.227756","","26.611026","93.321803","72.522364","","","","56.246099","","10.225700","88.859316","91.149995","",""
"SWKHL","SWKHL","SWKH","","BB","8.000000","06/13/2025","Anytime","1/31/2027","0.560000","9.00%","","24.800000","12.27","Assetmanagement","","87.000000","","","","","","25.270000","0.470000","","25.260000","25.340000","0.020000","-0.280000","24.590000","25.780000","24.470000","25.880000","25.250000","14.270000","13.170000","20.490000","16.550000","15.850000","11.560000","20.500000","0.175093","8.000000","13.900000","9.100000","0.234429","-0.303902","0.083523","-0.303563","-0.137764","-0.099685","0.026619","0.568132","","5032.915178","3.390853","244.157400","58.976697","47.032568","325.296437","230.531633","","87.103846","58.520005","85.646228","56.524562","59.464528","16.524525","15.484904"
"SYF PRB","SYF-B","SYF","NFF","","8.000000","08/04/2025","5/15/2029","NONE","0.520000","8.25%","","","380.67","Creditservices","","49.000000","","","","","","25.000000","","","25.050000","25.560000","-0.190000","-2.190000","23.300000","26.710000","23.300000","26.710000","24.760000","59.390000","40.540000","70.930000","67.190000","53.440000","21.040000","70.930000","22.607991","8.000000","33.270000","13.410000","1.822719","-0.162696","0.464973","-0.162696","-0.116089","0.111340","0.785092","3.428784","","5332.981335","","263.879926","61.087778","63.916236","584.097857","696.683270","","92.237422","","92.483774","58.512074","80.452020","28.875625","44.774427"
"TFC PRI","TFC-I","TFC","FLR","","11.500000","08/08/2025","9/15/2011","NONE","0.320000","4.00%","","","1308.21","Regionalbank","","53.000000","","","","","","21.050000","","","22.630000","23.110000","-6.970000","-8.920000","20.400000","24.330000","19.320000","25.350000","20.920000","38.830000","33.560000","49.060000","45.130000","41.050000","25.560000","68.950000","50.797794","11.500000","54.330000","30.040000","0.519171","-0.436838","0.157032","-0.208520","-0.139597","-0.054080","-0.285294","0.292610","","4065.796288","","281.742144","58.798235","50.681272","273.584590","185.634522","","70.558235","","98.676375","56.356546","64.000103","14.056616","12.663901"
"TFINP","TFINP","TFIN","","","8.000000","06/13/2025","6/30/2025","NONE","0.450000","7.13%","25.470000","19.200000","23.50","Regionalbank","","87.000000","","","","","","21.850000","2.650000","-3.620000","22.000000","22.590000","-0.690000","-3.260000","20.260000","24.400000","18.250000","24.400000","21.840000","57.310000","42.900000","110.580000","97.230000","60.810000","21.260000","136.020000","1.346785","8.000000","","","1.695673","-0.578665","0.335897","-0.481733","-0.410573","-0.057556","","","","3033.996382","","173.699760","40.508433","50.403169","","","","52.906052","","61.219471","39.137318","63.654403","",""
"TFSA","TFSA","-","","","8.000000","06/13/2025","2/10/2023","3/31/2026","0.440000","7.00%","","","-","-","","87.000000","","","","","","24.820000","","","24.550000","24.060000","1.120000","3.150000","23.510000","26.850000","21.600000","27.580000","24.810000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TPGXL","TPGXL","TPG","","BB","12.000000","05/29/2025","3/15/2029","3/15/2064","0.430000","6.95%","","","110.28","Assetmanagement","","72.000000","","","","","","24.700000","","","24.810000","25.550000","-0.440000","-3.340000","23.530000","26.430000","23.530000","27.000000","24.610000","49.820000","37.520000","72.980000","66.520000","49.510000","23.090000","72.980000","5.494150","12.000000","","","1.157644","-0.317347","0.327825","-0.317347","-0.251052","0.006261","","","","4935.103337","","238.706293","59.928892","55.509103","","","","85.430467","","83.756399","57.421022","70.001410","",""
"TRINI","TRINI","TRIN","","BB","8.000000","06/12/2025","9/30/2026","9/30/2029","0.490000","7.88%","","","64.65","Assetmanagement","","86.000000","","","","","","25.090000","","","","","","","24.660000","25.650000","24.050000","26.880000","25.070000","14.560000","12.500000","16.820000","14.440000","16.060000","10.230000","20.260000","0.941304","8.000000","","","0.423265","-0.281343","0.164800","-0.134364","0.008310","-0.093400","","","","5197.040189","","273.739312","73.203506","47.535403","","","","89.911721","","95.901896","69.918622","60.089584","",""
"TRTN PRA","TRTN-A","-","","","9.000000","06/09/2025","3/15/2024","NONE","0.530000","8.50%","26.490000","25.000000","-","-","","83.000000","","","","","","25.400000","0.400000","-1.090000","25.370000","25.660000","0.110000","-1.000000","23.960000","26.250000","23.960000","26.830000","25.360000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRTN PRB","TRTN-B","-","","","9.000000","06/09/2025","9/15/2024","NONE","0.500000","8.00%","26.630000","23.670000","-","-","","83.000000","","","","","","24.110000","0.440000","-2.520000","24.760000","25.110000","-2.620000","-3.970000","22.750000","25.700000","22.750000","25.950000","24.070000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
