"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CGRUP","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","COM_LAST_PRICE","COM_52W_LOW","COM_52W_HIGH","COM_6M_PRICE","COM_3M_PRICE","COM_5Y_LOW","COM_5Y_HIGH","COM_MKTCAP","CRDT_SCORE","COM_FEB2020_PRICE","COM_MAR2020_PRICE","COM_5Y_LOW_CHG","COM_5Y_HIGH_CHG","COM_52W_LOW_CHG","COM_52W_HIGH_CHG","COM_6M_CHG","COM_3M_CHG","COM_FEB2020_CHG","COM_MAR2020_CHG","5Y_LOW_SKOR","5Y_HIGH_SKOR","52W_LOW_SKOR","52W_HIGH_SKOR","COM_6M_SKOR","COM_3M_SKOR","FEB2020_SKOR","MAR2020_SKOR","Normalized_5Y_LOW","Normalized_5Y_HIGH","Normalized_52W_LOW","Normalized_52W_HIGH","Normalized_COM_6M","Normalized_COM_3M","Normalized_FEB2020","Normalized_MAR2020","52W_HIGH_CHG","5Y_HIGH_CHG","52W_LOW_CHG","5Y_LOW_CHG","5Y_CHG","5Y CHG SKOR","52W_CHG","52W CHG SKOR","TOTAL_HIGH_SCORE","3M_PERF","6M_PERF","RECENT_TOTAL","MKTCAP_NORM","CRDT_NORM","SOLIDITY_SCORE","H2020_SKOR","H2020_NORM","L2020_SKOR","L2020_NORM","COM_6M_NORM","COM_3M_NORM","MKTCAP_RANGE"
"COF PRK","COF","","10","11/13/2024","","","0.290000","4.63%","22.170000","14.990000","c450","17.100000","2.110000","-5.070000","17.700000","18.750000","-3.380000","-8.800000","16.460000","21.070000","14.640000","21.070000","55.000000","16.990000","192.900000","128.220000","210.670000","181.180000","165.260000","57.300000","210.670000","123.440000","10.000000","101.950000","45.010000","2.366492","-0.084350","0.504445","-0.084350","0.064687","0.167252","0.892104","3.285714","90.000000","82.408506","50.355639","82.408506","2.577576","4.191455","105.923083","159.934319","87.421313","6.734437","91.089423","98.429685","72.186849","100.000000","49.965319","54.762557","-0.084350","-0.084350","0.504445","2.366492","2.366492","39.852980","0.504445","57.199655","82.408506","0.167252","0.064687","0.231939","86.172000","30.700000","74.358653","47.359417","60.810162","42.684450","57.150987","75.625636","100.000000","<1B USD"
"COF PRL","COF","","10","11/13/2024","","","0.270000","4.38%","20.060000","13.840000","c425","16.190000","2.350000","-3.870000","16.720000","17.750000","-3.180000","-8.760000","15.420000","20.160000","13.570000","20.160000","55.000000","16.090000","192.900000","128.220000","210.670000","181.180000","165.260000","57.300000","210.670000","123.440000","10.000000","101.950000","45.010000","2.366492","-0.084350","0.504445","-0.084350","0.064687","0.167252","0.892104","3.285714","90.000000","82.408506","50.355639","82.408506","2.577576","4.191455","105.923083","159.934319","87.421313","6.734437","91.089423","98.429685","72.186849","100.000000","49.965319","54.762557","-0.084350","-0.084350","0.504445","2.366492","2.366492","39.852980","0.504445","57.199655","82.408506","0.167252","0.064687","0.231939","86.172000","30.700000","74.358653","47.359417","60.810162","42.684450","57.150987","75.625636","100.000000","<1B USD"
"COF PRN","COF","","10","11/13/2024","","","0.270000","4.25%","19.940000","13.680000","c425","16.210000","2.530000","-3.730000","16.460000","17.280000","-1.530000","-6.210000","15.150000","19.810000","13.260000","19.810000","55.000000","16.110000","192.900000","128.220000","210.670000","181.180000","165.260000","57.300000","210.670000","123.440000","10.000000","101.950000","45.010000","2.366492","-0.084350","0.504445","-0.084350","0.064687","0.167252","0.892104","3.285714","90.000000","82.408506","50.355639","82.408506","2.577576","4.191455","105.923083","159.934319","87.421313","6.734437","91.089423","98.429685","72.186849","100.000000","49.965319","54.762557","-0.084350","-0.084350","0.504445","2.366492","2.366492","39.852980","0.504445","57.199655","82.408506","0.167252","0.064687","0.231939","86.172000","30.700000","74.358653","47.359417","60.810162","42.684450","57.150987","75.625636","100.000000","<1B USD"
"CUBB","CUBI","BB","NR","12/13/2024","","","0.340000","5.38%","23.560000","18.750000","c525","19.930000","1.180000","-3.630000","19.860000","19.980000","0.370000","-0.250000","18.300000","21.850000","16.750000","22.000000","85.000000","19.910000","50.350000","40.750000","68.490000","51.490000","50.990000","6.870000","76.130000","1.590000","","19.790000","10.180000","6.328967","-0.338631","0.235583","-0.264856","-0.022140","-0.012551","1.544214","3.945972","90.000000","59.523184","28.846626","66.162943","0.328571","-0.305188","151.045492","188.425346","100.000000","81.800467","78.216161","37.011575","58.821196","56.181292","70.824164","64.339930","-0.264856","-0.338631","0.235583","6.328967","6.328967","90.000000","0.235583","31.658323","62.843064","-0.012551","-0.022140","-0.034692","41.475000","","","31.184257","40.382568","30.229264","40.766308","63.912498","61.792344","<1B USD"
"DCOMP","DCOM","","8","11/5/2024","2/15/2025","","0.340000","5.50%","22.380000","14.510000","c550","17.900000","3.390000","-4.480000","18.840000","19.020000","-5.000000","-5.880000","17.050000","21.150000","14.260000","21.440000","47.000000","17.740000","26.220000","17.490000","37.600000","33.960000","28.340000","15.570000","38.350000","1.150000","8.000000","","","0.684008","-0.316297","0.499142","-0.302660","-0.227915","-0.074806","","","64.720617","61.533246","49.931389","62.760638","-6.251777","-1.862091","","","71.618482","84.752135","90.909435","29.809124","33.681838","41.009642","","","-0.302660","-0.316297","0.499142","0.684008","0.684008","18.560329","0.499142","56.695871","62.146942","-0.074806","-0.227915","-0.302721","40.375000","10.900000","44.027966","0.000000","1.000000","0.000000","1.000000","29.641092","48.563447","<1B USD"
"DLR PRJ","DLR","","10.5","12/13/2024","","","0.330000","5.25%","25.380000","19.550000","c525","20.780000","1.230000","-4.600000","21.170000","22.200000","-1.850000","-6.400000","20.020000","24.630000","19.060000","24.630000","85.000000","20.760000","174.470000","129.950000","198.000000","185.000000","151.850000","85.760000","198.000000","58.760000","10.500000","126.080000","121.200000","1.034398","-0.118838","0.342593","-0.118838","-0.056919","0.148963","0.383804","0.439521","90.000000","79.304545","37.407464","79.304545","-0.572268","3.734076","70.751544","37.117281","76.870208","97.666524","84.520927","57.171689","53.467579","95.542946","33.706487","13.477122","-0.118838","-0.118838","0.342593","1.034398","1.034398","22.994691","0.342593","41.824071","79.304545","0.148963","-0.056919","0.092044","78.401600","35.650000","71.014533","50.633220","64.944645","58.176362","77.530448","59.220796","96.113678","<1B USD"
"DLR PRK","DLR","","10.5","12/13/2024","","","0.370000","5.88%","26.400000","22.000000","c575","23.080000","1.080000","-3.320000","23.430000","24.170000","-1.500000","-4.520000","22.100000","25.410000","21.400000","25.610000","85.000000","23.060000","174.470000","129.950000","198.000000","185.000000","151.850000","85.760000","198.000000","58.760000","10.500000","126.080000","121.200000","1.034398","-0.118838","0.342593","-0.118838","-0.056919","0.148963","0.383804","0.439521","90.000000","79.304545","37.407464","79.304545","-0.572268","3.734076","70.751544","37.117281","76.870208","97.666524","84.520927","57.171689","53.467579","95.542946","33.706487","13.477122","-0.118838","-0.118838","0.342593","1.034398","1.034398","22.994691","0.342593","41.824071","79.304545","0.148963","-0.056919","0.092044","78.401600","35.650000","71.014533","50.633220","64.944645","58.176362","77.530448","59.220796","96.113678","<1B USD"
"DLR PRL","DLR","","10.5","12/13/2024","","","0.330000","5.20%","25.370000","19.320000","c525","20.030000","0.710000","-5.340000","20.580000","21.810000","-2.690000","-8.140000","19.610000","24.450000","19.010000","24.450000","85.000000","20.010000","174.470000","129.950000","198.000000","185.000000","151.850000","85.760000","198.000000","58.760000","10.500000","126.080000","121.200000","1.034398","-0.118838","0.342593","-0.118838","-0.056919","0.148963","0.383804","0.439521","90.000000","79.304545","37.407464","79.304545","-0.572268","3.734076","70.751544","37.117281","76.870208","97.666524","84.520927","57.171689","53.467579","95.542946","33.706487","13.477122","-0.118838","-0.118838","0.342593","1.034398","1.034398","22.994691","0.342593","41.824071","79.304545","0.148963","-0.056919","0.092044","78.401600","35.650000","71.014533","50.633220","64.944645","58.176362","77.530448","59.220796","96.113678","<1B USD"
"DTB","DTE","BB","11.5","12/27/2024","","","0.270000","4.38%","22.290000","17.300000","c425","17.170000","-0.130000","-5.120000","17.840000","19.200000","-3.770000","-10.560000","16.980000","21.900000","16.980000","22.650000","9.000000","16.930000","134.130000","108.400000","140.390000","120.700000","135.600000","86.940000","140.390000","28.060000","11.500000","113.550000","70.620000","0.542788","-0.044590","0.237362","-0.044590","0.111268","-0.010841","0.181242","0.899320","53.423050","85.986894","28.988930","85.986894","3.784107","-0.262404","56.735366","56.958218","68.692061","6.527284","78.342163","92.041470","79.357171","56.598214","27.227195","20.146732","-0.044590","-0.044590","0.237362","0.542788","0.542788","16.773127","0.237362","31.827305","85.986894","-0.010841","0.111268","0.100427","67.675500","45.550000","73.050299","48.986791","62.865372","49.021656","65.487521","81.909428","62.155879","<1B USD"
"DTG","DTE","BB","11.5","11/15/2024","","","0.270000","4.38%","20.890000","17.320000","c425","16.870000","-0.450000","-4.020000","17.780000","19.250000","-5.110000","-12.380000","16.810000","22.050000","16.810000","22.250000","57.000000","16.770000","134.130000","108.400000","140.390000","120.700000","135.600000","86.940000","140.390000","28.060000","11.500000","113.550000","70.620000","0.542788","-0.044590","0.237362","-0.044590","0.111268","-0.010841","0.181242","0.899320","53.423050","85.986894","28.988930","85.986894","3.784107","-0.262404","56.735366","56.958218","68.692061","6.527284","78.342163","92.041470","79.357171","56.598214","27.227195","20.146732","-0.044590","-0.044590","0.237362","0.542788","0.542788","16.773127","0.237362","31.827305","85.986894","-0.010841","0.111268","0.100427","67.675500","45.550000","73.050299","48.986791","62.865372","49.021656","65.487521","81.909428","62.155879","<1B USD"
