PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,PREF YF,FF-FR_,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
GDV PRH,GDV,,17,12/16/2024,,,0.34,5.38%,25.85,22.55,c525,22.45,-0.1,-3.4,23.23,23.67,-3.34,-5.14,22.35,25.15,22.0,25.34,76.0,22.4,0.05,-2.75,63.041894,50.734908,84.777448,37.843137,-3.45,-0.15,51.130435,73.803132,-2.94,0.4,38.590164,85.323383,2991,3324,3297,3204,,,,,,,,,,
GDV PRK,GDV,,17,12/13/2024,,,0.27,4.25%,20.82,17.65,c425,18.09,0.44,-2.73,18.48,19.12,-2.09,-5.39,17.96,21.31,16.96,21.49,73.0,18.04,0.08,-3.27,56.970249,51.784777,84.065282,44.640523,-2.78,0.39,45.304348,68.970917,-3.45,1.08,45.278689,78.557214,7732,8359,4963,7018,,,,,,,,,,
GGN PRB,GGN,,15,12/16/2024,5/7/2018,,0.31,5.00%,23.67,21.38,c500,20.35,-1.03,-3.32,20.73,21.37,-1.81,-4.79,19.84,23.88,19.84,24.15,76.0,20.3,0.46,-3.58,55.6102,49.265092,75.04451,48.69281,-3.37,-1.08,50.434783,82.12528,-3.85,0.46,50.52459,84.726368,8074,9189,3836,7033,,,,,,,,,,
GGT PRE,GGT,,15,12/16/2024,,,0.32,5.13%,24.85,22.98,c500,22.91,-0.07,-1.94,22.82,23.0,0.38,-0.39,22.25,24.63,21.41,24.7,76.0,22.86,0.61,-1.77,44.972678,30.787402,71.48368,25.03268,-1.99,-0.12,38.434783,73.534676,-1.84,1.45,24.163934,74.875622,657,567,361,528,,,,,,,,,,
GGT PRG,GGT,,15,12/16/2024,12/20/2024,,0.32,5.13%,24.59,22.95,c500,22.65,-0.3,-1.94,22.69,22.96,-0.16,-1.36,22.25,24.47,21.87,24.47,76.0,22.6,0.35,-1.87,47.595628,34.860892,77.655786,26.339869,-1.99,-0.35,38.434783,75.592841,-1.87,0.73,24.557377,82.039801,883,1022,513,806,,,,,,,,,,
GNT PRA,GNT,,15,11/15/2024,,,0.33,5.20%,24.55,21.53,c525,21.49,-0.05,-3.07,21.69,22.21,-0.96,-3.28,21.33,24.01,21.17,24.3,45.0,21.32,-0.01,-2.69,51.481481,42.923885,86.20178,37.058824,-3.23,-0.21,49.217391,74.340045,-2.98,0.15,39.114754,87.810945,800,619,138,519,,,,,,,,,,
GPJA,SO,BB,11.5,12/27/2024,,,0.31,5.00%,25.62,20.82,c500,20.92,0.1,-4.7,22.15,23.36,-5.55,-10.44,20.7,24.98,20.58,25.66,87.0,20.91,0.21,-4.07,73.776563,72.992126,80.979228,55.098039,-4.71,0.09,62.086957,71.655481,-4.75,0.33,62.327869,86.0199,16536,12256,16104,14965,,,,,,,,,,
GRBK PRA,GRBK,,NR,11/25/2024,,,0.36,5.75%,22.08,17.93,c550,23.5,5.57,1.42,22.83,23.12,2.95,1.62,21.06,24.6,17.15,25.0,55.0,23.36,2.3,-1.24,32.489375,22.346457,31.364985,18.104575,1.28,5.43,10.0,23.870246,-1.64,6.21,21.540984,27.512438,3508,2948,4178,3544,,,,,,,,,,
GUT PRC,GUT,,16,12/16/2024,,,0.34,5.38%,25.39,23.02,c525,22.42,-0.6,-2.97,23.79,24.21,-5.75,-7.41,22.36,25.0,22.33,25.56,76.0,22.37,0.01,-2.63,74.748027,60.267717,85.727003,36.27451,-3.02,-0.65,47.391304,78.277405,-3.19,0.04,41.868852,88.905473,1493,1944,3497,2312,,,,,,,,,,
HBANM,HBAN,,9,11/15/2024,12/1/2022,,0.36,5.70%,25.47,17.8,c550,22.13,4.33,-3.34,22.43,23.01,-1.36,-3.82,21.38,25.39,17.68,25.39,45.0,21.95,0.57,-3.44,53.424408,45.191601,72.433234,46.862745,-3.52,4.15,51.73913,35.324385,-3.44,4.27,45.147541,46.81592,10934,8385,6003,8441,,,,,,,,,,
HBANP,HBAN,,10,1/2/2025,,,0.28,4.50%,20.81,14.07,c450,17.53,3.46,-3.28,17.55,18.35,-0.1,-4.47,16.22,20.65,13.71,20.74,3.0,17.26,1.04,-3.39,47.304189,47.92126,61.275964,46.20915,-3.55,3.19,52.0,43.914989,-3.48,3.55,45.672131,53.9801,39294,39452,43857,40868,,,,,,,,,,
HFRO PRA,HFRO,,16,12/20/2024,,,0.34,5.38%,23.45,17.01,c525,15.92,-1.09,-7.53,15.68,17.55,1.51,-9.28,14.5,20.9,14.5,21.09,80.0,15.88,1.38,-5.02,39.48391,68.120735,53.204748,67.51634,-7.57,-1.13,86.956522,82.572707,-5.21,1.38,68.360656,75.572139,19004,15703,13128,15945,,,,,,,,,,
HIG PRG,HIG,,11,11/1/2024,11/15/2023,,0.38,6.00%,26.6,22.89,c600,25.09,2.2,-1.51,24.89,25.04,0.79,0.21,23.99,25.53,22.76,25.6,31.0,24.84,0.85,-0.69,42.981178,28.267717,65.78635,10.915033,-1.76,1.95,36.434783,55.011186,-0.76,2.08,10.0,68.606965,17845,15761,15624,16410,,,,,,,,,,
HWCPZ,HWC,BB,11,11/27/2024,6/15/2025,,0.39,6.25%,26.56,22.45,c625,23.58,1.13,-2.98,23.78,24.05,-0.82,-1.97,22.21,25.42,21.05,26.19,57.0,23.44,1.23,-1.98,50.801457,37.422572,56.765579,27.777778,-3.12,0.99,48.26087,63.60179,-2.75,2.39,36.098361,65.522388,7674,7819,6067,7187,,,,,,,,,,
INN PRE,INN,,NR,11/13/2024,11/13/2022,,0.39,6.25%,21.22,18.14,c625,18.17,0.03,-3.05,19.24,20.34,-5.57,-10.67,17.3,21.77,17.3,22.48,43.0,17.97,0.67,-3.8,73.87371,73.958005,70.059347,51.568627,-3.25,-0.17,49.391304,73.982103,-4.51,0.67,59.180328,82.636816,9255,5830,4580,6555,,,,,,,,,,
INN PRF,INN,,NR,11/13/2024,8/12/2026,,0.37,5.88%,21.02,18.07,c575,17.86,-0.21,-3.16,18.65,19.91,-4.25,-10.29,17.03,22.0,16.75,22.0,43.0,17.67,0.64,-4.33,67.462052,72.362205,70.771513,58.496732,-3.35,-0.4,50.26087,76.040268,-4.33,0.92,56.819672,80.149254,4635,3536,4854,4341,,,,,,,,,,
JPM PRC,JPM,,11.5,10/29/2024,3/1/2024,,0.38,6.00%,26.1,24.11,c600,25.28,1.17,-0.82,25.14,25.27,0.57,0.05,24.74,25.76,23.87,25.82,28.0,25.02,0.28,-0.74,44.049787,28.939633,79.317507,11.568627,-1.08,0.91,30.521739,64.317673,-0.8,1.15,10.52459,77.860697,118908,125651,130247,124936,,,,,,,,,,
JPM PRD,JPM,,11.5,10/29/2024,12/1/2023,,0.36,5.75%,25.75,23.3,c550,24.54,1.24,-1.21,24.53,24.91,0.02,-1.49,23.82,25.56,22.83,25.67,28.0,24.29,0.47,-1.27,46.721311,35.406824,74.807122,18.496732,-1.46,0.99,33.826087,63.60179,-1.38,1.46,18.131148,74.776119,108175,117213,143413,122934,,,,,,,,,,
JPM PRJ,JPM,,11.5,10/29/2024,,,0.3,4.75%,23.74,19.38,c475,20.16,0.78,-3.58,20.3,21.5,-0.68,-6.25,19.36,23.98,19.02,24.85,28.0,19.95,0.59,-4.03,50.121433,55.396325,71.958457,54.575163,-3.79,0.57,54.086957,67.360179,-4.9,0.93,64.295082,80.049751,71054,71924,62657,68545,,,,,,,,,,
JPM PRK,JPM,,11.5,10/29/2024,,,0.28,4.55%,21.65,18.67,c450,,0.47,-2.51,19.37,20.54,-1.19,-6.8,18.49,22.71,18.32,23.04,28.0,18.95,0.46,-3.76,52.598664,57.706037,75.04451,51.045752,-2.7,0.28,44.608696,69.955257,-4.09,0.63,53.672131,83.034826,131090,120658,104162,118637,,,,,,,,,,
JPM PRL,JPM,,11.5,10/29/2024,,,0.29,4.63%,21.62,18.94,c450,19.59,0.65,-2.03,19.71,20.89,-0.63,-6.24,18.88,23.12,18.71,23.44,28.0,19.39,0.51,-3.73,49.878567,55.354331,73.857567,50.653595,-2.23,0.45,40.521739,68.434004,-4.05,0.68,53.147541,82.537313,143066,131269,161592,145309,,,,,,,,,,
JPM PRM,JPM,,11.5,10/29/2024,,,0.26,4.20%,20.7,17.17,c425,17.96,0.79,-2.74,18.13,19.16,-0.92,-6.26,17.25,21.24,16.96,21.68,28.0,17.78,0.53,-3.46,51.287189,55.43832,73.382789,47.124183,-2.92,0.61,46.521739,67.002237,-3.9,0.82,51.180328,81.144279,187185,164882,185220,179095,,,,,,,,,,
JSM,NAVI,BB,7.5,12/13/2024,,,0.38,6.00%,23.5,16.7,c600,18.82,2.12,-4.68,18.42,19.28,2.19,-2.37,16.51,20.83,16.06,21.82,73.0,18.75,2.24,-2.08,36.180935,39.102362,32.789318,29.084967,-4.75,2.05,62.434783,54.116331,-3.07,2.69,40.295082,62.537313,14958,13581,14093,14210,,,,,,,,,,
KEY PRJ,KEY,,10.5,11/27/2024,,,0.35,5.65%,25.36,16.17,c550,21.17,5.0,-4.19,21.39,21.88,-1.01,-3.23,19.97,24.18,15.19,24.18,57.0,21.04,1.07,-3.14,51.724347,42.713911,60.563798,42.941176,-4.32,4.87,58.695652,28.881432,-3.14,5.85,41.213115,31.094527,27960,24867,23635,25487,,,,,,,,,,
KEY PRK,KEY,,10.5,11/27/2024,,,0.35,5.63%,26.17,16.05,c550,21.25,5.2,-4.92,21.2,21.87,0.24,-2.84,19.76,24.43,14.99,24.43,57.0,21.12,1.36,-3.31,45.652702,41.076115,53.679525,45.163399,-5.05,5.07,65.043478,27.091723,-3.31,6.13,43.442623,28.308458,23824,20550,21140,21838,,,,,,,,,,
KIM PRL,KIM,,11.5,12/27/2024,,,0.32,5.13%,25.42,19.2,c500,19.82,0.62,-5.6,20.27,21.34,-2.23,-7.12,19.39,23.68,18.81,24.18,87.0,19.81,0.42,-3.87,57.650273,59.049869,75.994065,52.48366,-5.61,0.61,69.913043,67.002237,-4.37,1.0,57.344262,79.353234,11649,10895,6937,9827,,,,,,,,,,
KIM PRM,KIM,,11.5,12/27/2024,,,0.33,5.25%,25.4,19.83,c525,20.16,0.33,-5.24,20.64,21.87,-2.33,-7.81,19.71,24.43,19.71,25.16,87.0,20.15,0.44,-4.28,58.136005,61.947507,75.519288,57.843137,-5.25,0.32,66.782609,69.597315,-5.01,0.44,65.737705,84.925373,15684,16394,14415,15498,,,,,,,,,,
KREF PRA,KREF,,NR,11/27/2024,4/16/2026,,0.41,6.50%,23.37,16.18,c650,20.85,4.67,-2.52,19.38,19.94,7.58,4.56,17.98,21.88,15.81,23.66,57.0,20.7,2.72,-1.18,10.0,10.0,21.394659,17.320261,-2.67,4.52,44.347826,32.013423,-2.96,4.89,38.852459,40.646766,17032,16907,15068,16336,,,,,,,,,,
MBINN,MBIN,,NR,12/13/2024,,,0.38,6.00%,24.23,16.5,c600,19.78,3.27,-4.46,20.33,21.4,-2.74,-7.63,18.31,24.26,16.31,24.34,73.0,19.7,1.39,-4.56,60.127505,61.191601,52.967359,61.503268,-4.53,3.2,60.521739,43.825503,-4.64,3.39,60.885246,55.572139,7563,6825,4792,6394,,,,,,,,,,
MET PRE,MET,,12,11/27/2024,,,0.35,5.63%,26.5,21.22,c550,23.76,2.54,-2.74,23.62,24.17,0.58,-1.72,22.66,25.19,21.03,25.23,57.0,23.63,0.97,-1.56,44.001214,36.372703,62.937685,22.287582,-2.87,2.41,46.086957,50.894855,-1.6,2.6,21.016393,63.432836,53590,45382,54509,51160,,,,,,,,,,
MET PRF,MET,,12,11/27/2024,,,0.3,4.75%,24.56,18.5,c475,19.67,1.17,-4.89,19.87,20.86,-0.99,-5.69,19.0,23.21,18.33,23.21,57.0,19.56,0.56,-3.65,51.627201,53.044619,72.670623,49.607843,-5.0,1.06,64.608696,62.975391,-3.65,1.23,47.901639,77.064677,88400,91183,127054,102213,,,,,,,,,,
MFA PRB,MFA,,NR,11/27/2024,4/15/2018,,0.47,7.50%,21.92,18.34,c750,20.57,2.23,-1.35,20.99,21.57,-2.0,-4.64,18.27,23.67,17.01,23.67,57.0,20.4,2.13,-3.27,56.53309,48.635171,35.400593,44.640523,-1.52,2.06,34.347826,54.026846,-3.27,3.39,42.918033,55.572139,16330,15141,11833,14435,,,,,,,,,,
MGR,AMG,BB,12,12/27/2024,,,0.37,5.88%,26.29,19.6,c575,20.55,1.32,-5.37,21.08,22.64,-0.74,-7.61,19.91,25.15,19.43,25.17,87.0,20.91,1.0,-4.24,50.412872,61.107612,62.225519,57.320261,-5.38,1.31,67.913043,60.738255,-4.26,1.48,55.901639,74.577114,17708,16566,15313,16529,,,,,,,,,,
MGRB,AMG,BB,12,12/27/2024,,,0.3,4.75%,22.01,16.09,c475,,1.0,-4.92,17.27,18.69,-1.02,-8.55,16.13,21.0,15.83,21.0,87.0,17.08,0.95,-3.92,51.77292,65.055118,63.412463,53.137255,-4.93,0.99,64.0,63.60179,-3.92,1.25,51.442623,76.865672,18167,18871,17340,18126,,,,,,,,,,
MGRD,AMG,BB,12,12/27/2024,,,0.26,4.20%,19.5,15.18,c425,15.17,0.25,-4.07,15.48,16.55,-0.3,-6.75,14.61,18.37,14.61,18.37,87.0,15.42,0.81,-2.95,48.275653,57.496063,66.735905,40.457516,-4.08,0.24,56.608696,70.313199,-2.95,0.81,38.721311,81.243781,10256,10147,10419,10274,,,,,,,,,,
MS PRK,MS,,11,12/27/2024,,,0.37,5.85%,26.38,21.4,c575,23.87,2.47,-2.51,23.58,24.45,1.22,-2.37,22.52,25.75,21.16,26.0,87.0,23.86,1.34,-1.89,40.892532,39.102362,54.154303,26.601307,-2.52,2.46,43.043478,50.447427,-2.14,2.7,28.098361,62.437811,80818,86151,85743,84237,,,,,,,,,,
MS PRL,MS,,11,12/27/2024,,,0.3,4.88%,24.0,18.32,c475,20.08,1.76,-3.92,20.13,21.74,-0.26,-7.63,19.26,24.32,18.15,24.49,87.0,20.07,0.81,-4.25,48.08136,61.191601,66.735905,57.45098,-3.93,1.75,55.304348,56.800895,-4.42,1.92,58.0,70.199005,26852,27956,30469,28425,,,,,,,,,,
MS PRO,MS,,11,12/27/2024,,,0.27,4.25%,20.77,15.9,c425,,1.64,-3.23,17.66,18.78,-0.68,-6.59,16.77,21.02,15.7,21.47,87.0,17.53,0.76,-3.49,50.121433,56.824147,67.922849,47.51634,-3.24,1.63,49.304348,57.87472,-3.94,1.83,51.704918,71.094527,124384,103666,126408,118153,,,,,,,,,,
NCV PRA,NCV,,NR,12/5/2024,,,0.35,5.63%,24.28,20.92,c550,21.18,0.26,-3.1,21.76,22.01,-2.68,-3.77,20.72,23.18,20.6,23.64,65.0,21.08,0.36,-2.1,59.836066,44.981627,77.418398,29.346405,-3.2,0.16,48.956522,71.029083,-2.56,0.48,33.606557,84.527363,5519,3507,4848,4625,,,,,,,,,,
NCZ PRA,NCZ,,NR,12/5/2024,,,0.34,5.50%,24.28,20.5,c550,20.84,0.34,-3.44,21.02,21.05,-0.84,-0.99,19.92,22.09,19.92,22.38,65.0,20.75,0.83,-1.34,50.898604,33.307087,66.261128,19.411765,-3.53,0.25,51.826087,70.223714,-1.63,0.83,21.409836,81.044776,8815,8505,3157,6826,,,,,,,,,,
NEE PRN,NEE,BB,12,11/27/2024,,,0.35,5.65%,26.15,22.13,c550,,0.19,-3.83,22.8,24.0,-2.09,-6.98,21.85,25.55,21.85,25.62,57.0,22.19,0.34,-3.36,56.970249,58.461942,77.893175,45.816993,-3.96,0.06,55.565217,71.923937,-3.43,0.34,45.016393,85.920398,48452,49357,50800,49537,,,,,,,,,,
NRUC,-,BB,13,11/1/2024,,,0.34,5.50%,25.22,21.75,c550,24.19,2.44,-1.03,23.53,24.12,2.8,0.29,22.38,25.75,21.64,25.75,31.0,23.97,1.59,-1.78,33.217972,27.931759,48.219585,25.163399,-1.25,2.22,32.0,52.595078,-1.78,2.33,23.377049,66.119403,15479,14521,12745,14248,,,,,,,,,,
NSA PRA,NSA,,NR,12/13/2024,,,0.38,6.00%,25.3,20.65,c600,22.99,2.34,-2.31,22.48,22.86,2.27,0.58,21.12,24.8,20.16,25.2,73.0,22.92,1.8,-1.88,35.79235,26.713911,43.234421,26.470588,-2.38,2.27,41.826087,52.147651,-2.28,2.76,29.934426,61.840796,11964,11715,14593,12757,,,,,,,,,,
NTRSO,NTRS,,13,12/13/2024,,,0.29,4.70%,24.85,18.3,c475,19.4,1.1,-5.45,19.74,20.87,-1.7,-7.04,18.74,24.29,18.1,24.29,73.0,19.35,0.61,-4.94,55.075896,58.713911,71.48368,66.470588,-5.5,1.05,68.956522,63.064877,-4.94,1.25,64.819672,76.865672,26881,24373,27508,26254,,,,,,,,,,
NYMTZ,NYMT,,NR,1/2/2025,,,0.44,7.00%,19.78,16.6,c700,18.75,2.15,-1.03,18.52,19.35,1.22,-3.08,16.75,21.5,15.31,21.75,3.0,18.32,1.57,-3.18,40.892532,42.08399,48.694362,43.464052,-1.46,1.72,33.826087,57.069351,-3.43,3.01,45.016393,59.353234,4187,3669,3352,3736,,,,,,,,,,
OPP PRA,OPP,,16,11/1/2024,,,0.27,4.38%,20.87,16.98,c425,17.14,0.16,-3.73,17.9,18.56,-4.25,-7.65,16.54,19.95,16.54,20.21,31.0,16.96,0.42,-2.99,67.462052,61.275591,75.994065,40.980392,-3.91,-0.02,55.130435,72.639821,-3.25,0.42,42.655738,85.124378,4783,4457,6630,5290,,,,,,,,,,
OPP PRB,OPP,,16,11/1/2024,2/15/2027,,0.3,4.75%,21.43,18.7,c475,18.44,-0.26,-2.99,19.42,20.0,-5.07,-7.8,18.34,21.13,18.31,22.31,31.0,18.24,-0.1,-2.89,71.445052,61.905512,88.338279,39.673203,-3.19,-0.46,48.869565,76.577181,-4.07,-0.07,53.409836,90.0,2995,2066,3214,2758,,,,,,,,,,
OZKAP,OZK,,9,11/1/2024,11/15/2026,,0.29,4.63%,20.78,14.61,c450,16.31,1.7,-4.47,16.61,17.04,-1.81,-4.27,15.69,19.88,14.37,19.88,31.0,16.12,0.43,-3.76,55.6102,47.081365,75.756677,51.045752,-4.66,1.51,61.652174,58.948546,-3.76,1.75,49.344262,71.890547,29164,24480,21925,25190,,,,,,,,,,
PEB PRE,PEB,,NR,12/27/2024,,,0.4,6.38%,24.71,18.32,c625,18.15,-0.17,-6.56,18.09,20.24,0.32,-10.35,16.27,23.22,16.27,23.22,87.0,18.14,1.87,-5.08,45.264117,72.614173,41.5727,68.300654,-6.57,-0.18,78.26087,74.071588,-5.08,1.87,66.655738,70.696517,9006,7565,3961,6844,,,,,,,,,,
PEB PRF,PEB,,NR,12/27/2024,,,0.39,6.30%,23.52,18.56,c625,18.45,-0.11,-5.07,18.31,20.35,0.79,-9.33,16.85,23.75,16.85,23.75,87.0,18.44,1.59,-5.31,42.981178,68.330709,48.219585,71.30719,-5.08,-0.12,65.304348,73.534676,-5.31,1.59,69.672131,73.482587,7189,8268,1867,5774,,,,,,,,,,
PEB PRG,PEB,,NR,12/27/2024,,,0.4,6.38%,23.4,18.0,c625,18.37,0.37,-5.03,18.3,20.09,0.38,-8.57,16.6,22.94,16.6,23.18,87.0,18.36,1.76,-4.58,44.972678,65.139108,44.183976,61.764706,-5.04,0.36,64.956522,69.239374,-4.82,1.76,63.245902,71.791045,9443,8821,4193,7486,,,,,,,,,,
PEB PRH,PEB,,NR,12/27/2024,,,0.36,5.70%,21.01,16.38,c550,16.36,-0.02,-4.65,16.54,18.17,-1.06,-9.98,15.51,21.12,15.02,21.12,87.0,16.35,0.84,-4.77,51.967213,71.060367,66.023739,64.248366,-4.66,-0.03,61.652174,72.729306,-4.77,1.33,62.590164,76.069652,11295,7199,6454,8316,,,,,,,,,,
PFH,PRU,BB,13,11/15/2024,9/1/2025,,0.26,4.13%,22.61,17.35,c400,17.39,0.04,-5.22,17.47,18.9,-0.46,-8.0,16.62,21.27,16.62,21.59,45.0,17.26,0.64,-4.01,49.052823,62.745407,70.771513,54.313725,-5.35,-0.09,67.652174,73.266219,-4.33,0.64,56.819672,82.935323,30861,30002,33900,31588,,,,,,,,,,
PRH,PRU,BB,13,11/15/2024,,,0.37,5.95%,,23.79,c575,25.14,1.35,,24.79,25.53,1.4,-1.54,23.59,26.89,23.17,26.95,45.0,24.96,1.37,-1.93,40.018215,35.616798,53.442136,27.124183,,1.17,,61.991051,-1.99,1.79,26.131148,71.492537,18925,22952,15463,19113,,,,,,,,,,
PRS,PRU,BB,13,11/1/2024,8/15/2023,,0.35,5.63%,26.16,22.52,c550,23.71,1.19,-2.45,23.22,24.13,2.1,-1.75,22.35,25.42,22.31,25.42,31.0,23.48,1.13,-1.94,36.618094,36.498688,59.139466,27.254902,-2.68,0.96,44.434783,63.870246,-1.94,1.17,25.47541,77.661692,30406,28478,31338,30074,,,,,,,,,,
PSA PRF,PSA,,13.5,12/12/2024,,,0.32,5.15%,25.84,20.87,c500,20.58,-0.29,-5.26,21.06,22.67,-2.3,-9.2,19.87,25.08,19.87,25.11,72.0,20.52,0.65,-4.56,57.990285,67.784777,70.534125,61.503268,-5.32,-0.35,67.391304,75.592841,-4.59,0.65,60.229508,82.835821,18539,14635,17927,17034,,,,,,,,,,
PSA PRG,PSA,,13.5,12/12/2024,,,0.32,5.05%,25.87,21.11,c500,20.25,-0.86,-5.62,20.86,22.45,-2.95,-9.79,19.87,25.0,19.87,25.06,72.0,20.19,0.32,-4.81,61.147541,70.262467,78.367953,64.771242,-5.68,-0.92,70.521739,80.693512,-4.87,0.32,63.901639,86.119403,17025,13952,10733,13903,,,,,,,,,,
PSA PRH,PSA,,13.5,12/12/2024,,,0.35,5.60%,26.96,22.76,c550,22.8,0.04,-4.16,22.98,24.17,-0.8,-5.67,20.85,25.7,20.85,25.95,72.0,22.73,1.88,-2.97,50.704311,52.96063,41.335312,40.718954,-4.23,-0.03,57.913043,72.729306,-3.22,1.88,42.262295,70.597015,19567,19370,14478,17805,,,,,,,,,,
PSA PRI,PSA,,13.5,12/12/2024,,,0.3,4.88%,25.8,19.44,c475,19.44,0.0,-6.36,19.86,21.4,-2.13,-9.17,18.69,23.72,18.69,23.94,72.0,19.38,0.69,-4.34,57.164542,67.658793,69.58457,58.627451,-6.42,-0.06,76.956522,72.997763,-4.56,0.69,59.836066,82.437811,15908,12425,10815,13049,,,,,,,,,,
PSA PRJ,PSA,,13.5,12/12/2024,,,0.29,4.70%,25.08,18.25,c475,18.69,0.44,-6.39,19.13,20.53,-2.32,-8.97,18.25,23.21,17.94,23.21,72.0,18.63,0.38,-4.58,58.087432,66.818898,76.94362,61.764706,-6.45,0.38,77.217391,69.060403,-4.58,0.69,60.098361,82.437811,15014,14716,12785,14172,,,,,,,,,,
PSA PRK,PSA,,13.5,12/12/2024,,,0.3,4.75%,25.8,18.4,c475,18.92,0.51,-6.89,19.35,20.72,-2.26,-8.74,18.44,23.16,18.16,23.21,72.0,18.85,0.41,-4.31,57.795993,65.853018,76.231454,58.235294,-6.95,0.45,81.565217,68.434004,-4.36,0.69,57.213115,82.437811,16810,18044,15703,16852,,,,,,,,,,
PSA PRL,PSA,,13.5,12/12/2024,,,0.29,4.63%,24.84,18.17,c450,18.58,0.41,-6.26,18.93,20.23,-1.84,-8.16,17.52,22.75,17.52,22.89,72.0,18.52,1.0,-4.23,55.75592,63.417323,62.225519,57.189542,-6.32,0.35,76.086957,69.328859,-4.37,1.0,57.344262,79.353234,29812,26880,29821,28838,,,,,,,,,,
PSA PRM,PSA,,13.5,12/12/2024,,,0.26,4.13%,22.79,16.05,c400,16.58,0.53,-6.21,16.95,18.23,-2.21,-9.07,16.11,20.52,15.82,20.79,72.0,16.53,0.42,-3.99,57.553127,67.238845,75.994065,54.052288,-6.26,0.48,75.565217,68.165548,-4.26,0.71,55.901639,82.238806,9087,8769,11110,9655,,,,,,,,,,
PSA PRN,PSA,,13.5,12/12/2024,,,0.24,3.88%,21.02,15.12,c400,15.57,0.45,-5.45,15.9,16.99,-2.05,-8.33,15.1,19.12,14.9,19.23,72.0,15.52,0.42,-3.6,56.775956,64.131234,75.994065,48.954248,-5.5,0.4,68.956522,68.881432,-3.71,0.62,48.688525,83.134328,17249,18548,25800,20532,,,,,,,,,,
PSA PRO,PSA,,13.5,12/12/2024,11/17/2025,,0.24,3.90%,20.29,15.53,c400,15.61,0.08,-4.68,15.96,17.06,-2.18,-8.49,15.07,18.97,15.07,19.13,72.0,15.56,0.49,-3.41,57.407407,64.80315,74.332344,46.470588,-4.73,0.03,62.26087,72.192394,-3.57,0.49,46.852459,84.427861,16880,17388,35804,23357,,,,,,,,,,
PSA PRP,PSA,,13.5,12/12/2024,,,0.25,4.00%,20.88,15.54,c400,16.01,0.47,-4.87,16.31,17.52,-1.83,-8.64,15.39,19.76,15.37,19.99,72.0,15.96,0.57,-3.8,55.707347,65.433071,72.433234,51.568627,-4.92,0.42,63.913043,68.702461,-4.03,0.59,52.885246,83.432836,41742,37594,47190,42175,,,,,,,,,,
PSA PRQ,PSA,,13.5,12/12/2024,,,0.25,3.95%,20.84,15.31,c400,15.83,0.52,-5.01,16.06,17.24,-1.43,-8.19,15.3,19.28,15.17,19.47,72.0,15.78,0.48,-3.5,53.76442,63.543307,74.569733,47.647059,-5.06,0.47,65.130435,68.255034,-3.69,0.61,48.42623,83.233831,13333,13342,18760,15145,,,,,,,,,,
PSA PRR,PSA,,13.5,12/12/2024,,,0.25,4.00%,20.78,15.59,c400,15.99,0.4,-4.79,16.29,17.58,-1.86,-9.05,15.45,19.99,15.38,20.16,72.0,15.94,0.49,-4.05,55.853066,67.154856,74.332344,54.836601,-4.84,0.35,63.217391,69.328859,-4.22,0.56,55.377049,83.731343,31482,30954,48648,37028,,,,,,,,,,
PSA PRS,PSA,,13.5,12/12/2024,,,0.26,4.10%,21.15,15.83,c400,16.37,0.54,-4.78,16.66,18.0,-1.74,-9.04,14.18,20.44,14.18,20.47,72.0,16.32,2.14,-4.12,55.270188,67.112861,35.163205,55.751634,-4.83,0.49,63.130435,68.076063,-4.15,2.14,54.459016,68.00995,16040,17642,12558,15413,,,,,,,,,,
PSEC PRA,PSEC,,9,10/16/2024,7/19/2026,,0.33,5.35%,19.55,15.21,c525,15.75,0.54,-3.8,16.27,17.55,-3.21,-10.24,14.58,21.54,14.04,21.54,15.0,15.47,0.89,-6.07,62.410443,72.152231,64.836795,81.24183,-4.08,0.26,56.608696,70.134228,-6.07,1.43,79.639344,75.074627,8170,7482,6654,7435,,,,,,,,,,
REGCO,REG,,NR,10/16/2024,,,0.37,5.88%,,21.85,c575,22.42,0.57,,22.41,22.75,0.04,-1.45,21.43,24.7,21.2,24.9,15.0,22.11,0.68,-2.59,46.624165,35.238845,69.821958,35.751634,,0.26,,70.134228,-2.79,0.91,36.622951,80.248756,5701,4926,3073,4567,,,,,,,,,,
REGCP,REG,,NR,10/16/2024,,,0.39,6.25%,,23.1,c625,23.52,0.42,,23.36,23.76,0.67,-0.99,21.88,25.4,21.88,25.63,15.0,23.2,1.32,-2.2,43.564056,33.307087,54.62908,30.653595,,0.1,,71.565996,-2.43,1.32,31.901639,76.169154,4869,4320,3327,4172,,,,,,,,,,
