PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,PREF YF,FF-FR_,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
CLDT PRA,CLDT,,NR,12/27/2024,,,0.41,6.63%,24.33,19.64,c650,,0.89,-3.8,20.34,21.47,0.91,-4.37,18.18,23.89,18.18,24.49,87.0,20.52,2.34,-3.37,42.3983,47.501312,30.41543,45.947712,-3.81,0.88,54.26087,64.58613,-3.97,2.34,52.098361,66.0199,4886,4834,1815,3845,,,,,,,,,,
CMS PRC,CMS,,10.5,1/2/2025,,,0.26,4.20%,20.81,17.98,c425,,-0.7,-3.53,17.17,18.44,0.66,-6.29,16.06,20.92,16.06,21.68,3.0,17.03,0.97,-3.89,43.612629,55.564304,62.937685,52.745098,-3.78,-0.95,54.0,80.961969,-4.65,0.97,61.016393,79.651741,17863,14301,16576,16247,,,,,,,,,,
CMSA,CMS,BB,11.5,11/29/2024,3/15/2023,,0.35,5.63%,26.19,21.25,c550,,0.15,-4.79,21.6,23.34,-0.95,-8.3,20.66,25.31,20.66,25.53,59.0,21.28,0.62,-4.03,51.432908,64.005249,71.246291,54.575163,-4.91,0.03,63.826087,72.192394,-4.25,0.62,55.770492,83.134328,11144,11824,15790,12919,,,,,,,,,,
CMSC,CMS,BB,11.5,12/27/2024,10/15/2023,,0.37,5.88%,25.19,21.74,c575,22.53,0.79,-2.66,22.48,23.72,0.24,-5.04,21.28,25.03,21.28,25.36,87.0,22.52,1.24,-2.51,45.652702,50.314961,56.52819,34.705882,-2.67,0.78,44.347826,65.480984,-2.84,1.24,37.278689,76.965174,31497,43971,99901,58456,,,,,,,,,,
CMSD,CMS,BB,11.5,11/15/2024,,,0.37,5.88%,25.59,21.91,c575,,0.62,-3.06,22.57,23.8,-0.17,-5.33,21.6,25.26,21.6,25.31,45.0,22.35,0.75,-2.91,47.644202,51.532808,68.160237,39.934641,-3.24,0.44,49.304348,68.52349,-2.96,0.75,38.852459,81.840796,43456,39767,30754,37992,,,,,,,,,,
CNO PRA,CNO,BB,NR,11/15/2024,11/25/2025,,0.32,5.13%,22.08,14.95,c500,17.41,2.46,-4.67,18.3,19.77,-4.84,-11.92,16.54,22.0,14.64,22.53,45.0,17.25,0.71,-4.75,70.327869,79.207349,69.109792,63.986928,-4.83,2.3,63.130435,51.879195,-5.28,2.61,69.278689,63.333333,1567,1319,1334,1407,,,,,,,,,,
COF PRI,COF,,10,11/13/2024,,,0.31,5.00%,23.21,16.12,c500,19.04,2.92,-4.17,19.04,19.93,0.02,-4.48,17.75,21.83,15.65,22.04,43.0,18.88,1.13,-2.95,46.721311,47.963255,59.139466,40.457516,-4.33,2.76,58.782609,47.762864,-3.16,3.23,41.47541,57.164179,104561,94219,101874,100218,,,,,,,,,,
COF PRJ,COF,,10,11/13/2024,,,0.3,4.80%,21.9,15.54,c475,17.95,2.41,-3.95,18.2,19.02,-1.38,-5.64,16.97,20.72,15.05,20.85,43.0,17.79,0.82,-2.93,53.521554,52.834646,66.498516,40.196078,-4.11,2.25,56.869565,52.326622,-3.06,2.74,40.163934,62.039801,100287,90939,80786,90671,,,,,,,,,,
COF PRK,COF,,10,11/13/2024,,,0.29,4.63%,22.17,14.99,c450,17.5,2.51,-4.67,17.59,18.73,-0.52,-6.55,16.46,20.85,14.64,21.07,43.0,17.35,0.89,-3.5,49.344262,56.656168,64.836795,47.647059,-4.82,2.36,63.043478,51.342282,-3.72,2.71,48.819672,62.338308,9192,9169,10897,9753,,,,,,,,,,
COF PRL,COF,,10,11/13/2024,,,0.27,4.38%,20.06,13.84,c425,16.61,2.77,-3.45,16.62,17.73,-0.07,-6.32,15.42,20.14,13.57,20.16,43.0,16.47,1.05,-3.67,47.15847,55.690289,61.038576,49.869281,-3.59,2.63,52.347826,48.926174,-3.69,2.9,48.42623,60.447761,46742,42724,36489,41985,,,,,,,,,,
