"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","Normalized_COM_6M","Normalized_COM_3M","Normalized_52W_LOW","FINAL_THG","CS_FACTOR"
"ALL PRJ","ALL-J","ALL","","","12.00","06/27/2025","7/15/2028","NONE","0.46","7.38%","","25.29","264.67","Insurance","","89.00","","","","","","26.78","1.48","","26.64","26.98","0.49","-0.78","25.56","27.99","25.15","28.22","26.76","1.20","-1.23","48.70","48.77","73.26","22.43","-1.46","1.61","24.33","79.46","35944.00","33704.00","24020.00","31223.00","74.38","66.62","46.27","80.49","55.82","1.00"
"ALTG PRA","ALTG-A","ALTG","","","8.00","07/11/2025","12/22/2025","NONE","0.63","10.00%","26.75","25.75","33.19","Rental&leasingservices","","13.00","","","","","","25.11","-0.64","-1.64","24.85","25.39","1.04","-1.09","23.05","26.25","23.05","27.00","24.57","1.52","-1.68","46.77","49.91","69.29","27.13","-2.43","1.52","34.11","80.05","2261.00","2897.00","2501.00","2553.00","31.84","","","","45.20","1.00"
"ANG PRB","ANG-B","-","FF","","9.00","05/16/2025","9/1/2025","NONE","0.41","6.63%","","","-","-","","47.00","","","","","","25.11","","","25.05","25.02","0.24","0.36","24.76","25.90","22.00","25.90","24.91","0.15","-0.99","49.58","44.58","86.28","19.92","-0.99","2.91","19.58","70.95","38691.00","57962.00","15385.00","37346.00","53.11","","","","50.62","1.00"
"ANG PRD","ANG-D","-","","","9.00","06/30/2025","1/15/2030","","0.49","7.38%","","","-","-","","2.00","","","","","","25.75","","","","","","","23.54","26.54","23.54","26.54","25.27","1.73","-1.27","52.18","51.93","66.68","22.85","-1.27","1.73","22.41","78.67","39415.00","24415.00","14071.00","25967.00","53.11","","","","53.89","1.00"
"AOMN","AOMN","AOMR","","BB","8.00","07/14/2025","7/30/2026","7/30/2029","0.59","9.50%","","","23.50","Reit","","16.00","","","","","","25.01","","","","","","","23.60","26.09","23.60","26.10","24.52","0.92","-1.57","52.18","51.93","76.73","25.98","-1.58","0.92","25.54","83.98","8057.00","7085.00","3729.00","6291.00","39.12","","","","49.86","1.00"
"APOS","APOS","APO","NFF","","13.00","05/30/2025","12/15/2028","9/15/2053","0.48","7.63%","","","571.72","Assetmanagement","","61.00","","","","","","26.45","","","26.34","26.71","0.42","-0.96","24.89","27.61","24.89","27.77","26.30","1.41","-1.31","48.95","49.43","70.65","23.26","-1.47","1.41","24.43","80.77","28907.00","34886.00","30702.00","31498.00","67.77","","","","54.87","1.00"
"AQNB","AQNB","AQN","FF","","9.00","06/13/2025","7/1/2024","7/1/2079","0.55","6.20%","","","789.65","Utilities","","75.00","","","","","","25.29","","","25.40","25.48","-0.45","-0.75","24.59","26.09","22.71","26.50","25.20","0.61","-0.89","52.00","48.66","80.57","18.88","-1.30","2.49","22.71","73.70","22602.00","26756.00","27296.00","25551.00","46.12","","","","51.08","1.00"
"ARGD","ARGD","-","","BB","9.50","05/30/2025","9/15/2017","9/15/2042","0.41","6.50%","24.35","21.31","-","-","","61.00","","","","","","20.19","-1.12","-4.16","20.58","21.61","-1.89","-6.59","19.19","22.71","19.19","24.24","20.06","0.87","-2.65","57.05","70.12","77.35","37.26","-4.18","0.87","51.77","84.30","7061.00","6626.00","6414.00","6700.00","53.11","","","","61.91","1.00"
"ARGO PRA","ARGO-A","-","NFF","","8.50","05/27/2025","9/15/2025","NONE","0.44","7.00%","","","-","-","","58.00","","","","","","25.07","","","25.04","24.94","0.11","0.50","24.59","25.36","20.76","25.49","24.91","0.32","-0.45","50.04","44.07","84.17","14.28","-0.58","4.15","15.45","62.83","16923.00","16991.00","16801.00","16905.00","53.11","","","","49.32","1.00"
"ARR PRC","ARR-C","ARR","","","8.00","05/15/2025","1/28/2025","","0.15","7.00%","22.60","18.06","81.90","Reit","","46.00","","","","","","20.84","2.78","-1.76","20.94","21.64","-0.47","-3.69","19.27","23.58","17.85","23.58","20.77","1.50","-2.81","52.07","59.46","69.53","38.93","-2.81","2.92","37.94","70.88","10265.00","9570.00","8564.00","9466.00","37.01","","","","52.61","1.00"
"ASBA","ASBA","ASB","NFF","","11.00","05/15/2025","3/1/2028","3/1/2033","0.41","6.63%","","","165.95","Regionalbank","","46.00","","","","","","24.05","","","24.10","24.17","-0.20","-0.50","22.99","25.30","18.82","25.30","23.85","0.86","-1.45","51.12","47.74","77.47","24.73","-1.45","5.03","24.22","57.07","17084.00","13954.00","10815.00","13951.00","55.46","48.25","65.82","78.92","51.51","1.00"
"ATCO PRD","ATCO-D","-","","","8.00","07/25/2025","1/30/2018","NONE","0.50","7.95%","25.27","23.86","-","-","","27.00","","","","","","25.33","1.47","0.06","25.04","25.10","1.16","0.91","24.14","25.98","22.04","25.98","24.98","0.84","-1.00","46.35","42.56","77.72","20.03","-1.00","2.94","19.68","70.75","4669.00","6000.00","9795.00","6821.00","53.11","","","","46.61","1.00"
"ATCO PRH","ATCO-H","-","","","8.00","07/25/2025","8/11/2021","NONE","0.49","7.88%","24.95","22.38","-","-","","27.00","","","","","","25.40","3.03","0.46","24.86","24.93","2.20","1.91","23.78","25.49","21.36","25.49","25.07","1.29","-0.42","42.71","38.88","72.14","13.97","-0.42","3.71","13.83","65.71","11610.00","14110.00","24558.00","16760.00","53.11","","","","44.30","1.00"
"ATCOL","ATCOL","-","","","8.00","07/15/2025","5/13/2023","10/30/2027","0.45","7.13%","","","-","-","","17.00","","","","","","25.28","","","24.95","25.03","1.34","1.03","22.45","25.45","22.45","25.90","24.93","2.48","-0.52","45.72","42.12","57.38","15.01","-0.97","2.48","19.38","73.76","2017.00","2501.00","2387.00","2302.00","53.11","","","","45.90","1.00"
"ATH PRA","ATH-A","-","NFF","","11.50","06/13/2025","6/30/2029","NONE","0.40","6.35%","","","-","-","","75.00","","","","","","24.52","","","24.16","24.56","1.47","-0.16","21.60","25.71","19.81","25.71","24.45","2.85","-1.26","45.27","46.49","52.79","22.74","-1.26","4.64","22.31","59.62","37535.00","35797.00","37532.00","36955.00","53.11","","","","49.64","1.00"
"ATH PRC","ATH-C","-","NFF","","11.50","06/13/2025","9/30/2025","NONE","0.40","6.38%","","","-","-","","75.00","","","","","","24.98","","","25.10","25.11","-0.48","-0.53","24.24","25.46","22.56","25.64","24.91","0.67","-0.55","52.10","47.85","79.83","15.33","-0.73","2.35","16.96","74.62","64800.00","73512.00","115626.00","84646.00","53.11","","","","55.89","1.00"
"ATH PRE","ATH-E","-","NFF","","11.50","06/13/2025","12/30/2027","NONE","0.48","7.75%","","","-","-","","75.00","","","","","","25.85","","","25.65","26.20","0.76","-1.32","24.17","27.50","23.61","27.50","25.77","1.60","-1.73","47.76","50.75","68.29","27.65","-1.73","2.16","27.05","75.86","22061.00","24127.00","36425.00","27537.00","53.11","","","","51.75","1.00"
"ATHS","ATHS","-","NFF","","12.00","06/12/2025","3/30/2029","3/30/2064","0.45","7.25%","","","-","-","","74.00","","","","","","25.19","","","25.11","25.34","0.31","-0.58","24.01","26.25","24.01","26.25","25.11","1.10","-1.14","49.33","48.03","74.50","21.49","-1.14","1.10","21.10","82.80","45125.00","43328.00","33908.00","40787.00","53.11","","","","52.11","1.00"
"ATLCL","ATLCL","ATLC","","","8.00","07/11/2025","10/2/2026","12/31/2026","0.38","6.13%","24.52","21.61","15.11","Creditservices","","13.00","","","","","","24.09","2.48","-0.43","24.09","23.67","-0.01","1.79","23.29","24.76","20.62","24.76","23.76","0.47","-1.00","50.46","39.32","82.31","20.03","-1.00","3.14","19.68","69.44","5323.00","6337.00","6191.00","5950.00","42.28","","","","44.74","1.00"
"ATLCP","ATLCP","ATLC","","","8.00","05/30/2025","6/11/2026","NONE","0.48","7.63%","24.15","20.61","15.11","Creditservices","","61.00","","","","","","22.05","1.44","-2.10","22.95","23.04","-3.92","-4.28","21.66","24.50","18.51","24.80","21.90","0.24","-2.60","64.16","61.63","85.16","36.74","-2.90","3.39","38.85","67.81","4366.00","4449.00","7353.00","5390.00","42.28","","","","59.11","1.00"
"ATLCZ","ATLCZ","ATLC","","BB","8.00","07/01/2025","1/31/2028","1/31/2029","0.58","9.25%","","","15.11","Creditservices","","3.00","","","","","","25.04","","","25.02","25.01","0.07","0.14","23.40","25.50","23.40","25.50","24.48","1.08","-1.02","50.18","45.39","74.74","20.23","-1.02","1.08","19.89","82.93","23219.00","18208.00","15925.00","19117.00","43.13","","","","48.05","1.00"
"AUB PRA","AUB-A","AUB","","","8.00","05/16/2025","9/1/2025","NONE","0.43","6.88%","26.14","19.25","142.37","Regionalbank","","47.00","","","","","","24.70","4.70","-2.19","24.26","24.34","-1.29","-1.60","22.86","25.93","19.21","25.93","23.74","0.88","-2.19","54.94","51.78","77.22","32.45","-2.19","4.53","31.69","60.34","13976.00","10563.00","10517.00","11685.00","46.77","","","","52.77","1.00"
"BAC PRE","BAC-E","BAC","FLR","","11.00","07/25/2025","11/15/2011","NONE","0.31","4.00%","","","7537.21","Bank","","27.00","","","","","","22.11","","","22.28","23.47","-0.74","-5.79","20.81","25.50","19.52","25.50","21.89","1.08","-3.61","53.01","67.18","74.74","47.28","-3.61","2.37","46.02","74.48","18102.00","22981.00","23632.00","21572.00","76.46","58.95","74.82","84.07","64.72","1.00"
"BANC PRF","BANC-F","BANC","NFF","","8.00","05/19/2025","9/1/2027","NONE","0.49","7.75%","","","169.33","Regionalbank","","50.00","","","","","","24.64","","","24.70","24.42","-0.24","0.91","23.39","25.60","21.00","25.60","24.42","1.03","-1.18","51.26","42.56","75.36","21.91","-1.18","3.42","21.50","67.61","43389.00","31300.00","19323.00","31337.00","44.38","","","","48.36","1.00"
"BANFP","BANFP","BANF","","TP","8.00","06/27/2025","3/21/2009","3/31/2034","0.45","7.20%","27.53","27.00","33.23","Regionalbank","","89.00","","","","","","26.06","-0.94","-1.47","26.04","25.85","0.07","0.79","25.45","29.45","24.70","29.45","26.05","0.60","-3.40","50.18","43.00","80.70","45.09","-3.40","1.35","43.90","81.16","582.00","404.00","184.00","390.00","54.55","","","","48.21","1.00"
"BC PRA","BC-A","BC","","BB","11.50","06/29/2025","10/15/2023","10/15/2048","0.40","6.50%","26.22","22.50","65.69","Consumercyclical","","1.00","","","","","","23.94","1.44","-2.28","23.73","24.42","0.90","-1.98","22.58","25.43","22.09","25.92","23.54","0.96","-1.89","47.27","53.18","76.23","29.32","-2.38","1.45","33.61","80.51","7887.00","8730.00","10766.00","9128.00","47.38","","","","50.23","1.00"
"BC PRC","BC-C","BC","","BB","11.50","06/29/2025","4/15/2024","4/15/2049","0.39","6.38%","25.99","22.33","65.69","Consumercyclical","","1.00","","","","","","24.01","1.68","-1.98","23.40","24.30","2.63","-1.20","22.00","25.43","21.76","25.77","23.62","1.62","-1.81","41.20","50.31","68.05","28.49","-2.15","1.86","31.29","77.82","13151.00","14880.00","15672.00","14568.00","47.38","","","","46.99","1.00"
"BK PRK","BK-K","BK","NFF","","12.50","06/05/2025","3/20/2030","NONE","0.41","6.15%","","","715.58","Bank","","67.00","","","","","","25.55","","","","","","","24.54","25.83","24.54","25.83","25.45","0.91","-0.38","52.18","51.93","76.85","13.55","-0.38","0.91","13.43","84.04","202605.00","202605.00","59621.00","154944.00","76.68","","","","66.66","1.00"
"BML PRG","BML-G","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.33","3.00%","","","7537.21","Bank","","46.00","","","","","","20.50","","","21.54","22.32","-4.82","-8.16","20.25","23.50","19.66","23.68","20.34","0.09","-3.16","67.32","75.89","87.02","42.58","-3.34","0.68","43.29","85.55","5740.00","4102.00","5904.00","5248.00","76.46","58.95","74.82","84.07","72.90","1.00"
"BML PRH","BML-H","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.32","3.00%","","","7537.21","Bank","","46.00","","","","","","20.02","","","21.37","22.22","-6.30","-9.90","19.73","23.45","19.05","23.45","19.86","0.13","-3.59","72.51","82.28","86.53","47.08","-3.59","0.81","45.81","84.70","16355.00","17057.00","26082.00","19831.00","76.46","58.95","74.82","84.07","78.45","1.00"
"BML PRJ","BML-J","BAC","FLR","","11.00","05/15/2025","11/21/2010","NONE","0.33","4.00%","","","7537.21","Bank","","46.00","","","","","","21.83","","","22.52","23.11","-3.07","-5.53","20.70","24.55","20.00","24.69","21.67","0.97","-2.88","61.18","66.22","76.11","39.66","-3.02","1.67","40.06","79.07","16596.00","16107.00","10668.00","14457.00","76.46","58.95","74.82","84.07","67.16","1.00"
"BML PRL","BML-L","BAC","FLR","","11.00","07/01/2025","5/21/2010","NONE","0.32","4.00%","","","7537.21","Bank","","3.00","","","","","","20.49","","","21.76","22.85","-5.83","-10.35","19.80","24.75","19.65","24.77","20.18","0.38","-4.57","70.86","83.94","83.43","57.31","-4.59","0.53","55.90","86.53","21988.00","22174.00","39338.00","27833.00","76.46","58.95","74.82","84.07","78.95","1.00"
"BOH PRB","BOH-B","BOH","","","9.50","07/14/2025","8/1/2029","NONE","0.50","8.00%","","","39.66","Regionalbank","","16.00","","","","","","26.05","","","","","","","24.81","27.13","24.81","27.13","25.64","0.83","-1.49","52.18","51.93","77.84","25.14","-1.49","0.83","24.63","84.57","20258.00","17905.00","17138.00","18433.00","48.71","46.06","47.16","73.91","52.54","1.00"
"BPOPM","BPOPM","BPOP","","TP","7.00","05/15/2025","12/1/2009","12/1/2034","0.13","6.13%","27.20","24.51","69.37","Regionalbank","","46.00","","","","","","25.09","0.58","-2.11","25.37","25.49","-1.09","-1.59","24.53","26.09","24.38","26.25","25.03","0.50","-1.06","54.24","51.75","81.94","20.65","-1.22","0.65","21.90","85.74","2075.00","2099.00","3468.00","2547.00","57.98","","","","54.15","1.00"
"C PRN","C-N","C","FF","","10.00","07/25/2025","10/30/2015","10/30/2040","0.68","7.88%","","","1868.19","Bank","","27.00","","","","","","29.68","","","29.72","29.93","-0.12","-0.84","28.36","31.34","27.82","31.34","29.20","0.84","-2.14","50.84","48.99","77.72","31.93","-2.14","1.38","31.19","80.97","105730.00","119248.00","119338.00","114772.00","73.06","","","","61.72","1.00"
