PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group,SMI,SHORT_FINAL
VNO PRM,VNO,,10.5,12/13/2024,,,0.33,5.25,23.4,13.71,c525,17.01,3.3,-6.39,17.01,16.94,0.01,0.41,14.75,18.99,12.55,18.99,4.0,16.69,1.94,-2.3,43.06,23.39,36.75,37.18,-6.71,2.98,80.3,46.53,-2.3,4.14,31.92,53.76,21697.0,19202.0,12602.0,17834.0,59.57,0.08,321.57,1.98,849.15,6,0.0469,345.02
CUBB,CUBI,BB,NR,12/13/2024,,,0.34,5.38,23.56,18.75,c525,20.29,1.54,-3.27,19.83,19.96,2.3,1.65,18.3,21.85,16.5,22.0,4.0,19.97,1.67,-1.88,28.75,17.68,43.31,31.3,-3.59,1.22,53.29,61.62,-2.03,3.47,28.0,59.61,2262.0,2896.0,1830.0,2329.0,47.71,0.07,277.37,1.98,849.15,11,0.1633,359.02
UZE,USM,BB,9.5,11/29/2024,,,0.34,5.5,21.8,14.93,c550,21.67,6.75,-0.12,21.85,21.7,-0.78,-0.09,20.25,23.22,13.0,23.8,80.0,21.64,1.39,-1.58,48.0,25.69,50.12,27.09,-0.16,6.71,23.59,14.54,-2.16,8.64,29.89,14.45,41823.0,30931.0,36567.0,36440.0,58.62,0.06,271.35,1.98,849.15,6,0.0292,285.95000000000005
UZF,USM,BB,9.5,11/29/2024,6/1/2026,,0.34,5.5,21.75,15.44,c550,21.72,6.23,-0.08,21.9,21.71,-1.03,-0.18,20.3,23.5,12.95,23.7,80.0,21.63,1.33,-1.87,49.56,26.1,51.58,31.16,-0.12,6.19,23.25,19.0,-2.07,8.68,28.58,14.1,31222.0,24764.0,33725.0,29904.0,58.62,0.06,275.37,1.98,849.15,8,0.0347,292.72
CADE PRA,CADE,,NR,11/1/2024,11/20/2024,,0.34,5.5,24.16,16.69,c550,20.86,4.05,-3.42,21.03,21.19,-1.36,-2.11,19.6,23.49,16.13,23.49,52.0,20.6,1.0,-2.89,51.62,34.98,59.6,45.45,-3.56,3.91,53.03,38.55,-2.89,4.47,40.49,50.87,9753.0,11185.0,8464.0,9800.0,32.11,0.07,279.59,1.98,849.15,1,0.029,294.09
SCHW PRD,SCHW,,12,11/13/2024,,,0.37,5.95,25.94,22.65,c575,24.69,2.02,-1.27,24.95,25.15,-1.11,-1.93,24.25,25.71,22.29,25.71,64.0,24.56,0.31,-1.15,50.06,34.15,76.38,21.07,-1.38,1.91,34.16,55.7,-1.15,2.27,15.23,70.09,42686.0,49214.0,54995.0,48965.0,80.76,0.06,364.58,1.98,849.15,4,0.0203,374.73
SR PRA,SR,,11,10/25/2024,8/15/2024,,0.37,5.9,26.15,21.87,c575,23.54,1.65,-2.63,24.18,24.32,-2.75,-3.29,23.2,25.39,21.36,25.39,45.0,23.34,0.14,-2.05,60.31,40.41,80.52,33.68,-2.81,1.47,46.54,59.47,-2.05,1.98,28.29,72.62,16713.0,16447.0,14952.0,16037.0,62.29,0.06,354.68,1.98,849.15,4,0.0646,386.98
DLR PRK,DLR,,10.5,12/13/2024,,,0.37,5.88,26.4,22.0,c575,23.46,1.31,-3.09,23.45,24.17,-0.59,-3.56,22.1,25.41,21.4,25.61,4.0,22.96,0.86,-2.45,46.81,41.65,63.01,39.28,-3.44,0.96,51.99,63.85,-2.65,1.56,37.01,76.29,13587.0,14593.0,12006.0,13395.0,70.24,0.06,366.24,1.98,849.15,2,0.0604,396.44
TDS PRV,TDS,,7,12/13/2024,9/30/2026,,0.38,6.0,22.28,12.88,c600,18.21,5.3,-4.1,18.12,18.42,0.34,-1.29,16.25,20.48,11.51,20.48,4.0,17.82,1.57,-2.66,41.0,31.21,45.74,42.22,-4.46,4.94,60.82,29.72,-2.66,6.31,37.15,34.8,45188.0,42491.0,50639.0,46106.0,50.21,0.08,298.74,1.98,849.15,6,0.0165,306.99
UZD,USM,BB,9.5,11/29/2024,9/1/2025,,0.39,6.25,24.16,16.77,c625,24.05,7.28,-0.11,23.71,23.28,1.44,3.32,22.0,24.37,14.86,24.8,80.0,24.01,2.01,-0.36,34.12,10.0,35.05,10.0,-0.15,7.24,23.51,10.0,-0.79,9.15,10.0,10.0,39977.0,41073.0,53239.0,44763.0,58.62,0.07,235.81,1.98,849.15,8,0.0605,266.06
REGCP,REG,,NR,10/16/2024,,,0.39,6.25,,23.1,c625,23.04,-0.06,,23.41,23.75,-1.59,-2.97,21.88,25.63,21.88,25.63,36.0,22.81,0.93,-2.82,53.06,38.94,61.31,44.47,,-0.29,44.75,74.57,-2.82,0.93,39.47,81.79,4954.0,4402.0,2016.0,3790.0,61.83,0.07,366.0,1.98,849.15,7,0.0401,386.05
UNMA,UNM,BB,10,11/29/2024,,,0.39,6.25,26.19,21.92,c625,24.07,2.18,-2.09,24.58,24.89,-1.95,-3.17,23.13,26.05,21.49,26.05,80.0,24.06,0.93,-1.99,55.31,39.86,61.31,32.84,-2.13,2.14,40.65,53.73,-1.99,2.57,27.42,67.47,13018.0,13110.0,8991.0,11706.0,68.36,0.06,350.82,1.98,849.15,4,0.1009,401.27
TDS PRU,TDS,,7,12/13/2024,,,0.41,6.63,24.25,14.26,c650,19.98,5.69,-4.3,20.61,20.72,-3.21,-3.72,18.71,22.88,12.51,22.88,4.0,19.56,0.85,-3.32,63.19,42.39,63.25,51.47,-4.69,5.3,62.81,26.63,-3.32,7.05,46.73,28.34,26422.0,22717.0,26863.0,25334.0,50.21,0.08,331.47,1.98,849.15,6,0.0117,337.32000000000005
TRTN PRD,-,,NR,12/6/2024,3/15/2025,,0.43,6.88,25.95,21.62,c675,21.31,-0.22,-4.55,22.06,23.33,-3.0,-8.25,19.76,25.67,19.76,25.67,87.0,21.39,1.63,-4.28,61.88,63.23,44.29,64.92,-4.56,-0.23,61.69,74.05,-4.28,1.63,60.67,75.68,9834.0,8903.0,9759.0,9499.0,45.05,0.08,377.27,1.98,849.15,5,0.1186,436.57
