"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CGRUP","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","EX_DIV_DATE","TIME_TO_DIV","DIV_BONUS","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"BHFAN","BHF","","10","12/6/2024","","","0.3400","5.3800","22.6900","15.2700","c525","15.3100","0.0400","-7.3800","16.1500","18.1800","-5.2100","-15.7900","14.4500","21.4700","14.4500","21.6300","60.0000","15.2000","0.7500","-6.2700","74.9500","34.3200","71.2500","86.7400","-7.4900","-0.0700","86.2700","76.3400","-6.4300","0.7500","88.9000","83.1300","62247.0000","62079.0000","69770.0000","64699.0000","58.4700","0.0885","460.6500","2024-12-06","-210","0","0.1200","2446.8200"
"BHFAO","BHF","","10","12/6/2024","6/25/2025","","0.4200","6.7500","26.5100","21.1700","c675","19.8900","-1.2800","-6.6200","20.4500","23.0400","-2.7600","-13.6700","18.5300","25.7000","18.5300","26.0000","60.0000","19.7500","1.2200","-5.9500","62.5800","86.7500","60.0900","82.3900","-6.7600","-1.4200","79.7900","89.6100","-6.2500","1.2200","86.4300","78.1600","35946.0000","35909.0000","39503.0000","37119.0000","58.4700","0.0854","487.6300","2024-12-06","-210","0","0.1200","2446.8200"
"BHFAP","BHF","","10","12/6/2024","","","0.4100","6.6000","26.1000","20.0100","c650","19.1400","-0.8700","-6.9600","20.0200","22.3400","-4.3800","-14.3200","18.2800","25.5100","18.2800","25.5100","60.0000","19.0000","0.7200","-6.5100","70.7600","89.4200","71.9600","90.0000","-7.1000","-1.0100","82.8100","85.5800","-6.5100","0.7200","90.0000","83.4500","33731.0000","35360.0000","41929.0000","37006.0000","58.4700","0.0868","507.8700","2024-12-06","-210","0","0.1200","2446.8200"
"BOH PRA","BOH","","12","10/17/2024","8/1/2026","","0.2700","4.3800","20.4400","13.0500","c425","16.4500","3.4000","-3.9900","15.6300","16.5300","5.2500","-0.4600","14.5100","18.7400","12.8600","19.2400","10.0000","16.2100","1.7000","-2.5300","22.1200","32.3900","48.6900","35.9400","-4.2300","3.1600","57.3300","44.5900","-3.0300","3.3500","42.2500","55.6500","9049.0000","6738.0000","6843.0000","7543.0000","54.6600","0.0676","306.6900","2024-10-17","-260","0","0.1200","2446.8200"
"BWBBP","BWB","","NR","11/11/2024","8/17/2026","","0.3700","5.8800","23.5200","16.5700","c575","18.5000","1.9300","-5.0200","18.8300","19.1100","-1.7600","-3.2000","18.1000","21.4000","15.2500","22.0000","35.0000","18.2700","0.1700","-3.1300","57.5300","43.6600","85.0100","44.0900","-5.2500","1.7000","66.3800","58.9400","-3.7300","3.0200","51.8500","59.1400","2863.0000","1784.0000","2025.0000","2224.0000","47.6900","0.0805","395.4500","2024-11-11","-235","0","0.1200","2446.8200"
"CADE PRA","CADE","","NR","11/1/2024","11/20/2024","","0.3400","5.5000","24.1600","16.6900","c550","20.3200","3.6300","-3.8400","20.8600","21.1700","-2.6100","-4.0100","19.6000","23.2200","16.1300","23.4900","25.0000","20.0700","0.4700","-3.1500","61.8200","47.0000","77.8900","44.3600","-4.0900","3.3800","56.0800","42.4300","-3.4200","3.9400","47.6000","49.4200","9903.0000","11152.0000","9582.0000","10213.0000","30.2700","0.0685","354.4400","2024-11-01","-245","0","0.1200","2446.8200"
"CFG PRE","CFG","","10","12/18/2024","","","0.3100","5.0000","22.3400","16.2000","c500","19.1800","2.9800","-3.1600","19.2100","20.2900","-0.1300","-5.4800","17.9900","22.6800","15.1700","23.3800","72.0000","19.1200","1.1300","-3.5600","49.2900","53.0500","62.2300","49.9300","-3.2200","2.9200","48.3600","46.9500","-4.2600","3.9500","59.1300","49.3100","33171.0000","30282.0000","30342.0000","31265.0000","59.6300","0.0654","348.8800","2024-12-18","-198","0","0.1200","2446.8200"
"CFR PRB","CFR","","11.5","11/27/2024","","","0.2800","4.4500","21.8000","15.8900","c450","17.8300","1.9400","-3.9700","17.3500","18.6300","2.7600","-4.2800","16.3400","21.5500","15.6000","22.1500","51.0000","17.7100","1.3700","-3.8400","34.7000","48.1100","56.5300","53.7400","-4.0900","1.8200","56.0800","57.7600","-4.4400","2.1100","61.6000","68.7600","9344.0000","8605.0000","6494.0000","8148.0000","61.3500","0.0628","342.7600","2024-11-27","-219","0","0.1200","2446.8200"
"CIM PRA","CIM","","NR","12/11/2024","10/21/2021","","0.5000","8.0000","22.8200","18.1500","c775","22.2500","4.1000","-0.5700","21.7400","22.6400","2.3600","-1.7100","19.8500","24.5600","17.3300","24.5600","65.0000","22.1100","2.2600","-2.4500","36.7200","37.5300","35.4000","34.8600","-0.7100","3.9600","26.0700","36.7300","-2.4500","4.7800","34.2900","40.5400","9021.0000","9930.0000","7645.0000","8865.0000","18.6700","0.0905","349.6100","2024-12-11","-205","0","0.1200","2446.8200"
"CIO PRA","CIO","","NR","1/8/2025","9/15/2021","","0.4100","6.6300","24.0000","15.0600","c650","19.6200","4.5700","-4.3700","18.6200","18.7000","5.4000","4.9800","16.8600","21.0600","14.1600","21.7900","3.0000","19.2300","2.3700","-1.8300","21.3600","10.0000","32.7900","26.4300","-4.7700","4.1700","62.1200","34.6700","-2.5600","5.0700","35.8000","37.4800","11572.0000","4214.0000","5164.0000","6983.0000","36.6600","0.0862","308.2700","2025-01-08","-177","0","0.1200","2446.8200"
"CLDT PRA","CLDT","","NR","12/27/2024","","","0.4100","6.6300","24.3300","19.6400","c650","20.1400","0.5000","-4.1900","20.3300","21.4500","-0.9100","-6.1000","18.1800","23.8900","18.1800","24.4900","81.0000","20.1000","1.9200","-3.7900","53.2300","55.6000","43.4700","53.0600","-4.2300","0.4600","57.3300","71.1300","-4.3900","1.9200","60.9100","70.7700","4944.0000","4919.0000","2238.0000","4034.0000","38.3200","0.0825","406.4200","2024-12-27","-189","0","0.1200","2446.8200"
"CMSC","CMS","BB","11.5","12/27/2024","10/15/2023","","0.3700","5.8800","25.1900","21.7400","c575","22.3500","0.6100","-2.8400","22.4200","23.6900","-0.3300","-5.6600","21.2800","25.0300","21.2800","25.3600","81.0000","22.3100","1.0300","-2.7200","50.3000","53.7900","64.6000","38.5200","-2.8800","0.5700","45.3400","70.0500","-3.0500","1.0300","42.5200","80.1700","31480.0000","45232.0000","104869.0000","60527.0000","68.5900","0.0659","363.4100","2024-12-27","-189","0","0.1200","2446.8200"
"CMSD","CMS","BB","11.5","11/15/2024","","","0.3700","5.8800","25.5900","21.9100","c575","22.6200","0.7100","-2.9700","22.5200","23.7700","0.4500","-4.8300","21.6000","25.2600","21.6000","25.3100","39.0000","22.4100","0.8100","-2.8500","46.3600","50.3700","69.8200","40.2900","-3.1800","0.5000","48.0000","70.7400","-2.9000","0.8100","40.4600","82.5000","41689.0000","40458.0000","32119.0000","38089.0000","68.5900","0.0656","360.6300","2024-11-15","-231","0","0.1200","2446.8200"
"CNO PRA","CNO","BB","NR","11/15/2024","11/25/2025","","0.3200","5.1300","22.0800","14.9500","c500","17.7200","2.7700","-4.3600","18.1900","19.7300","-2.5800","-10.2000","16.5400","22.0000","14.6400","22.5300","39.0000","17.5400","1.0000","-4.4600","61.6700","72.4700","65.3100","62.1600","-4.5400","2.5900","60.0800","50.2000","-4.9900","2.9000","69.1400","60.4100","1613.0000","1436.0000","1821.0000","1624.0000","53.6900","0.0731","408.5500","2024-11-15","-231","0","0.1200","2446.8200"
"COF PRI","COF","","10","11/13/2024","","","0.3100","5.0000","23.2100","16.1200","c500","19.4800","3.3600","-3.7300","19.0000","19.9200","2.5300","-2.2100","17.7500","21.8300","15.6500","22.0400","37.0000","19.3000","1.5500","-2.5300","35.8600","39.5900","52.2600","35.9400","-3.9100","3.1800","54.4800","44.4000","-2.7400","3.6500","38.2700","52.4800","103984.0000","95255.0000","95809.0000","98349.0000","74.3600","0.0648","314.8900","2024-11-13","-233","0","0.1200","2446.8200"
"COF PRJ","COF","","10","11/13/2024","","","0.3000","4.8000","21.9000","15.5400","c475","18.4600","2.9200","-3.4400","18.1600","19.0100","1.6500","-2.8900","16.9700","20.7200","15.0500","20.8500","37.0000","18.2800","1.3100","-2.4400","40.3000","42.3900","57.9500","34.7200","-3.6200","2.7400","51.9100","48.7200","-2.5700","3.2300","35.9300","56.9200","97826.0000","92096.0000","77571.0000","89164.0000","74.3600","0.0656","325.6000","2024-11-13","-233","0","0.1200","2446.8200"
"COF PRK","COF","","10","11/13/2024","","","0.2900","4.6300","22.1700","14.9900","c450","17.9500","2.9600","-4.2200","17.5500","18.7100","2.2700","-4.0600","16.4600","20.8500","14.6400","21.0700","37.0000","17.7800","1.3200","-3.0700","37.1700","47.2000","57.7200","43.2800","-4.3900","2.7900","58.7500","48.2300","-3.2900","3.1400","45.8100","57.8700","9218.0000","9108.0000","10096.0000","9474.0000","74.3600","0.0651","334.6400","2024-11-13","-233","0","0.1200","2446.8200"
"COF PRL","COF","","10","11/13/2024","","","0.2700","4.3800","20.0600","13.8400","c425","17.0700","3.2300","-2.9900","16.5900","17.7200","2.9100","-3.6600","15.4200","20.1400","13.5700","20.1600","37.0000","16.9100","1.4900","-3.2300","33.9400","45.5600","53.6800","45.4500","-3.1500","3.0700","47.7400","45.4800","-3.2500","3.3400","45.2700","55.7600","47334.0000","44072.0000","40898.0000","44101.0000","74.3600","0.0648","325.9400","2024-11-13","-233","0","0.1200","2446.8200"
"COF PRN","COF","","10","11/13/2024","","","0.2700","4.2500","19.9400","13.6800","c425","16.9700","3.2900","-2.9700","16.3700","17.2700","3.6700","-1.7600","15.1500","19.7200","13.2600","19.8100","37.0000","16.8100","1.6600","-2.9100","30.1000","37.7400","49.6400","41.1000","-3.1300","3.1300","47.5600","44.8900","-3.0000","3.5500","41.8400","53.5400","33561.0000","26505.0000","21278.0000","27115.0000","74.3600","0.0632","307.3900","2024-11-13","-233","0","0.1200","2446.8200"
"CUBB","CUBI","BB","NR","12/13/2024","","","0.3400","5.3800","23.5600","18.7500","c525","20.0200","1.2700","-3.5400","19.8500","19.9900","0.8600","0.1600","18.3000","21.8500","16.8900","22.0000","67.0000","19.9300","1.6300","-1.9200","44.2900","29.8400","50.3600","27.6600","-3.6300","1.1800","52.0000","64.0500","-2.0700","3.0400","29.0700","58.9300","2168.0000","2668.0000","987.0000","1941.0000","45.6500","0.0675","316.2200","2024-12-13","-203","0","0.1200","2446.8200"
"DCOMP","DCOM","","8","11/5/2024","2/15/2025","","0.3400","5.5000","22.3800","14.5100","c550","19.1000","4.5900","-3.2800","18.7300","19.0400","1.9700","0.3100","17.0500","20.7500","14.2600","21.4400","29.0000","18.8700","1.8200","-1.8800","38.6900","29.2200","45.8500","27.1100","-3.5100","4.3600","50.9300","32.8000","-2.5700","4.6100","35.9300","42.3400","5694.0000","4278.0000","4670.0000","4881.0000","24.0300","0.0729","306.2400","2024-11-05","-241","0","0.1200","2446.8200"
"DLR PRJ","DLR","","10.5","12/13/2024","","","0.3300","5.2500","25.3800","19.5500","c525","21.2600","1.7200","-4.1100","21.0900","22.1800","0.8800","-4.1200","20.0200","24.6300","19.0600","24.6300","67.0000","21.1900","1.1700","-3.4400","44.1900","47.4500","61.2800","48.3000","-4.1900","1.6400","56.9700","59.5300","-3.4400","2.1300","47.8700","68.5500","12723.0000","10087.0000","5807.0000","9539.0000","71.0100","0.0619","342.4100","2024-12-13","-203","0","0.1200","2446.8200"
"DLR PRK","DLR","","10.5","12/13/2024","","","0.3700","5.8800","26.4000","22.0000","c575","23.3000","1.3000","-3.1000","23.3300","24.1500","-0.1100","-3.5400","22.1000","25.4100","21.4000","25.6100","67.0000","23.2100","1.1100","-2.2000","49.1900","45.0600","62.7000","31.4600","-3.1900","1.2100","48.0900","63.7600","-2.4000","1.8100","33.6000","71.9300","13280.0000","13896.0000","11488.0000","12888.0000","71.0100","0.0633","337.5400","2024-12-13","-203","0","0.1200","2446.8200"
"DLR PRL","DLR","","10.5","12/13/2024","","","0.3300","5.2000","25.3700","19.3200","c525","20.3600","1.0400","-5.0100","20.4400","21.7600","-0.4100","-6.4200","19.6100","24.2600","19.0100","24.4500","67.0000","20.2800","0.6700","-3.9800","50.7100","56.9100","73.1500","55.6400","-5.0900","0.9600","64.9600","66.2200","-4.1700","1.2700","57.8900","77.6400","20022.0000","22485.0000","21183.0000","21230.0000","71.0100","0.0641","377.8400","2024-12-13","-203","0","0.1200","2446.8200"
"DTB","DTE","BB","11.5","12/27/2024","","","0.2700","4.3800","22.2900","17.3000","c425","17.4800","0.1800","-4.8100","17.6500","19.1000","-0.9600","-8.5000","16.9300","21.7100","16.9300","22.5900","81.0000","17.4500","0.5200","-4.2600","53.4800","65.4700","76.7100","59.4400","-4.8400","0.1500","62.7400","74.1800","-5.1400","0.5200","71.2000","85.5600","16043.0000","13766.0000","18903.0000","16238.0000","73.0500","0.0628","397.0300","2024-12-27","-189","0","0.1200","2446.8200"
"DTG","DTE","BB","11.5","11/15/2024","","","0.2700","4.3800","20.8900","17.3200","c425","17.5600","0.2400","-3.3300","17.5700","19.1400","-0.0400","-8.2700","16.7100","22.0500","16.7100","22.2500","39.0000","17.4100","0.7000","-4.6400","48.8400","64.5300","72.4300","64.6000","-3.4800","0.0900","50.6700","74.7700","-4.8400","0.7000","67.0800","83.6600","22749.0000","22877.0000","19932.0000","21853.0000","73.0500","0.0629","389.8000","2024-11-15","-231","0","0.1200","2446.8200"
"DTW","DTE","BB","11.5","11/15/2024","12/1/2022","","0.3300","5.2500","25.4200","20.8800","c525","21.5400","0.6600","-3.8800","21.5400","22.8200","0.0200","-5.6000","20.5500","25.1100","20.4200","25.1700","39.0000","21.3500","0.8000","-3.7600","48.5400","53.5400","70.0600","52.6500","-4.0700","0.4700","55.9000","71.0300","-3.8200","0.9300","53.0900","81.2300","21852.0000","16468.0000","18912.0000","19078.0000","73.0500","0.0615","365.0700","2024-11-15","-231","0","0.1200","2446.8200"
"DUK PRA","DUK","","11","11/15/2024","","","0.3600","5.7500","26.4900","22.9100","c550","24.7300","1.8200","-1.7600","24.7700","24.9600","-0.1500","-0.9400","24.0600","25.5900","22.7100","25.6600","39.0000","24.5300","0.4700","-1.0600","49.3900","34.3600","77.8900","15.9800","-1.9600","1.6200","37.1700","59.7300","-1.1300","1.8200","16.1700","71.8200","59040.0000","60692.0000","58604.0000","59445.0000","76.0900","0.0586","307.6700","2024-11-15","-231","0","0.1200","2446.8200"
"DUKB","DUK","BB","12","12/13/2024","","","0.3500","5.6300","26.0800","21.9300","c550","23.8700","1.9400","-2.2100","24.4700","24.7100","-2.4500","-3.3900","23.3000","25.4600","21.8000","25.5000","67.0000","23.7800","0.4800","-1.6800","61.0100","44.4400","77.6600","24.4000","-2.3000","1.8500","40.1900","57.4700","-1.7200","1.9800","24.2700","70.1300","28639.0000","30470.0000","43631.0000","34247.0000","77.6100","0.0592","330.1500","2024-12-13","-203","0","0.1200","2446.8200"
"ECF PRA","ECF","","16","12/16/2024","","","0.3300","5.2500","24.8400","21.8300","c525","21.5200","-0.3100","-3.3200","21.8500","22.4900","-1.5300","-4.3300","20.2100","24.3600","20.2100","24.4300","70.0000","21.4500","1.2400","-2.9100","56.3600","48.3100","59.6100","41.1000","-3.3900","-0.3800","49.8700","79.3900","-2.9800","1.2400","41.5600","77.9500","1280.0000","1051.0000","1227.0000","1186.0000","61.2400","0.0612","351.4500","2024-12-16","-200","0","0.1200","2446.8200"
"EFSCP","EFSC","","NR","11/27/2024","","","0.3100","5.0000","21.7500","15.4000","c500","20.0900","4.6900","-1.6600","18.8800","19.6300","6.4300","2.3600","17.2000","22.2200","13.6800","22.2200","51.0000","19.9600","2.7600","-2.2600","16.1600","20.7800","23.5300","32.2800","-1.7900","4.5600","35.6600","30.8400","-2.2600","6.2800","31.6800","24.6900","2355.0000","2067.0000","1050.0000","1824.0000","49.8200","0.0626","244.8000","2024-11-27","-219","0","0.1200","2446.8200"
"ELC","ETR","BB","15","11/29/2024","","","0.3000","4.8800","25.3000","20.0200","c475","20.4200","0.4000","-4.8800","20.5100","21.5900","-0.4600","-5.4300","19.8600","23.4300","19.8600","23.4500","53.0000","20.3000","0.4400","-3.1300","50.9600","52.8400","78.6100","44.0900","-5.0000","0.2800","64.1600","72.9000","-3.1500","0.4400","43.8900","86.4100","12096.0000","11070.0000","12496.0000","11888.0000","80.7200","0.0601","364.3900","2024-11-29","-217","0","0.1200","2446.8200"
"EMP","ETR","BB","14.5","12/27/2024","","","0.3100","4.9000","25.3000","20.0700","c475","20.4800","0.4100","-4.8200","20.6800","21.8100","-0.9500","-6.1000","19.9600","23.6100","19.9000","24.2300","81.0000","20.4500","0.4900","-3.1600","53.4300","55.6000","77.4200","44.5000","-4.8500","0.3800","62.8300","71.9200","-3.7800","0.5500","52.5400","85.2400","11300.0000","11146.0000","9152.0000","10533.0000","80.7200","0.0599","369.5800","2024-12-27","-189","0","0.1200","2446.8200"
"ENJ","ETR","BB","14.5","11/29/2024","12/1/2017","","0.3100","5.0000","24.7900","19.4900","c500","20.2500","0.7600","-4.5400","20.6800","21.6700","-2.0600","-6.5600","19.8600","23.9100","19.3100","24.5900","53.0000","20.1200","0.2600","-3.7900","59.0400","57.4900","82.8800","53.0600","-4.6700","0.6300","61.2300","69.4600","-4.4700","0.8100","62.0100","82.5000","1471.0000","1246.0000","1283.0000","1334.0000","80.7200","0.0621","386.0200","2024-11-29","-217","0","0.1200","2446.8200"
"ENO","ETR","BB","13","12/27/2024","","","0.3400","5.5000","25.4000","20.7500","c550","22.0600","1.3100","-3.3400","21.9700","23.0100","0.3900","-4.1100","21.2100","25.2600","20.5000","25.3200","81.0000","22.0300","0.8200","-3.2300","46.6700","47.4100","69.5800","45.4500","-3.3700","1.2800","49.6900","63.0700","-3.2900","1.5300","45.8100","74.8900","7420.0000","8004.0000","5397.0000","6941.0000","80.7200","0.0624","349.9800","2024-12-27","-189","0","0.1200","2446.8200"
"EQH PRA","EQH","","10.5","11/29/2024","","","0.3300","5.2500","23.7700","17.7900","c525","20.6000","2.8100","-3.1700","20.3600","21.6000","1.1700","-4.6200","18.4100","23.7600","17.2600","23.8900","53.0000","20.4600","2.0500","-3.3000","42.7300","49.5100","40.3900","46.4000","-3.3100","2.6700","49.1600","49.4100","-3.4300","3.2000","47.7400","57.2400","48072.0000","47976.0000","52933.0000","49660.0000","66.3000","0.0641","330.7800","2024-11-29","-217","0","0.1200","2446.8200"
"EQH PRC","EQH","","10.5","11/29/2024","","","0.2700","4.3000","21.0800","13.9500","c425","16.8300","2.8800","-4.2500","16.8300","18.1400","-0.0000","-7.2200","15.8300","20.0200","13.3500","20.6900","53.0000","16.7200","0.8900","-3.3000","48.6400","60.2100","67.9200","46.4000","-4.3600","2.7700","58.4800","48.4300","-3.9700","3.3700","55.1500","55.4400","27890.0000","36326.0000","69379.0000","44531.0000","66.3000","0.0643","357.2300","2024-11-29","-217","0","0.1200","2446.8200"
"ETI PR","ETR","","10","12/30/2024","","","0.3400","5.3800","25.5000","21.7500","c525","22.5700","1.1600","-2.5900","23.3200","23.6700","-1.7600","-3.2200","22.3600","24.9900","21.3900","25.4300","84.0000","22.8900","0.5300","-2.1000","57.5300","43.7400","76.4700","30.1000","-2.6100","1.1400","42.9400","64.4500","-2.5400","1.5000","35.5200","75.2000","1922.0000","1540.0000","1368.0000","1610.0000","79.1300","0.0588","337.0300","2024-12-30","-186","0","0.1200","2446.8200"
"F PRB","F","BB","9.5","11/12/2024","6/1/2024","","0.3900","6.2000","26.7900","20.8300","c625","21.5800","0.7500","-5.2100","21.2800","23.2400","1.4100","-7.1400","19.8500","25.3900","19.8500","25.6400","36.0000","21.3500","1.5000","-4.0400","41.5200","59.8800","53.4400","56.4500","-5.4400","0.5200","68.0700","70.5400","-4.2900","1.5000","59.5400","75.2000","44171.0000","46483.0000","47105.0000","45920.0000","55.8400","0.0726","388.8700","2024-11-12","-234","0","0.1200","2446.8200"
"F PRC","F","BB","9","11/12/2024","12/1/2024","","0.3800","6.0000","25.9900","20.4900","c600","21.3900","0.9000","-4.6000","20.8900","22.8600","2.4100","-6.4200","19.2000","25.0200","19.2000","25.3800","36.0000","21.1600","1.9600","-3.8600","36.4600","56.9100","42.5200","54.0100","-4.8300","0.6700","62.6500","69.0700","-4.2200","1.9600","58.5800","70.3400","46933.0000","45157.0000","31052.0000","41047.0000","55.8400","0.0709","370.5200","2024-11-12","-234","0","0.1200","2446.8200"
"FBRT PRE","FBRT","","NR","12/27/2024","","","0.4700","7.5000","21.6800","18.2000","c750","20.7100","2.5100","-0.9700","20.5800","21.4200","0.6200","-3.3200","19.0500","23.6500","18.0300","23.6500","81.0000","20.6600","1.6100","-2.9900","45.5100","44.1600","50.8300","42.1900","-1.0200","2.4600","28.8200","51.4700","-2.9900","2.6300","41.7000","63.2600","13269.0000","11726.0000","9786.0000","11594.0000","23.6000","0.0908","387.5500","2024-12-27","-189","0","0.1200","2446.8200"
"FCNCO","FCNCA","","9.5","11/27/2024","","","0.3500","5.6300","24.0800","19.4000","c550","23.1400","3.7400","-0.9400","22.2500","22.9200","3.9800","0.9800","20.5700","24.8100","18.9100","24.8300","51.0000","22.9900","2.4200","-1.8200","28.5400","26.4600","31.6000","26.3000","-1.0900","3.5900","29.4500","40.3700","-1.8400","4.0800","25.9200","47.9400","12397.0000","13708.0000","20432.0000","15512.0000","59.3600","0.0612","265.5500","2024-11-27","-219","0","0.1200","2446.8200"
"FCNCP","FCNCA","","9.5","11/27/2024","","","0.3400","5.3800","23.6600","18.8500","c525","21.4000","2.5500","-2.2600","21.3100","22.3100","0.4300","-4.0600","19.3000","24.4200","18.6900","24.4200","51.0000","21.2500","1.9500","-3.1700","46.4600","47.2000","42.7600","44.6300","-2.4100","2.4000","41.1700","52.0600","-3.1700","2.5600","44.1700","64.0000","16602.0000","21693.0000","31120.0000","23138.0000","59.3600","0.0633","329.4100","2024-11-27","-219","0","0.1200","2446.8200"
"FHN PRF","FHN","","8.5","12/20/2024","","","0.2900","4.7000","","","c475","17.6000","","","17.4800","18.3300","0.7000","-3.9900","16.4100","21.4800","13.1300","21.4800","74.0000","17.5500","1.1400","-3.9300","45.1000","46.9100","61.9900","54.9600","","","40.4100","44.4300","-3.9300","4.4200","54.6000","44.3500","6722.0000","5381.0000","6113.0000","6072.0000","56.9800","0.0670","340.2300","2024-12-20","-196","0","0.1200","2446.8200"
"FITBO","FITB","","10.5","12/26/2024","","","0.3100","4.9500","25.7900","17.9300","c500","20.0800","2.1500","-5.7100","21.1600","21.6900","-5.1200","-7.4200","19.5200","24.1500","17.5800","24.1500","80.0000","20.0500","0.5300","-4.1000","74.4900","61.0300","76.4700","57.2700","-5.7400","2.1200","70.7300","54.8200","-4.1000","2.4700","56.9300","64.9500","20027.0000","21063.0000","19571.0000","20220.0000","61.8800","0.0617","382.2200","2024-12-26","-190","0","0.1200","2446.8200"
"FITBP","FITB","","NR","12/26/2024","","","0.3800","6.0000","25.6000","22.1300","c600","24.5000","2.3700","-1.1000","24.3800","24.5000","0.4800","-0.0100","23.0400","25.5600","21.0100","25.9000","80.0000","24.4600","1.4200","-1.1000","46.2100","30.5300","55.3400","16.5200","-1.1400","2.3300","29.8900","52.7500","-1.4400","3.4500","20.4300","54.6000","7849.0000","9234.0000","10574.0000","9219.0000","61.8800","0.0613","290.2300","2024-12-26","-190","0","0.1200","2446.8200"
"FRT PRC","FRT","","12.5","1/2/2025","","","0.3100","5.0000","25.7500","19.6400","c500","20.3700","0.7200","-5.3900","20.5600","21.3700","-0.9500","-4.7400","19.4100","23.2700","18.5700","23.9000","87.0000","20.3500","0.9400","-2.9200","53.4300","50.0000","66.7400","41.2400","-5.4000","0.7100","67.7100","68.6700","-3.5500","1.7800","49.3800","72.2500","6010.0000","5595.0000","2676.0000","4760.0000","41.1400","0.0614","351.8200","2025-01-02","-183","0","0.1200","2446.8200"
"FULTP","FULT","","11","12/2/2024","","","0.3200","5.1300","23.1000","15.0900","c500","18.1400","3.0500","-4.9600","18.9200","19.2300","-4.1300","-5.6900","17.2500","21.2200","14.5600","21.2200","56.0000","18.0200","0.7700","-3.2000","69.4900","53.9100","70.7700","45.0400","-5.0800","2.9300","64.8700","46.8600","-3.2000","3.4600","44.5800","54.4900","8496.0000","6477.0000","8962.0000","7978.0000","54.6300","0.0712","376.5900","2024-12-02","-214","0","0.1200","2446.8200"
"GAB PRG","GAB","","16","12/16/2024","","","0.3100","5.0000","24.5000","21.0000","c500","20.5400","-0.4600","-3.9600","21.0500","21.8000","-2.4200","-5.7700","20.1700","23.9500","20.1700","24.2000","70.0000","20.4700","0.3000","-3.4800","60.8600","54.2400","81.9300","48.8500","-4.0300","-0.5300","55.5500","80.8600","-3.7300","0.3000","51.8500","87.8900","4102.0000","4727.0000","2502.0000","3777.0000","66.2300","0.0611","379.6200","2024-12-16","-200","0","0.1200","2446.8200"
"GAB PRH","GAB","","16","12/16/2024","","","0.3100","5.0000","23.8900","20.9800","c500","20.6800","-0.3000","-3.2100","21.0500","21.8400","-1.7400","-5.3200","20.3900","23.9900","20.3900","24.2400","70.0000","20.6100","0.2200","-3.3800","57.4200","52.3900","83.8300","47.4900","-3.2800","-0.3700","48.8900","79.2900","-3.6300","0.2200","50.4800","88.7300","9338.0000","10450.0000","12776.0000","10855.0000","66.2300","0.0607","373.2900","2024-12-16","-200","0","0.1200","2446.8200"
"GAB PRK","GAB","","16","12/16/2024","","","0.3100","5.0000","24.4000","21.2300","c500","20.6900","-0.5400","-3.7100","21.0600","21.8500","-1.7600","-5.3100","20.4800","24.1700","20.4800","24.2500","70.0000","20.6200","0.1400","-3.5500","57.5300","52.3500","85.7300","49.8000","-3.7800","-0.6100","53.3300","81.6500","-3.6300","0.1400","50.4800","89.5800","7238.0000","8040.0000","10857.0000","8711.0000","66.2300","0.0606","376.4500","2024-12-16","-200","0","0.1200","2446.8200"
"GDV PRH","GDV","","17","12/16/2024","","","0.3400","5.3800","25.8500","22.5500","c525","23.2500","0.7000","-2.6000","23.1900","23.6600","0.2800","-1.7500","22.3500","25.0500","22.0000","25.3400","70.0000","23.1700","0.8200","-1.8800","47.2200","37.7000","69.5800","27.1100","-2.6800","0.6200","43.5600","69.5600","-2.1700","1.1700","30.4500","78.6900","2969.0000","3249.0000","3688.0000","3302.0000","72.2500","0.0580","320.6300","2024-12-16","-200","0","0.1200","2446.8200"
"GDV PRK","GDV","","17","12/13/2024","","","0.2700","4.2500","20.8200","17.6500","c425","18.3500","0.7100","-2.4600","18.4500","19.1200","-0.4800","-3.9700","17.9600","20.9900","16.9600","21.4900","67.0000","18.2900","0.3300","-2.7000","51.0600","46.8300","81.2200","38.2500","-2.5300","0.6400","42.2300","69.3600","-3.2000","1.3300","44.5800","77.0000","7779.0000","8294.0000","5354.0000","7142.0000","72.2500","0.0581","343.3000","2024-12-13","-203","0","0.1200","2446.8200"
