PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group
KREF PRA,KREF,,NR,11/27/2024,4/16/2026,,0.41,6.5,23.37,16.18,c650,20.85,4.67,-2.52,19.38,19.94,7.58,4.56,17.98,21.88,15.81,23.66,57.0,20.7,2.72,-1.18,10.0,10.0,21.39,17.32,-2.67,4.52,44.35,32.01,-2.96,4.89,38.85,40.65,17032.0,16907.0,15068.0,16336.0,37.89,0.0785,284.97,1.12,2103.86,5
MBINN,MBIN,,NR,12/13/2024,,,0.38,6.0,24.23,16.5,c600,19.78,3.27,-4.46,20.33,21.4,-2.74,-7.63,18.31,24.26,16.31,24.34,73.0,19.7,1.39,-4.56,60.13,61.19,52.97,61.5,-4.53,3.2,60.52,43.83,-4.64,3.39,60.89,55.57,7563.0,6825.0,4792.0,6394.0,40.39,0.0761,406.04,1.12,2103.86,8
MET PRE,MET,,12,11/27/2024,,,0.35,5.63,26.5,21.22,c550,23.76,2.54,-2.74,23.62,24.17,0.58,-1.72,22.66,25.19,21.03,25.23,57.0,23.63,0.97,-1.56,44.0,36.37,62.94,22.29,-2.87,2.41,46.09,50.89,-1.6,2.6,21.02,63.43,53590.0,45382.0,54509.0,51160.0,73.09,0.0596,354.82,1.12,2103.86,4
MET PRF,MET,,12,11/27/2024,,,0.3,4.75,24.56,18.5,c475,19.67,1.17,-4.89,19.87,20.86,-0.99,-5.69,19.0,23.21,18.33,23.21,57.0,19.56,0.56,-3.65,51.63,53.04,72.67,49.61,-5.0,1.06,64.61,62.98,-3.65,1.23,47.9,77.06,88400.0,91183.0,127054.0,102213.0,73.09,0.0607,411.98,1.12,2103.86,9
MFA PRB,MFA,,NR,11/27/2024,4/15/2018,,0.47,7.5,21.92,18.34,c750,20.57,2.23,-1.35,20.99,21.57,-2.0,-4.64,18.27,23.67,17.01,23.67,57.0,20.4,2.13,-3.27,56.53,48.64,35.4,44.64,-1.52,2.06,34.35,54.03,-3.27,3.39,42.92,55.57,16330.0,15141.0,11833.0,14435.0,20.65,0.0919,384.11,1.12,2103.86,5
MGR,AMG,BB,12,12/27/2024,,,0.37,5.88,26.29,19.6,c575,20.55,1.32,-5.37,21.08,22.64,-0.74,-7.61,19.91,25.15,19.43,25.17,87.0,20.91,1.0,-4.24,50.41,61.11,62.23,57.32,-5.38,1.31,67.91,60.74,-4.26,1.48,55.9,74.58,17708.0,16566.0,15313.0,16529.0,65.5,0.0703,430.86,1.12,2103.86,2
MGRD,AMG,BB,12,12/27/2024,,,0.26,4.2,19.5,15.18,c425,15.17,0.25,-4.07,15.48,16.55,-0.3,-6.75,14.61,18.37,14.61,18.37,87.0,15.42,0.81,-2.95,48.28,57.5,66.74,40.46,-4.08,0.24,56.61,70.31,-2.95,0.81,38.72,81.24,10256.0,10147.0,10419.0,10274.0,65.5,0.0681,415.3,1.12,2103.86,10
MS PRK,MS,,11,12/27/2024,,,0.37,5.85,26.38,21.4,c575,23.87,2.47,-2.51,23.58,24.45,1.22,-2.37,22.52,25.75,21.16,26.0,87.0,23.86,1.34,-1.89,40.89,39.1,54.15,26.6,-2.52,2.46,43.04,50.45,-2.14,2.7,28.1,62.44,80818.0,86151.0,85743.0,84237.0,77.82,0.0613,364.1,1.12,2103.86,4
MS PRL,MS,,11,12/27/2024,,,0.3,4.88,24.0,18.32,c475,20.08,1.76,-3.92,20.13,21.74,-0.26,-7.63,19.26,24.32,18.15,24.49,87.0,20.07,0.81,-4.25,48.08,61.19,66.74,57.45,-3.93,1.75,55.3,56.8,-4.42,1.92,58.0,70.2,26852.0,27956.0,30469.0,28425.0,77.82,0.0608,420.38,1.12,2103.86,2
NCV PRA,NCV,,NR,12/5/2024,,,0.35,5.63,24.28,20.92,c550,21.18,0.26,-3.1,21.76,22.01,-2.68,-3.77,20.72,23.18,20.6,23.64,65.0,21.08,0.36,-2.1,59.84,44.98,77.42,29.35,-3.2,0.16,48.96,71.03,-2.56,0.48,33.61,84.53,5519.0,3507.0,4848.0,4625.0,23.61,0.0668,359.66,1.12,2103.86,7
NCZ PRA,NCZ,,NR,12/5/2024,,,0.34,5.5,24.28,20.5,c550,20.84,0.34,-3.44,21.02,21.05,-0.84,-0.99,19.92,22.09,19.92,22.38,65.0,20.75,0.83,-1.34,50.9,33.31,66.26,19.41,-3.53,0.25,51.83,70.22,-1.63,0.83,21.41,81.04,8815.0,8505.0,3157.0,6826.0,23.85,0.0663,330.12,1.12,2103.86,7
NRUC,-,BB,13,11/1/2024,,,0.34,5.5,25.22,21.75,c550,24.19,2.44,-1.03,23.53,24.12,2.8,0.29,22.38,25.75,21.64,25.75,31.0,23.97,1.59,-1.78,33.22,27.93,48.22,25.16,-1.25,2.22,32.0,52.6,-1.78,2.33,23.38,66.12,15479.0,14521.0,12745.0,14248.0,45.33,0.0574,300.93,1.12,2103.86,4
NSA PRA,NSA,,NR,12/13/2024,,,0.38,6.0,25.3,20.65,c600,22.99,2.34,-2.31,22.48,22.86,2.27,0.58,21.12,24.8,20.16,25.2,73.0,22.92,1.8,-1.88,35.79,26.71,43.23,26.47,-2.38,2.27,41.83,52.15,-2.28,2.76,29.93,61.84,11964.0,11715.0,14593.0,12757.0,40.77,0.0654,313.88,1.12,2103.86,5
NTRSO,NTRS,,13,12/13/2024,,,0.29,4.7,24.85,18.3,c475,19.4,1.1,-5.45,19.74,20.87,-1.7,-7.04,18.74,24.29,18.1,24.29,73.0,19.35,0.61,-4.94,55.08,58.71,71.48,66.47,-5.5,1.05,68.96,63.06,-4.94,1.25,64.82,76.87,26881.0,24373.0,27508.0,26254.0,70.12,0.0607,427.94,1.12,2103.86,9
NYMTZ,NYMT,,NR,1/2/2025,,,0.44,7.0,19.78,16.6,c700,18.75,2.15,-1.03,18.52,19.35,1.22,-3.08,16.75,21.5,15.31,21.75,3.0,18.32,1.57,-3.18,40.89,42.08,48.69,43.46,-1.46,1.72,33.83,57.07,-3.43,3.01,45.02,59.35,4187.0,3669.0,3352.0,3736.0,21.41,0.0955,384.71,1.12,2103.86,11
OPP PRA,OPP,,16,11/1/2024,,,0.27,4.38,20.87,16.98,c425,17.14,0.16,-3.73,17.9,18.56,-4.25,-7.65,16.54,19.95,16.54,20.21,31.0,16.96,0.42,-2.99,67.46,61.28,75.99,40.98,-3.91,-0.02,55.13,72.64,-3.25,0.42,42.66,85.12,4783.0,4457.0,6630.0,5290.0,58.61,0.0646,422.06,1.12,2103.86,7
OPP PRB,OPP,,16,11/1/2024,2/15/2027,,0.3,4.75,21.43,18.7,c475,18.44,-0.26,-2.99,19.42,20.0,-5.07,-7.8,18.34,21.13,18.31,22.31,31.0,18.24,-0.1,-2.89,71.45,61.91,88.34,39.67,-3.19,-0.46,48.87,76.58,-4.07,-0.07,53.41,90.0,2995.0,2066.0,3214.0,2758.0,58.61,0.0651,435.93,1.12,2103.86,7
