PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group
REGCP,REG,,NR,10/16/2024,,,0.39,6.25,,23.1,c625,23.52,0.42,,23.36,23.76,0.67,-0.99,21.88,25.4,21.88,25.63,15.0,23.2,1.32,-2.2,43.56,33.31,54.63,30.65,,0.1,41.62,71.57,-2.43,1.32,31.9,76.17,4869.0,4320.0,3327.0,4172.0,59.88,0.0673,368.32,1.12,2103.86,7
REXR PRB,REXR,,NR,12/13/2024,,,0.37,5.88,25.39,21.16,c575,22.33,1.17,-3.06,23.06,22.86,-3.16,-2.32,22.15,24.43,20.6,24.57,73.0,22.26,0.11,-2.17,62.17,38.89,83.35,30.26,-3.13,1.1,48.35,62.62,-2.31,1.66,30.33,72.79,4993.0,3802.0,1147.0,3314.0,45.87,0.066,372.3,1.12,2103.86,7
REXR PRC,REXR,,NR,11/15/2024,,,0.35,5.63,26.1,20.05,c550,20.97,0.91,-5.14,21.7,21.99,-3.43,-4.66,20.13,24.22,19.71,24.54,45.0,20.79,0.66,-3.43,63.48,48.72,70.3,46.73,-5.31,0.74,67.3,65.84,-3.75,1.08,49.21,78.56,7423.0,3790.0,1425.0,4213.0,45.87,0.0677,400.1,1.12,2103.86,7
RF PRE,RF,,10,11/27/2024,,,0.28,4.45,20.69,15.45,c450,17.5,2.05,-3.19,17.42,18.19,0.44,-3.78,16.41,19.98,14.16,19.98,57.0,17.4,0.99,-2.58,44.68,45.02,62.46,35.62,-3.29,1.95,49.74,55.01,-2.58,3.24,33.87,57.06,28617.0,26343.0,29117.0,28026.0,60.17,0.0639,365.88,1.12,2103.86,10
RNR PRF,RNR,,12,11/27/2024,,,0.36,5.75,25.11,20.71,c550,21.43,0.72,-3.68,21.6,23.08,-0.77,-7.13,20.8,24.9,20.43,25.1,57.0,21.3,0.5,-3.6,50.56,59.09,74.09,48.95,-3.81,0.59,54.26,67.18,-3.8,0.87,49.87,80.65,16224.0,18127.0,21443.0,18598.0,64.61,0.0675,423.61,1.12,2103.86,2
RNR PRG,RNR,,12,11/27/2024,,,0.26,4.2,20.02,15.35,c425,15.88,0.53,-4.14,15.87,17.22,0.06,-7.8,14.26,18.73,14.26,19.46,57.0,15.78,1.52,-2.95,46.53,61.91,49.88,40.46,-4.24,0.43,58.0,68.61,-3.68,1.52,48.3,74.18,28870.0,30988.0,17546.0,25802.0,64.61,0.0665,408.03,1.12,2103.86,9
SCE PRG,EIX,TP,10,12/13/2024,,,0.32,5.1,20.73,17.2,c500,16.76,-0.44,-3.97,17.37,19.33,-3.53,-13.28,16.32,21.69,16.32,21.7,73.0,16.7,0.38,-4.99,63.96,84.92,76.94,67.12,-4.03,-0.5,56.17,76.94,-5.0,0.38,65.61,85.52,17357.0,14638.0,10102.0,14032.0,51.61,0.0763,477.27,1.12,2103.86,1
SCE PRL,EIX,TP,10,12/13/2024,,,0.31,5.0,20.24,16.94,c500,16.17,-0.77,-4.07,16.95,18.9,-4.61,-14.44,15.98,21.09,15.98,21.32,73.0,16.11,0.13,-4.98,69.21,89.79,82.88,66.99,-4.13,-0.83,57.04,79.89,-5.21,0.13,68.36,88.01,43656.0,32088.0,38383.0,38042.0,51.61,0.0776,492.69,1.12,2103.86,2
SCHW PRD,SCHW,,12,11/13/2024,,,0.37,5.95,25.94,22.65,c575,24.95,2.3,-0.99,24.87,25.14,0.34,-0.75,24.25,25.71,22.29,25.71,43.0,24.76,0.51,-0.95,45.17,32.3,73.86,14.31,-1.18,2.11,31.39,53.58,-0.95,2.47,12.49,64.73,44756.0,52223.0,58025.0,51668.0,80.09,0.0601,357.64,1.12,2103.86,4
SCHW PRJ,SCHW,,12,11/13/2024,,,0.28,4.45,23.4,16.75,c450,18.85,2.1,-4.55,19.16,20.25,-1.63,-6.9,18.33,22.57,16.63,22.6,43.0,18.7,0.37,-3.87,54.74,58.13,77.18,52.48,-4.7,1.95,62.0,55.01,-3.9,2.07,51.18,68.71,55522.0,55024.0,62037.0,57528.0,80.09,0.0595,420.92,1.12,2103.86,9
SF PRB,SF,,8,12/2/2024,,,0.39,6.25,26.94,22.01,c625,23.62,1.61,-3.32,23.77,24.45,-0.64,-3.41,22.22,25.39,21.56,25.73,62.0,23.5,1.28,-1.89,49.93,43.47,55.58,26.6,-3.44,1.49,51.04,59.13,-2.23,1.94,29.28,70.0,6718.0,7214.0,8994.0,7642.0,55.31,0.0665,367.5,1.12,2103.86,1
SF PRC,SF,,8,12/2/2024,,,0.38,6.13,27.0,22.12,c625,22.88,0.76,-4.12,23.34,24.38,-1.96,-6.15,21.81,25.86,21.27,26.47,62.0,22.76,0.95,-3.1,56.34,54.98,63.41,42.42,-4.24,0.64,58.0,66.73,-3.71,1.49,48.69,74.48,10994.0,12113.0,16415.0,13174.0,55.31,0.0673,404.02,1.12,2103.86,1
SHO PRH,SHO,,NR,12/27/2024,,,0.38,6.13,23.75,20.4,c625,20.69,0.29,-3.06,20.7,21.69,-0.06,-4.62,19.14,24.22,19.14,24.27,87.0,20.68,1.54,-3.54,47.11,48.55,49.41,48.17,-3.07,0.28,47.83,69.96,-3.59,1.54,47.11,73.98,6816.0,6583.0,1470.0,4956.0,42.92,0.0741,388.75,1.12,2103.86,5
SHO PRI,SHO,,NR,12/27/2024,,,0.36,5.7,22.98,19.43,c550,19.43,0.0,-3.55,19.48,20.44,-0.26,-4.92,17.96,22.79,17.96,22.79,87.0,19.42,1.46,-3.37,48.08,49.81,51.31,45.95,-3.56,-0.01,52.09,72.55,-3.37,1.46,44.23,74.78,6531.0,6016.0,1270.0,4606.0,42.92,0.0734,389.79,1.12,2103.86,5
SIGIP,SIGI,,10,11/27/2024,,,0.29,4.6,20.74,15.48,c450,17.09,1.61,-3.65,17.51,18.31,-2.42,-6.66,16.61,20.3,15.17,20.3,57.0,16.98,0.37,-3.32,58.57,57.12,77.18,45.29,-3.76,1.5,53.83,59.04,-3.32,1.81,43.57,71.29,4834.0,4029.0,3008.0,3957.0,55.99,0.0677,408.35,1.12,2103.86,1
SLG PRI,SLG,,9.5,12/17/2024,,,0.41,6.5,25.67,18.15,c650,21.65,3.5,-4.02,22.21,22.7,-2.5,-4.62,20.56,24.53,16.6,24.87,77.0,21.59,1.03,-2.94,58.96,48.55,61.51,40.33,-4.08,3.44,56.61,41.68,-3.28,4.99,43.05,39.65,13358.0,10586.0,12440.0,12128.0,33.45,0.0753,365.77,1.12,2103.86,1
SOJC,SO,BB,11.5,11/29/2024,,,0.33,5.25,25.69,20.75,c525,21.59,0.84,-4.1,21.64,22.93,-0.22,-5.84,21.05,24.92,20.35,25.07,59.0,21.48,0.43,-3.44,47.89,53.67,75.76,46.86,-4.21,0.73,57.74,65.93,-3.59,1.13,47.11,78.06,25585.0,24126.0,23746.0,24486.0,80.08,0.0611,418.99,1.12,2103.86,2
SOJD,SO,BB,11.5,10/29/2024,,,0.31,4.95,23.86,19.45,c500,20.02,0.57,-3.84,20.29,21.65,-1.32,-7.52,19.26,23.95,19.26,24.55,28.0,19.81,0.55,-4.14,53.23,60.73,72.91,56.01,-4.05,0.36,56.35,69.24,-4.74,0.55,62.2,83.83,84500.0,78197.0,81739.0,81479.0,80.08,0.0625,442.24,1.12,2103.86,9
SOJE,SO,BB,11.5,1/10/2025,,,0.26,4.2,20.96,17.42,c425,17.62,0.2,-3.34,17.92,19.4,-1.7,-9.19,16.99,21.92,16.99,22.35,11.0,17.39,0.4,-4.53,55.08,67.74,76.47,61.11,-3.57,-0.03,52.17,72.73,-4.96,0.4,65.08,85.32,54327.0,53489.0,44049.0,50622.0,80.08,0.0604,450.31,1.12,2103.86,9
SR PRA,SR,,11,10/25/2024,8/15/2024,,0.37,5.9,26.15,21.87,c575,23.7,1.83,-2.45,24.06,24.31,-1.5,-2.51,23.2,25.39,21.36,25.39,24.0,23.43,0.23,-1.96,54.1,39.69,80.5,27.52,-2.72,1.56,44.78,58.5,-1.96,2.07,25.74,68.71,16451.0,14956.0,15170.0,15526.0,61.12,0.063,371.7,1.12,2103.86,4
SREA,SRE,BB,11.5,12/13/2024,,,0.36,5.75,25.24,21.16,c550,20.94,-0.22,-4.3,21.24,23.12,-1.41,-9.42,19.6,25.2,19.6,25.47,73.0,20.87,1.27,-4.33,53.67,68.71,55.82,58.5,-4.37,-0.29,59.13,75.06,-4.6,1.27,60.36,76.67,51975.0,57703.0,35445.0,48374.0,69.46,0.0689,444.87,1.12,2103.86,2
STT PRG,STT,,13,11/27/2024,,,0.33,5.35,26.9,21.63,c525,21.88,0.25,-5.02,22.5,23.79,-2.77,-8.02,21.32,25.16,21.32,25.16,57.0,21.76,0.44,-3.4,60.27,62.83,75.52,46.34,-5.14,0.13,65.83,71.3,-3.4,0.44,44.62,84.93,40842.0,43237.0,43816.0,42632.0,73.34,0.0615,432.87,1.12,2103.86,4
SYF PRA,SYF,,NR,10/30/2024,11/15/2024,,0.35,5.63,22.14,15.28,c550,18.67,3.39,-3.47,18.14,19.27,2.94,-3.1,16.19,21.62,14.51,21.94,29.0,18.43,2.24,-3.19,32.54,42.17,32.79,43.59,-3.71,3.15,53.39,44.27,-3.51,3.92,46.07,50.3,53975.0,50636.0,39710.0,48107.0,59.35,0.0764,372.4,1.12,2103.86,8
T PRA,T,,10,1/7/2025,12/12/2024,,0.31,5.0,23.49,18.31,c500,20.1,1.79,-3.39,20.28,21.09,-0.87,-4.71,19.15,22.75,18.2,22.8,8.0,19.82,0.67,-2.93,51.04,48.93,70.06,40.2,-3.67,1.51,53.04,58.95,-2.98,1.62,39.11,73.18,98183.0,91406.0,75101.0,88230.0,77.94,0.0631,406.16,1.12,2103.86,9
T PRC,T,,10,1/7/2025,2/18/2025,,0.3,4.75,21.55,17.25,c475,19.1,1.85,-2.45,19.19,19.99,-0.47,-4.43,18.2,21.69,17.02,21.71,8.0,18.83,0.63,-2.86,49.1,47.75,71.01,39.28,-2.72,1.58,44.78,58.32,-2.88,1.81,37.8,71.29,132174.0,126090.0,136500.0,131588.0,77.94,0.0631,401.05,1.12,2103.86,9
TBB,T,BB,12,10/17/2024,,,0.33,5.35,24.98,20.32,c525,22.51,2.19,-2.47,22.78,23.47,-1.21,-4.11,21.55,24.9,20.26,24.9,16.0,22.24,0.69,-2.66,52.7,46.41,69.58,36.67,-2.74,1.92,44.96,55.28,-2.66,1.98,34.92,69.6,75650.0,58923.0,56730.0,63768.0,79.5,0.0601,393.35,1.12,2103.86,4
TCBIO,TCBI,,8,12/2/2024,6/15/2026,,0.36,5.75,24.5,16.01,c550,21.02,5.01,-3.48,20.06,20.35,4.8,3.29,18.11,21.87,15.52,22.71,62.0,20.91,2.8,-0.96,23.5,15.33,19.5,14.44,-3.59,4.9,52.35,28.61,-1.8,5.39,23.64,35.67,20534.0,17547.0,14869.0,17650.0,50.97,0.0687,283.11,1.12,2103.86,8
TDS PRU,TDS,,7,12/13/2024,,,0.41,6.63,24.25,14.26,c650,19.71,5.45,-4.54,20.31,20.74,-2.97,-4.95,18.71,22.88,13.31,22.88,73.0,19.63,0.92,-3.25,61.24,49.94,64.12,44.38,-4.62,5.37,61.3,24.41,-3.25,6.32,42.66,26.42,26767.0,21593.0,28363.0,25574.0,48.66,0.0844,396.42,1.12,2103.86,6
TDS PRV,TDS,,7,12/13/2024,9/30/2026,,0.38,6.0,22.28,12.88,c600,18.1,5.22,-4.18,17.98,18.47,0.67,-1.99,16.25,20.48,12.01,20.48,73.0,18.03,1.78,-2.45,43.56,37.51,43.71,33.92,-4.25,5.15,58.09,26.38,-2.45,6.02,32.16,29.4,43916.0,39342.0,40286.0,41181.0,48.66,0.0832,358.95,1.12,2103.86,6
TFC PRO,TFC,,11.5,11/8/2024,,,0.33,5.25,25.2,19.78,c525,21.15,1.37,-4.05,21.31,22.38,-0.76,-5.49,19.69,24.46,19.43,24.83,38.0,20.96,1.27,-3.5,50.51,52.2,55.82,47.65,-4.24,1.18,58.0,61.9,-3.87,1.53,50.79,74.08,47097.0,39397.0,40141.0,42212.0,64.81,0.0626,396.95,1.12,2103.86,9
TFC PRR,TFC,,11.5,11/8/2024,,,0.3,4.75,22.49,17.71,c475,18.96,1.25,-3.53,19.29,20.26,-1.71,-6.42,18.41,22.27,17.29,22.62,38.0,18.79,0.38,-3.48,55.12,56.11,76.94,47.39,-3.7,1.08,53.3,62.8,-3.83,1.5,50.26,74.38,69470.0,60926.0,58621.0,63006.0,64.81,0.0632,411.21,1.12,2103.86,10
TRTN PRD,-,,NR,12/6/2024,3/15/2025,,0.43,6.88,25.95,21.62,c675,22.55,0.93,-3.4,21.93,23.26,2.84,-3.05,19.76,25.01,19.76,25.67,66.0,22.44,2.68,-2.57,33.02,41.96,22.34,35.49,-3.51,0.82,51.65,65.12,-3.23,2.68,42.39,62.64,9411.0,9310.0,10758.0,9827.0,44.05,0.0766,359.66,1.12,2103.86,5
TRTN PRE,-,,NR,12/6/2024,,,0.36,5.75,23.79,17.8,c550,18.75,0.95,-5.04,18.75,20.42,0.01,-8.16,16.9,23.17,16.9,23.3,66.0,18.65,1.75,-4.52,46.77,63.42,44.42,60.98,-5.14,0.85,65.83,64.85,-4.65,1.75,61.02,71.89,6906.0,7019.0,4681.0,6202.0,44.05,0.0771,417.72,1.12,2103.86,3
TRTX PRC,TRTX,,NR,12/16/2024,6/14/2026,,0.39,6.25,18.83,13.81,c625,17.55,3.74,-1.28,17.69,18.09,-0.79,-2.97,16.01,20.0,13.0,20.0,76.0,17.49,1.48,-2.51,50.66,41.62,50.83,34.71,-1.34,3.68,32.78,39.53,-2.51,4.49,32.95,44.63,7250.0,7399.0,5375.0,6674.0,42.84,0.0893,382.51,1.12,2103.86,11
TY PR,TY,,NR,12/5/2024,,,0.31,5.0,50.11,43.5,c500,44.29,0.8,-5.81,44.6,45.82,-0.68,-3.32,43.13,48.65,42.0,49.19,65.0,44.21,1.08,-4.44,50.12,43.09,60.33,59.93,-5.9,0.71,72.43,66.11,-4.98,2.21,65.34,67.31,533.0,453.0,190.0,392.0,51.41,0.0283,313.36,1.12,2103.86,0
UNMA,UNM,BB,10,11/29/2024,,,0.39,6.25,26.19,21.92,c625,23.23,1.31,-2.96,24.48,24.83,-5.11,-6.44,23.1,25.46,21.49,26.05,59.0,23.1,0.0,-2.36,71.64,56.19,85.96,32.75,-3.09,1.18,48.0,61.9,-2.95,1.61,38.72,73.28,13265.0,12463.0,11243.0,12324.0,66.43,0.0676,424.57,1.12,2103.86,4
USB PRP,USB,,13.5,12/30/2024,,,0.34,5.5,25.25,19.75,c550,22.78,3.03,-2.47,22.93,23.85,-0.64,-4.47,21.46,25.43,19.0,25.43,0.0,22.44,0.98,-2.99,49.93,47.92,62.7,40.98,-2.81,2.69,45.57,48.39,-2.99,3.44,39.25,55.07,34992.0,36179.0,37948.0,36373.0,72.04,0.0613,379.59,1.12,2103.86,2
USB PRQ,USB,,13.5,12/27/2024,,,0.23,3.75,19.57,13.5,c400,15.28,1.78,-4.29,15.55,16.64,-1.76,-8.19,14.66,18.59,13.32,18.6,87.0,15.27,0.61,-3.32,55.37,63.54,71.48,45.29,-4.3,1.77,58.52,56.62,-3.33,1.95,43.7,69.9,41326.0,38487.0,55976.0,45263.0,72.04,0.0614,414.43,1.12,2103.86,10
USB PRR,USB,,13.5,12/27/2024,,,0.25,4.0,21.05,14.57,c400,16.33,1.75,-4.73,16.59,17.76,-1.61,-8.12,15.62,20.09,14.24,20.35,87.0,16.31,0.69,-3.78,54.64,63.25,69.58,51.31,-4.74,1.74,62.35,56.89,-4.04,2.07,53.02,68.71,49759.0,43121.0,51745.0,48208.0,72.04,0.0613,418.49,1.12,2103.86,9
USB PRS,USB,,13.5,12/27/2024,,,0.28,4.5,22.08,16.44,c450,18.73,2.29,-3.35,18.99,20.21,-1.35,-7.33,18.04,22.54,16.22,22.97,87.0,18.72,0.68,-3.82,53.38,59.93,69.82,51.83,-3.36,2.28,50.35,52.06,-4.25,2.5,55.77,64.43,41596.0,35961.0,27636.0,35064.0,72.04,0.0601,407.98,1.12,2103.86,9
UZD,USM,BB,9.5,11/29/2024,9/1/2025,,0.39,6.25,24.16,16.77,c625,23.88,7.11,-0.28,23.7,23.41,0.77,2.01,22.0,24.37,15.78,24.8,59.0,23.75,1.75,-0.62,43.08,20.71,44.42,10.0,-0.41,6.98,24.7,10.0,-1.05,7.97,13.8,10.0,39825.0,38960.0,50850.0,43212.0,57.76,0.0658,283.26,1.12,2103.86,8
UZE,USM,BB,9.5,11/29/2024,,,0.34,5.5,21.8,14.93,c550,20.88,5.95,-0.92,21.69,21.78,-3.73,-4.13,20.25,23.22,13.7,23.8,59.0,20.76,0.51,-2.46,64.94,46.49,73.86,34.05,-1.04,5.83,30.17,20.29,-3.04,7.06,39.9,19.05,36282.0,32213.0,37621.0,35372.0,57.76,0.0662,356.38,1.12,2103.86,6
UZF,USM,BB,9.5,11/29/2024,6/1/2026,,0.34,5.5,21.75,15.44,c550,20.83,5.39,-0.92,21.73,21.79,-4.15,-4.4,20.3,23.5,13.61,23.7,59.0,20.71,0.41,-2.79,66.98,47.63,76.23,38.37,-1.04,5.27,30.17,25.3,-2.99,7.1,39.25,18.66,30097.0,26017.0,30393.0,28836.0,57.76,0.0664,362.63,1.12,2103.86,8
VNO PRL,VNO,,10.5,12/13/2024,,,0.34,5.4,24.16,13.75,c525,17.85,4.11,-6.3,17.52,17.5,1.96,2.04,15.25,19.46,13.11,19.46,73.0,17.8,2.55,-1.66,37.3,20.58,25.43,23.59,-6.36,4.05,76.43,36.22,-1.66,4.69,21.8,42.64,19678.0,17678.0,17419.0,18258.0,60.67,0.0758,336.17,1.12,2103.86,6
VNO PRM,VNO,,10.5,12/13/2024,,,0.33,5.25,23.4,13.71,c525,17.11,3.4,-6.29,16.96,17.03,0.91,0.47,14.75,18.99,13.17,18.99,73.0,17.05,2.3,-1.94,42.4,27.18,31.36,27.25,-6.35,3.34,76.35,42.57,-1.94,3.88,25.48,50.7,20018.0,18945.0,9600.0,16188.0,60.67,0.077,357.77,1.12,2103.86,6
VNO PRN,VNO,,10.5,12/13/2024,,,0.33,5.25,22.92,13.76,c525,17.13,3.37,-5.79,17.0,17.1,0.78,0.15,14.81,18.97,13.31,18.97,73.0,17.07,2.26,-1.9,43.03,28.52,32.31,26.73,-5.85,3.31,72.0,42.84,-1.9,3.76,24.95,51.89,18192.0,17972.0,17758.0,17974.0,60.67,0.0769,358.94,1.12,2103.86,6
VNO PRO,VNO,,10.5,12/13/2024,,,0.28,4.5,19.7,11.6,c450,14.55,2.95,-5.15,14.62,14.99,-0.48,-2.96,12.51,17.34,11.28,17.34,73.0,14.5,1.99,-2.84,49.15,41.58,38.72,39.02,-5.2,2.9,66.35,46.51,-2.84,3.22,37.28,57.26,21534.0,21377.0,20186.0,21032.0,60.67,0.0776,389.16,1.12,2103.86,6
WAFDP,WAFD,,10,12/27/2024,4/15/2026,,0.3,4.88,22.2,12.6,c475,15.94,3.34,-6.26,16.21,16.86,-1.67,-5.46,15.24,19.49,12.02,19.75,87.0,15.93,0.69,-3.56,54.93,52.08,69.58,48.43,-6.27,3.33,75.65,42.66,-3.82,3.91,50.13,50.4,18171.0,18448.0,20084.0,18901.0,50.23,0.0766,404.36,1.12,2103.86,8
WBS PRF,WBS,,10,12/2/2024,,,0.33,5.25,24.4,15.52,c525,19.09,3.57,-5.31,19.3,20.23,-1.09,-5.62,18.02,22.54,15.1,22.54,62.0,18.99,0.97,-3.55,52.11,52.75,62.94,48.3,-5.41,3.47,68.17,41.41,-3.55,3.89,46.59,50.6,7374.0,5440.0,7789.0,6868.0,59.0,0.0691,392.08,1.12,2103.86,8
WFC PRC,WFC,,11,11/27/2024,,,0.27,4.38,20.19,16.05,c425,17.62,1.57,-2.57,17.79,18.99,-0.94,-7.2,16.85,20.7,15.89,21.18,57.0,17.52,0.67,-3.18,51.38,59.39,70.06,43.46,-2.67,1.47,44.35,59.31,-3.66,1.63,48.03,73.08,74313.0,67691.0,92706.0,78236.0,77.15,0.0625,416.45,1.12,2103.86,2
WFC PRD,WFC,,11,11/27/2024,,,0.27,4.25,19.89,15.56,c425,17.14,1.58,-2.75,17.35,18.51,-1.19,-7.41,16.38,20.26,15.47,20.8,57.0,17.04,0.66,-3.22,52.6,60.27,70.3,43.99,-2.85,1.48,45.91,59.22,-3.76,1.57,49.34,73.68,90959.0,92495.0,111511.0,98322.0,77.15,0.0624,418.99,1.12,2103.86,9
WFC PRY,WFC,,11,11/27/2024,,,0.35,5.63,25.36,21.19,c550,23.23,2.04,-2.13,23.11,23.96,0.53,-3.04,21.92,25.36,21.08,25.36,57.0,23.1,1.18,-2.26,44.24,41.92,57.95,31.44,-2.26,1.91,40.78,55.37,-2.26,2.02,29.67,69.2,44136.0,44057.0,66811.0,51668.0,77.15,0.0609,374.67,1.12,2103.86,4
WFC PRZ,WFC,,11,11/27/2024,,,0.3,4.75,21.8,17.49,c475,19.08,1.59,-2.72,19.28,20.28,-1.04,-5.93,18.22,22.01,17.33,22.29,57.0,18.97,0.75,-3.04,51.87,54.05,68.16,41.63,-2.83,1.48,45.74,59.22,-3.32,1.64,43.57,72.99,168452.0,162979.0,254999.0,195477.0,77.15,0.0626,409.46,1.12,2103.86,9
WRB PRE,WRB,BB,11.5,12/13/2024,,,0.36,5.7,25.59,21.77,c550,22.52,0.75,-3.07,22.04,23.62,2.18,-4.68,20.43,25.32,20.43,25.68,73.0,22.45,2.02,-2.87,36.23,48.8,38.01,39.41,-3.14,0.68,48.43,66.38,-3.23,2.02,42.39,69.2,10043.0,12756.0,12539.0,11779.0,73.16,0.0635,382.24,1.12,2103.86,2
WRB PRF,WRB,BB,11.5,12/13/2024,,,0.32,5.1,24.51,18.93,c500,20.18,1.25,-4.33,19.77,21.3,2.09,-5.28,19.0,24.24,18.79,24.54,73.0,20.12,1.12,-4.12,36.67,51.32,59.38,55.75,-4.39,1.19,59.3,61.81,-4.42,1.33,58.0,76.07,19949.0,21920.0,16023.0,19297.0,73.16,0.0634,406.52,1.12,2103.86,2
WRB PRG,WRB,BB,11.5,12/13/2024,,,0.27,4.25,21.25,17.35,c425,16.49,-0.86,-4.76,16.74,18.4,-1.49,-10.39,15.82,20.65,15.82,22.29,73.0,16.44,0.62,-4.21,54.06,72.78,71.25,56.93,-4.81,-0.91,62.96,80.6,-5.85,0.62,76.75,83.13,7596.0,8350.0,9102.0,8350.0,73.16,0.0646,459.64,1.12,2103.86,2
WRB PRH,WRB,BB,11.5,12/13/2024,,,0.26,4.13,20.85,15.6,c400,16.1,0.5,-4.75,16.44,17.99,-2.06,-10.49,15.44,20.61,15.4,21.15,73.0,16.05,0.61,-4.56,56.82,73.2,71.48,61.5,-4.8,0.45,62.87,68.43,-5.1,0.65,66.92,82.84,13145.0,17440.0,33636.0,21407.0,73.16,0.0643,455.19,1.12,2103.86,10
