"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CGRUP","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"ENO","ETR","BB","13","12/27/2024","","","0.3400","5.5000","25.4000","20.7500","c550","21.8600","1.1100","-3.5400","22.0000","23.0200","-0.6500","-5.0400","21.2100","25.2600","20.5000","25.3200","87.0000","21.8500","0.6400","-3.4100","49.9800","50.3100","70.7700","46.4700","-3.5500","1.1000","52.0000","62.6200","-3.4700","1.3500","45.5400","75.8700","7465.0000","8092.0000","4777.0000","6778.0000","80.7200","0.0629","416.3000","1.1200","2103.8600"
"EQH PRA","EQH","","10.5","11/29/2024","","","0.3300","5.2500","23.7700","17.7900","c525","20.5800","2.7900","-3.1900","20.4000","21.6200","0.8600","-4.8100","18.4100","23.7600","17.2600","23.8900","59.0000","20.4700","2.0600","-3.2900","42.6400","49.3500","37.0600","44.9000","-3.3000","2.6800","49.8300","48.4800","-3.4200","3.2100","44.8900","57.3600","47627.0000","46975.0000","50250.0000","48284.0000","66.3000","0.0641","372.0800","1.1200","2103.8600"
"EQH PRC","EQH","","10.5","11/29/2024","","","0.2700","4.3000","21.0800","13.9500","c425","17.2400","3.2900","-3.8400","16.8900","18.1600","2.0800","-5.0700","15.8300","20.0200","13.3500","20.6900","59.0000","17.1500","1.3200","-2.8700","36.7200","50.4400","54.6300","39.4100","-3.9300","3.2000","55.3000","43.8300","-3.5400","3.8000","46.4600","51.4900","26749.0000","33489.0000","61185.0000","40475.0000","66.3000","0.0627","368.3200","1.1200","2103.8600"
"ETI PR","ETR","","10","12/30/2024","","","0.3400","5.3800","25.5000","21.7500","c525","22.7900","1.0400","-2.7100","23.3800","23.6800","-2.5200","-3.7400","22.3600","24.9900","21.3900","25.4300","0.0000","22.4500","0.0900","-2.5400","59.0600","44.8600","83.8300","35.1000","-3.0500","0.7000","47.6500","66.2000","-2.9800","1.0600","39.1100","78.7600","1901.0000","1476.0000","1280.0000","1552.0000","79.1300","0.0599","408.7000","1.1200","2103.8600"
"F PRB","F","BB","9.5","11/12/2024","6/1/2024","","0.3900","6.2000","26.7900","20.8300","c625","21.5000","0.6700","-5.2900","21.3500","23.2800","0.7100","-7.6400","19.8500","25.3900","19.8500","25.6400","42.0000","21.2900","1.4400","-4.1000","43.3700","61.2300","51.7800","55.4900","-5.5000","0.4600","68.9600","68.3400","-4.3500","1.4400","57.0800","74.9800","43765.0000","45803.0000","48778.0000","46115.0000","55.8400","0.0728","420.1200","1.1200","2103.8600"
"F PRC","F","BB","9","11/12/2024","12/1/2024","","0.3800","6.0000","25.9900","20.4900","c600","21.3400","0.8500","-4.6500","20.9400","22.9000","1.9000","-6.8000","19.2000","25.0200","19.2000","25.3800","42.0000","21.1400","1.9400","-3.8800","37.5900","57.7100","39.9100","52.6100","-4.8500","0.6500","63.3000","66.6400","-4.2400","1.9400","55.6400","70.0000","46984.0000","44923.0000","32399.0000","41435.0000","55.8400","0.0710","400.4000","1.1200","2103.8600"
"FBRT PRE","FBRT","","NR","12/27/2024","","","0.4700","7.5000","21.6800","18.2000","c750","21.1000","2.9000","-0.5800","20.6200","21.4300","2.3400","-1.5600","19.0500","23.6500","18.0300","23.6500","87.0000","21.0800","2.0300","-2.5700","35.4500","35.7000","37.7700","35.4900","-0.6000","2.8800","26.3500","46.6900","-2.5700","3.0500","33.7400","58.9600","13477.0000","11659.0000","7211.0000","10782.0000","23.6000","0.0889","348.8600","1.1200","2103.8600"
"FCNCO","FCNCA","","9.5","11/27/2024","","","0.3500","5.6300","24.0800","19.4000","c550","23.2600","3.8600","-0.8200","22.2500","22.9100","4.5400","1.5200","20.5700","24.8100","18.9100","24.8300","57.0000","23.1300","2.5600","-1.6800","24.7700","22.7700","25.1900","23.8600","-0.9500","3.7300","29.3900","39.0800","-1.7000","4.2200","22.3300","47.3100","12682.0000","13862.0000","23155.0000","16566.0000","59.3600","0.0609","292.6600","1.1200","2103.8600"
"FCNCP","FCNCA","","9.5","11/27/2024","","","0.3400","5.3800","23.6600","18.8500","c525","21.6000","2.7500","-2.0600","21.3600","22.3200","1.1400","-3.2100","19.3000","24.4200","18.6900","24.4200","57.0000","21.4800","2.1800","-2.9400","41.2800","42.6300","34.2100","40.3300","-2.1800","2.6300","40.0900","48.9300","-2.9400","2.7900","38.5900","61.5400","15429.0000","19683.0000","23231.0000","19448.0000","59.3600","0.0626","349.6800","1.1200","2103.8600"
"FHN PRF","FHN","","8.5","12/20/2024","","","0.2900","4.7000","","","c475","17.3500","","","17.5000","18.3300","-0.8800","-5.3600","16.4100","21.4800","13.1300","21.4800","80.0000","17.3200","0.9100","-4.1600","51.0900","51.6600","64.3600","56.2700","","","41.6200","43.8400","-4.1600","4.1900","54.5900","47.6100","6813.0000","5474.0000","8040.0000","6776.0000","56.9800","0.0678","386.4600","1.1200","2103.8600"
"FITBO","FITB","","10.5","12/26/2024","","","0.3100","4.9500","25.7900","17.9300","c500","19.8200","1.8900","-5.9700","21.3000","21.7100","-6.9400","-8.7000","19.5200","24.1500","17.5800","24.1500","86.0000","19.8100","0.2900","-4.3400","80.5300","65.6900","79.0800","58.6300","-5.9800","1.8800","73.1300","55.6400","-4.3400","2.2300","56.9500","67.1100","20069.0000","21442.0000","24469.0000","21993.0000","61.8800","0.0625","435.4300","1.1200","2103.8600"
"FITBP","FITB","","NR","12/26/2024","","","0.3800","6.0000","25.6000","22.1300","c600","24.4000","2.2700","-1.2000","24.4000","24.4900","-0.0100","-0.3700","23.0400","25.5600","21.0100","25.9000","86.0000","24.3800","1.3400","-1.1800","46.8700","30.7000","54.1500","17.3200","-1.2200","2.2500","31.7400","52.3300","-1.5200","3.3700","19.9700","55.7700","8135.0000","9050.0000","8836.0000","8674.0000","61.8800","0.0615","332.4300","1.1200","2103.8600"
"FRT PRC","FRT","","12.5","1/2/2025","","","0.3100","5.0000","25.7500","19.6400","c500","20.3000","0.6600","-5.4500","20.6100","21.3900","-1.5300","-5.0800","19.4100","23.2700","18.5700","23.9000","3.0000","20.0000","0.5900","-3.2700","54.2500","50.4800","71.9600","44.6400","-5.7500","0.3600","71.1300","69.2400","-3.9000","1.4300","51.1800","75.0700","5989.0000","5439.0000","2033.0000","4487.0000","41.1400","0.0625","380.7500","1.1200","2103.8600"
