PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,COM_LAST_PRICE,COM_52W_LOW,COM_52W_HIGH,COM_6M_PRICE,COM_3M_PRICE,COM_5Y_LOW,COM_5Y_HIGH,COM_MKTCAP,CRDT_SCORE,COM_FEB2020_PRICE,COM_MAR2020_PRICE,COM_5Y_LOW_CHG,COM_5Y_HIGH_CHG,COM_52W_LOW_CHG,COM_52W_HIGH_CHG,COM_6M_CHG,COM_3M_CHG,COM_FEB2020_CHG,COM_MAR2020_CHG,5Y_LOW_SKOR,5Y_HIGH_SKOR,52W_LOW_SKOR,52W_HIGH_SKOR,COM_6M_SKOR,COM_3M_SKOR,FEB2020_SKOR,MAR2020_SKOR,Normalized_5Y_LOW,Normalized_5Y_HIGH,Normalized_52W_LOW,Normalized_52W_HIGH,Normalized_COM_6M,Normalized_COM_3M,Normalized_FEB2020,Normalized_MAR2020,52W_HIGH_CHG,5Y_HIGH_CHG,52W_LOW_CHG,5Y_LOW_CHG,5Y_CHG,5Y CHG SKOR,52W_CHG,52W CHG SKOR,TOTAL_HIGH_SCORE,3M_PERF,6M_PERF,RECENT_TOTAL,MKTCAP_NORM,CRDT_NORM,SOLIDITY_SCORE,H2020_SKOR,H2020_NORM,L2020_SKOR,L2020_NORM,COM_6M_NORM,COM_3M_NORM,MKTCAP_RANGE
PEB PRE,PEB,,NR,12/27/2024,,,0.40,6.38%,24.71,18.32,c625,18.04,-0.28,-6.67,18.15,20.33,-0.61,-11.28,16.27,23.22,16.27,23.22,9.00,17.68,9.00,7.41,15.12,14.49,10.90,7.41,26.45,1.06,8.00,24.91,8.49,0.21,-0.66,0.21,-0.40,-0.38,-0.17,-0.64,0.06,27.17,30.62,27.17,53.57,-11.14,-4.35,0.00,20.74,57.07,39.36,76.65,10.36,4.63,16.76,1.00,7.97,-0.40,-0.66,0.21,0.21,0.21,12.62,0.21,29.66,42.10,-0.17,-0.38,-0.55,40.15,10.90,35.52,32.56,42.12,29.43,39.72,4.18,27.42,<1B USD
PEB PRF,PEB,,NR,12/27/2024,,,0.39,6.30%,23.52,18.56,c625,18.40,-0.16,-5.12,18.33,20.41,0.39,-9.87,16.85,23.75,16.85,23.75,9.00,18.05,9.00,7.41,15.12,14.49,10.90,7.41,26.45,1.06,8.00,24.91,8.49,0.21,-0.66,0.21,-0.40,-0.38,-0.17,-0.64,0.06,27.17,30.62,27.17,53.57,-11.14,-4.35,0.00,20.74,57.07,39.36,76.65,10.36,4.63,16.76,1.00,7.97,-0.40,-0.66,0.21,0.21,0.21,12.62,0.21,29.66,42.10,-0.17,-0.38,-0.55,40.15,10.90,35.52,32.56,42.12,29.43,39.72,4.18,27.42,<1B USD
PEB PRG,PEB,,NR,12/27/2024,,,0.40,6.38%,23.40,18.00,c625,18.47,0.47,-4.93,18.36,20.16,0.58,-8.36,16.60,22.94,16.60,23.18,9.00,18.11,9.00,7.41,15.12,14.49,10.90,7.41,26.45,1.06,8.00,24.91,8.49,0.21,-0.66,0.21,-0.40,-0.38,-0.17,-0.64,0.06,27.17,30.62,27.17,53.57,-11.14,-4.35,0.00,20.74,57.07,39.36,76.65,10.36,4.63,16.76,1.00,7.97,-0.40,-0.66,0.21,0.21,0.21,12.62,0.21,29.66,42.10,-0.17,-0.38,-0.55,40.15,10.90,35.52,32.56,42.12,29.43,39.72,4.18,27.42,<1B USD
PEB PRH,PEB,,NR,12/27/2024,,,0.36,5.70%,21.01,16.38,c550,16.12,-0.26,-4.89,16.65,18.25,-3.17,-11.66,15.51,21.12,15.02,21.12,9.00,15.80,9.00,7.41,15.12,14.49,10.90,7.41,26.45,1.06,8.00,24.91,8.49,0.21,-0.66,0.21,-0.40,-0.38,-0.17,-0.64,0.06,27.17,30.62,27.17,53.57,-11.14,-4.35,0.00,20.74,57.07,39.36,76.65,10.36,4.63,16.76,1.00,7.97,-0.40,-0.66,0.21,0.21,0.21,12.62,0.21,29.66,42.10,-0.17,-0.38,-0.55,40.15,10.90,35.52,32.56,42.12,29.43,39.72,4.18,27.42,<1B USD
PFH,PRU,BB,13,11/15/2024,9/1/2025,,0.26,4.13%,22.61,17.35,c400,16.92,-0.43,-5.69,17.60,18.96,-3.88,-10.78,16.62,21.46,16.62,21.59,57.00,16.82,103.00,90.38,130.56,118.89,110.29,57.11,130.56,36.45,13.00,94.89,42.26,0.80,-0.21,0.14,-0.21,-0.13,-0.07,0.09,1.44,74.28,71.00,21.17,71.00,-2.56,-1.64,50.11,80.17,73.66,98.66,4.40,47.26,41.66,43.13,24.16,27.95,-0.21,-0.21,0.14,0.80,0.80,20.07,0.14,22.54,71.00,-0.07,-0.13,-0.20,71.24,60.40,71.08,46.31,59.49,41.90,56.12,48.87,50.41,<1B USD
PRH,PRU,BB,13,11/15/2024,,,0.37,5.95%,,23.79,c575,25.01,1.22,,24.80,25.54,0.85,-2.06,23.59,26.89,23.17,26.95,57.00,24.87,103.00,90.38,130.56,118.89,110.29,57.11,130.56,36.45,13.00,94.89,42.26,0.80,-0.21,0.14,-0.21,-0.13,-0.07,0.09,1.44,74.28,71.00,21.17,71.00,-2.56,-1.64,50.11,80.17,73.66,98.66,4.40,47.26,41.66,43.13,24.16,27.95,-0.21,-0.21,0.14,0.80,0.80,20.07,0.14,22.54,71.00,-0.07,-0.13,-0.20,71.24,60.40,71.08,46.31,59.49,41.90,56.12,48.87,50.41,<1B USD
PRS,PRU,BB,13,11/1/2024,8/15/2023,,0.35,5.63%,26.16,22.52,c550,23.50,0.98,-2.66,23.25,24.16,1.09,-2.72,22.35,25.42,22.31,25.42,43.00,23.32,103.00,90.38,130.56,118.89,110.29,57.11,130.56,36.45,13.00,94.89,42.26,0.80,-0.21,0.14,-0.21,-0.13,-0.07,0.09,1.44,74.28,71.00,21.17,71.00,-2.56,-1.64,50.11,80.17,73.66,98.66,4.40,47.26,41.66,43.13,24.16,27.95,-0.21,-0.21,0.14,0.80,0.80,20.07,0.14,22.54,71.00,-0.07,-0.13,-0.20,71.24,60.40,71.08,46.31,59.49,41.90,56.12,48.87,50.41,<1B USD
PSA PRF,PSA,,13.5,12/12/2024,,,0.32,5.15%,25.84,20.87,c500,20.40,-0.47,-5.44,21.22,22.74,-3.86,-10.30,19.87,25.11,19.87,25.11,84.00,20.38,294.89,256.60,369.99,313.36,300.41,183.22,421.76,51.74,13.50,226.42,171.22,0.61,-0.30,0.15,-0.20,-0.06,-0.02,0.30,0.72,58.76,62.93,21.94,71.73,-0.62,-0.45,65.12,49.32,70.16,86.80,4.65,48.80,53.16,54.76,31.10,17.58,-0.20,-0.30,0.15,0.61,0.61,17.62,0.15,23.45,67.33,-0.02,-0.06,-0.08,77.28,65.35,71.49,60.94,77.96,64.80,86.24,58.95,60.55,<1B USD
PSA PRG,PSA,,13.5,12/12/2024,,,0.32,5.05%,25.87,21.11,c500,20.05,-1.06,-5.82,21.04,22.53,-4.70,-11.02,19.96,25.00,19.96,25.06,84.00,20.03,294.89,256.60,369.99,313.36,300.41,183.22,421.76,51.74,13.50,226.42,171.22,0.61,-0.30,0.15,-0.20,-0.06,-0.02,0.30,0.72,58.76,62.93,21.94,71.73,-0.62,-0.45,65.12,49.32,70.16,86.80,4.65,48.80,53.16,54.76,31.10,17.58,-0.20,-0.30,0.15,0.61,0.61,17.62,0.15,23.45,67.33,-0.02,-0.06,-0.08,77.28,65.35,71.49,60.94,77.96,64.80,86.24,58.95,60.55,<1B USD
PSA PRH,PSA,,13.5,12/12/2024,,,0.35,5.60%,26.96,22.76,c550,22.35,-0.41,-4.61,23.12,24.24,-3.33,-7.81,20.85,25.70,20.85,25.95,84.00,22.33,294.89,256.60,369.99,313.36,300.41,183.22,421.76,51.74,13.50,226.42,171.22,0.61,-0.30,0.15,-0.20,-0.06,-0.02,0.30,0.72,58.76,62.93,21.94,71.73,-0.62,-0.45,65.12,49.32,70.16,86.80,4.65,48.80,53.16,54.76,31.10,17.58,-0.20,-0.30,0.15,0.61,0.61,17.62,0.15,23.45,67.33,-0.02,-0.06,-0.08,77.28,65.35,71.49,60.94,77.96,64.80,86.24,58.95,60.55,<1B USD
PSA PRI,PSA,,13.5,12/12/2024,,,0.30,4.88%,25.80,19.44,c475,19.10,-0.34,-6.70,20.00,21.48,-4.52,-11.07,18.98,23.72,18.98,23.94,84.00,19.08,294.89,256.60,369.99,313.36,300.41,183.22,421.76,51.74,13.50,226.42,171.22,0.61,-0.30,0.15,-0.20,-0.06,-0.02,0.30,0.72,58.76,62.93,21.94,71.73,-0.62,-0.45,65.12,49.32,70.16,86.80,4.65,48.80,53.16,54.76,31.10,17.58,-0.20,-0.30,0.15,0.61,0.61,17.62,0.15,23.45,67.33,-0.02,-0.06,-0.08,77.28,65.35,71.49,60.94,77.96,64.80,86.24,58.95,60.55,<1B USD
PSA PRJ,PSA,,13.5,12/12/2024,,,0.29,4.70%,25.08,18.25,c475,18.39,0.14,-6.69,19.27,20.60,-4.58,-10.71,18.33,23.21,17.94,23.21,84.00,18.37,294.89,256.60,369.99,313.36,300.41,183.22,421.76,51.74,13.50,226.42,171.22,0.61,-0.30,0.15,-0.20,-0.06,-0.02,0.30,0.72,58.76,62.93,21.94,71.73,-0.62,-0.45,65.12,49.32,70.16,86.80,4.65,48.80,53.16,54.76,31.10,17.58,-0.20,-0.30,0.15,0.61,0.61,17.62,0.15,23.45,67.33,-0.02,-0.06,-0.08,77.28,65.35,71.49,60.94,77.96,64.80,86.24,58.95,60.55,<1B USD
PSA PRK,PSA,,13.5,12/12/2024,,,0.30,4.75%,25.80,18.40,c475,18.57,0.17,-7.23,19.49,20.79,-4.71,-10.67,18.45,23.17,18.16,23.21,84.00,18.55,294.89,256.60,369.99,313.36,300.41,183.22,421.76,51.74,13.50,226.42,171.22,0.61,-0.30,0.15,-0.20,-0.06,-0.02,0.30,0.72,58.76,62.93,21.94,71.73,-0.62,-0.45,65.12,49.32,70.16,86.80,4.65,48.80,53.16,54.76,31.10,17.58,-0.20,-0.30,0.15,0.61,0.61,17.62,0.15,23.45,67.33,-0.02,-0.06,-0.08,77.28,65.35,71.49,60.94,77.96,64.80,86.24,58.95,60.55,<1B USD
PSA PRL,PSA,,13.5,12/12/2024,,,0.29,4.63%,24.84,18.17,c450,18.11,-0.06,-6.73,19.06,20.29,-4.96,-10.75,17.52,22.75,17.52,22.89,84.00,18.09,294.89,256.60,369.99,313.36,300.41,183.22,421.76,51.74,13.50,226.42,171.22,0.61,-0.30,0.15,-0.20,-0.06,-0.02,0.30,0.72,58.76,62.93,21.94,71.73,-0.62,-0.45,65.12,49.32,70.16,86.80,4.65,48.80,53.16,54.76,31.10,17.58,-0.20,-0.30,0.15,0.61,0.61,17.62,0.15,23.45,67.33,-0.02,-0.06,-0.08,77.28,65.35,71.49,60.94,77.96,64.80,86.24,58.95,60.55,<1B USD
PSA PRM,PSA,,13.5,12/12/2024,,,0.26,4.13%,22.79,16.05,c400,16.25,0.20,-6.54,17.07,18.29,-4.81,-11.15,16.16,20.75,15.82,20.79,84.00,16.23,294.89,256.60,369.99,313.36,300.41,183.22,421.76,51.74,13.50,226.42,171.22,0.61,-0.30,0.15,-0.20,-0.06,-0.02,0.30,0.72,58.76,62.93,21.94,71.73,-0.62,-0.45,65.12,49.32,70.16,86.80,4.65,48.80,53.16,54.76,31.10,17.58,-0.20,-0.30,0.15,0.61,0.61,17.62,0.15,23.45,67.33,-0.02,-0.06,-0.08,77.28,65.35,71.49,60.94,77.96,64.80,86.24,58.95,60.55,<1B USD
PSA PRN,PSA,,13.5,12/12/2024,,,0.24,3.88%,21.02,15.12,c400,15.16,0.04,-5.86,16.01,17.04,-5.30,-11.02,15.12,19.23,14.90,19.23,84.00,15.14,294.89,256.60,369.99,313.36,300.41,183.22,421.76,51.74,13.50,226.42,171.22,0.61,-0.30,0.15,-0.20,-0.06,-0.02,0.30,0.72,58.76,62.93,21.94,71.73,-0.62,-0.45,65.12,49.32,70.16,86.80,4.65,48.80,53.16,54.76,31.10,17.58,-0.20,-0.30,0.15,0.61,0.61,17.62,0.15,23.45,67.33,-0.02,-0.06,-0.08,77.28,65.35,71.49,60.94,77.96,64.80,86.24,58.95,60.55,<1B USD
PSA PRO,PSA,,13.5,12/12/2024,11/17/2025,,0.24,3.90%,20.29,15.53,c400,15.27,-0.26,-5.02,16.08,17.11,-5.01,-10.75,15.15,19.13,15.10,19.13,84.00,15.25,294.89,256.60,369.99,313.36,300.41,183.22,421.76,51.74,13.50,226.42,171.22,0.61,-0.30,0.15,-0.20,-0.06,-0.02,0.30,0.72,58.76,62.93,21.94,71.73,-0.62,-0.45,65.12,49.32,70.16,86.80,4.65,48.80,53.16,54.76,31.10,17.58,-0.20,-0.30,0.15,0.61,0.61,17.62,0.15,23.45,67.33,-0.02,-0.06,-0.08,77.28,65.35,71.49,60.94,77.96,64.80,86.24,58.95,60.55,<1B USD
PSA PRP,PSA,,13.5,12/12/2024,,,0.25,4.00%,20.88,15.54,c400,15.70,0.16,-5.18,16.43,17.58,-4.46,-10.69,15.39,19.96,15.37,19.99,84.00,15.68,294.89,256.60,369.99,313.36,300.41,183.22,421.76,51.74,13.50,226.42,171.22,0.61,-0.30,0.15,-0.20,-0.06,-0.02,0.30,0.72,58.76,62.93,21.94,71.73,-0.62,-0.45,65.12,49.32,70.16,86.80,4.65,48.80,53.16,54.76,31.10,17.58,-0.20,-0.30,0.15,0.61,0.61,17.62,0.15,23.45,67.33,-0.02,-0.06,-0.08,77.28,65.35,71.49,60.94,77.96,64.80,86.24,58.95,60.55,<1B USD
PSA PRQ,PSA,,13.5,12/12/2024,,,0.25,3.95%,20.84,15.31,c400,15.55,0.24,-5.29,16.17,17.29,-3.82,-10.07,15.41,19.47,15.17,19.47,84.00,15.53,294.89,256.60,369.99,313.36,300.41,183.22,421.76,51.74,13.50,226.42,171.22,0.61,-0.30,0.15,-0.20,-0.06,-0.02,0.30,0.72,58.76,62.93,21.94,71.73,-0.62,-0.45,65.12,49.32,70.16,86.80,4.65,48.80,53.16,54.76,31.10,17.58,-0.20,-0.30,0.15,0.61,0.61,17.62,0.15,23.45,67.33,-0.02,-0.06,-0.08,77.28,65.35,71.49,60.94,77.96,64.80,86.24,58.95,60.55,<1B USD
PSA PRR,PSA,,13.5,12/12/2024,,,0.25,4.00%,20.78,15.59,c400,15.69,0.10,-5.09,16.41,17.64,-4.39,-11.06,15.57,20.16,15.38,20.16,84.00,15.67,294.89,256.60,369.99,313.36,300.41,183.22,421.76,51.74,13.50,226.42,171.22,0.61,-0.30,0.15,-0.20,-0.06,-0.02,0.30,0.72,58.76,62.93,21.94,71.73,-0.62,-0.45,65.12,49.32,70.16,86.80,4.65,48.80,53.16,54.76,31.10,17.58,-0.20,-0.30,0.15,0.61,0.61,17.62,0.15,23.45,67.33,-0.02,-0.06,-0.08,77.28,65.35,71.49,60.94,77.96,64.80,86.24,58.95,60.55,<1B USD
PSA PRS,PSA,,13.5,12/12/2024,,,0.26,4.10%,21.15,15.83,c400,16.04,0.21,-5.11,16.78,18.05,-4.42,-11.15,14.18,20.44,14.18,20.47,84.00,16.02,294.89,256.60,369.99,313.36,300.41,183.22,421.76,51.74,13.50,226.42,171.22,0.61,-0.30,0.15,-0.20,-0.06,-0.02,0.30,0.72,58.76,62.93,21.94,71.73,-0.62,-0.45,65.12,49.32,70.16,86.80,4.65,48.80,53.16,54.76,31.10,17.58,-0.20,-0.30,0.15,0.61,0.61,17.62,0.15,23.45,67.33,-0.02,-0.06,-0.08,77.28,65.35,71.49,60.94,77.96,64.80,86.24,58.95,60.55,<1B USD
PSEC PRA,PSEC,,9,10/16/2024,7/19/2026,,0.33,5.35%,19.55,15.21,c525,16.18,0.97,-3.37,16.27,17.58,-0.55,-7.98,14.58,21.54,14.04,21.54,27.00,15.95,3.28,3.14,5.65,4.37,4.31,3.14,9.25,1.49,9.00,6.52,4.80,0.04,-0.65,0.04,-0.42,-0.25,-0.24,-0.50,-0.32,13.57,31.91,13.57,52.25,-6.95,-7.46,12.26,5.61,1.71,41.26,1.95,7.55,29.54,1.00,6.67,2.89,-0.42,-0.65,0.04,0.04,0.04,10.47,0.04,13.51,42.08,-0.24,-0.25,-0.49,41.23,20.80,37.91,27.21,35.36,27.60,37.31,26.01,1.00,<1B USD
REGCO,REG,,NR,10/16/2024,,,0.37,5.88%,,21.85,c575,22.25,0.40,,22.41,22.74,-0.72,-2.16,21.43,24.70,21.20,24.90,27.00,21.99,70.25,60.64,78.19,75.50,71.43,33.29,78.78,12.83,8.00,63.80,35.30,1.11,-0.11,0.16,-0.10,-0.07,-0.02,0.10,0.99,90.00,80.26,22.68,80.86,-0.90,-0.40,51.19,60.87,77.77,98.89,71.62,60.07,51.53,55.21,24.66,21.46,-0.10,-0.11,0.16,1.11,1.11,23.95,0.16,24.33,80.56,-0.02,-0.07,-0.09,61.20,10.90,59.88,41.11,52.92,39.79,53.34,57.52,60.95,<1B USD
REGCP,REG,,NR,10/16/2024,,,0.39,6.25%,,23.10,c625,22.97,-0.13,,23.38,23.75,-1.74,-3.28,21.88,25.63,21.88,25.63,27.00,22.70,70.25,60.64,78.19,75.50,71.43,33.29,78.78,12.83,8.00,63.80,35.30,1.11,-0.11,0.16,-0.10,-0.07,-0.02,0.10,0.99,90.00,80.26,22.68,80.86,-0.90,-0.40,51.19,60.87,77.77,98.89,71.62,60.07,51.53,55.21,24.66,21.46,-0.10,-0.11,0.16,1.11,1.11,23.95,0.16,24.33,80.56,-0.02,-0.07,-0.09,61.20,10.90,59.88,41.11,52.92,39.79,53.34,57.52,60.95,<1B USD
REXR PRB,REXR,,NR,12/13/2024,,,0.37,5.88%,25.39,21.16,c575,22.55,1.39,-2.84,23.11,22.84,-2.44,-1.28,22.21,24.57,20.60,24.57,85.00,22.53,36.62,29.68,52.61,39.92,40.38,29.68,84.68,8.67,8.00,50.18,33.95,0.23,-0.57,0.23,-0.30,-0.08,-0.09,-0.27,0.08,28.71,38.92,28.71,62.65,-1.24,-2.32,31.87,21.54,58.13,51.55,78.09,29.57,49.50,36.55,15.73,8.24,-0.30,-0.57,0.23,0.23,0.23,12.86,0.23,31.49,50.78,-0.09,-0.08,-0.17,57.34,10.90,45.87,38.44,49.54,39.36,52.77,55.75,44.67,<1B USD
REXR PRC,REXR,,NR,11/15/2024,,,0.35,5.63%,26.10,20.05,c550,21.20,1.15,-4.90,21.75,21.99,-2.55,-3.58,20.13,24.54,19.71,24.54,57.00,21.07,36.62,29.68,52.61,39.92,40.38,29.68,84.68,8.67,8.00,50.18,33.95,0.23,-0.57,0.23,-0.30,-0.08,-0.09,-0.27,0.08,28.71,38.92,28.71,62.65,-1.24,-2.32,31.87,21.54,58.13,51.55,78.09,29.57,49.50,36.55,15.73,8.24,-0.30,-0.57,0.23,0.23,0.23,12.86,0.23,31.49,50.78,-0.09,-0.08,-0.17,57.34,10.90,45.87,38.44,49.54,39.36,52.77,55.75,44.67,<1B USD
RF PRE,RF,,10,11/27/2024,,,0.28,4.45%,20.69,15.45,c450,17.13,1.68,-3.56,17.49,18.20,-2.04,-5.87,16.41,19.98,14.16,19.98,69.00,17.06,21.51,17.74,27.96,24.61,21.54,9.79,27.96,19.34,10.00,16.28,8.26,1.20,-0.23,0.21,-0.23,-0.13,-0.00,0.32,1.60,90.00,69.24,27.00,69.24,-2.36,-0.03,66.42,87.37,78.73,96.07,76.49,43.52,42.84,58.90,31.71,30.37,-0.23,-0.23,0.21,1.20,1.20,25.05,0.21,29.47,69.24,-0.00,-0.13,-0.13,63.97,30.70,60.17,30.19,39.13,29.32,39.57,49.91,64.16,<1B USD
RNR PRF,RNR,,12,11/27/2024,,,0.36,5.75%,25.11,20.71,c550,21.29,0.58,-3.82,21.74,23.14,-2.06,-7.98,20.80,25.03,20.43,25.10,69.00,21.21,244.39,208.98,300.00,255.19,245.29,124.18,300.00,11.89,12.00,199.42,129.30,0.97,-0.19,0.17,-0.19,-0.04,-0.00,0.23,0.89,87.44,73.32,23.56,73.32,-0.19,-0.08,59.80,56.56,76.03,89.93,72.73,46.02,55.71,58.35,28.64,20.01,-0.19,-0.19,0.17,0.97,0.97,22.15,0.17,25.38,73.32,-0.00,-0.04,-0.04,60.80,50.50,64.61,58.56,74.95,59.37,79.11,61.19,63.68,<1B USD
RNR PRG,RNR,,12,11/27/2024,,,0.26,4.20%,20.02,15.35,c425,15.59,0.24,-4.43,15.97,17.29,-2.37,-9.81,14.26,18.97,14.26,19.46,69.00,15.53,244.39,208.98,300.00,255.19,245.29,124.18,300.00,11.89,12.00,199.42,129.30,0.97,-0.19,0.17,-0.19,-0.04,-0.00,0.23,0.89,87.44,73.32,23.56,73.32,-0.19,-0.08,59.80,56.56,76.03,89.93,72.73,46.02,55.71,58.35,28.64,20.01,-0.19,-0.19,0.17,0.97,0.97,22.15,0.17,25.38,73.32,-0.00,-0.04,-0.04,60.80,50.50,64.61,58.56,74.95,59.37,79.11,61.19,63.68,<1B USD
SCE PRG,EIX,TP,10,12/13/2024,,,0.32,5.10%,20.73,17.20,c500,16.44,-0.76,-4.29,17.48,19.42,-5.96,-15.33,16.32,21.69,16.32,21.70,85.00,16.42,48.48,47.86,88.77,80.50,58.96,47.86,88.77,18.59,10.00,78.20,46.86,0.01,-0.45,0.01,-0.45,-0.40,-0.18,-0.38,0.03,11.04,49.15,11.04,49.15,-11.75,-4.44,22.37,19.64,1.10,66.57,1.14,1.00,1.00,15.92,11.34,7.60,-0.45,-0.45,0.01,0.01,0.01,10.07,0.01,10.51,49.15,-0.18,-0.40,-0.58,63.65,30.70,51.61,43.66,56.13,43.20,57.83,1.00,26.69,<1B USD
SCE PRL,EIX,TP,10,12/13/2024,,,0.31,5.00%,20.24,16.94,c500,16.13,-0.81,-4.11,17.09,18.99,-5.62,-15.08,15.98,21.09,15.98,21.32,85.00,16.11,48.48,47.86,88.77,80.50,58.96,47.86,88.77,18.59,10.00,78.20,46.86,0.01,-0.45,0.01,-0.45,-0.40,-0.18,-0.38,0.03,11.04,49.15,11.04,49.15,-11.75,-4.44,22.37,19.64,1.10,66.57,1.14,1.00,1.00,15.92,11.34,7.60,-0.45,-0.45,0.01,0.01,0.01,10.07,0.01,10.51,49.15,-0.18,-0.40,-0.58,63.65,30.70,51.61,43.66,56.13,43.20,57.83,1.00,26.69,<1B USD
SCHW PRD,SCHW,,12,11/13/2024,,,0.37,5.95%,25.94,22.65,c575,24.62,1.97,-1.32,24.91,25.15,-1.18,-2.10,24.25,25.71,22.29,25.71,55.00,24.48,87.76,61.01,89.85,76.76,77.77,31.63,96.24,158.73,12.00,46.77,30.75,1.77,-0.09,0.44,-0.02,0.14,0.13,0.88,1.85,90.00,82.07,45.08,87.91,4.61,3.22,104.84,98.15,83.75,6.75,88.70,88.40,84.29,90.55,49.46,33.99,-0.02,-0.09,0.44,1.77,1.77,32.36,0.44,50.93,84.99,0.13,0.14,0.27,87.94,50.50,80.09,37.72,48.64,38.31,51.39,86.23,91.76,<1B USD
SCHW PRJ,SCHW,,12,11/13/2024,,,0.28,4.45%,23.40,16.75,c450,18.68,1.93,-4.72,19.28,20.29,-3.09,-7.91,18.33,22.60,16.63,22.60,55.00,18.57,87.76,61.01,89.85,76.76,77.77,31.63,96.24,158.73,12.00,46.77,30.75,1.77,-0.09,0.44,-0.02,0.14,0.13,0.88,1.85,90.00,82.07,45.08,87.91,4.61,3.22,104.84,98.15,83.75,6.75,88.70,88.40,84.29,90.55,49.46,33.99,-0.02,-0.09,0.44,1.77,1.77,32.36,0.44,50.93,84.99,0.13,0.14,0.27,87.94,50.50,80.09,37.72,48.64,38.31,51.39,86.23,91.76,<1B USD
SF PRB,SF,,8,12/2/2024,,,0.39,6.25%,26.94,22.01,c625,23.39,1.38,-3.55,23.91,24.49,-2.16,-4.50,22.22,25.44,21.56,25.73,74.00,23.32,95.37,73.27,120.64,107.18,96.87,29.39,120.64,9.80,8.00,44.55,22.91,2.24,-0.21,0.30,-0.21,-0.11,-0.02,1.14,3.16,90.00,71.15,34.13,71.15,-1.95,-0.38,123.13,154.63,86.75,98.87,82.37,47.56,45.27,55.47,57.92,52.98,-0.21,-0.21,0.30,2.24,2.24,38.32,0.30,37.93,71.15,-0.02,-0.11,-0.13,59.60,10.90,55.31,37.24,48.03,35.53,47.74,52.03,61.17,<1B USD
SF PRC,SF,,8,12/2/2024,,,0.38,6.13%,27.00,22.12,c625,22.52,0.40,-4.48,23.54,24.44,-4.32,-7.86,21.81,26.47,21.27,26.47,74.00,22.45,95.37,73.27,120.64,107.18,96.87,29.39,120.64,9.80,8.00,44.55,22.91,2.24,-0.21,0.30,-0.21,-0.11,-0.02,1.14,3.16,90.00,71.15,34.13,71.15,-1.95,-0.38,123.13,154.63,86.75,98.87,82.37,47.56,45.27,55.47,57.92,52.98,-0.21,-0.21,0.30,2.24,2.24,38.32,0.30,37.93,71.15,-0.02,-0.11,-0.13,59.60,10.90,55.31,37.24,48.03,35.53,47.74,52.03,61.17,<1B USD
SF PRD,SF,,8,12/2/2024,,,0.28,4.50%,20.54,15.64,c450,16.89,1.25,-3.65,17.56,18.57,-3.80,-9.05,15.85,21.74,15.00,21.74,74.00,16.84,95.37,73.27,120.64,107.18,96.87,29.39,120.64,9.80,8.00,44.55,22.91,2.24,-0.21,0.30,-0.21,-0.11,-0.02,1.14,3.16,90.00,71.15,34.13,71.15,-1.95,-0.38,123.13,154.63,86.75,98.87,82.37,47.56,45.27,55.47,57.92,52.98,-0.21,-0.21,0.30,2.24,2.24,38.32,0.30,37.93,71.15,-0.02,-0.11,-0.13,59.60,10.90,55.31,37.24,48.03,35.53,47.74,52.03,61.17,<1B USD
SHO PRH,SHO,,NR,12/27/2024,,,0.38,6.13%,23.75,20.40,c625,20.60,0.20,-3.15,20.73,21.71,-0.64,-5.11,19.14,24.22,19.14,24.27,9.00,20.26,8.49,7.45,12.41,12.38,9.87,7.00,13.91,1.69,8.00,13.17,7.48,0.21,-0.39,0.14,-0.32,-0.31,-0.14,-0.36,0.14,27.03,54.93,21.17,61.57,-9.05,-3.49,24.51,23.98,56.97,75.06,4.40,27.29,17.08,25.17,12.33,9.06,-0.32,-0.39,0.14,0.21,0.21,12.60,0.14,22.54,58.25,-0.14,-0.31,-0.45,41.73,10.90,42.92,29.28,37.98,28.95,39.08,15.09,34.75,<1B USD
SHO PRI,SHO,,NR,12/27/2024,,,0.36,5.70%,22.98,19.43,c550,19.01,-0.42,-3.97,19.52,20.45,-2.62,-7.03,17.96,22.79,17.96,22.79,9.00,18.69,8.49,7.45,12.41,12.38,9.87,7.00,13.91,1.69,8.00,13.17,7.48,0.21,-0.39,0.14,-0.32,-0.31,-0.14,-0.36,0.14,27.03,54.93,21.17,61.57,-9.05,-3.49,24.51,23.98,56.97,75.06,4.40,27.29,17.08,25.17,12.33,9.06,-0.32,-0.39,0.14,0.21,0.21,12.60,0.14,22.54,58.25,-0.14,-0.31,-0.45,41.73,10.90,42.92,29.28,37.98,28.95,39.08,15.09,34.75,<1B USD
