PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,COM_LAST_PRICE,COM_52W_LOW,COM_52W_HIGH,COM_6M_PRICE,COM_3M_PRICE,COM_5Y_LOW,COM_5Y_HIGH,COM_MKTCAP,CRDT_SCORE,COM_FEB2020_PRICE,COM_MAR2020_PRICE,COM_5Y_LOW_CHG,COM_5Y_HIGH_CHG,COM_52W_LOW_CHG,COM_52W_HIGH_CHG,COM_6M_CHG,COM_3M_CHG,COM_FEB2020_CHG,COM_MAR2020_CHG,5Y_LOW_SKOR,5Y_HIGH_SKOR,52W_LOW_SKOR,52W_HIGH_SKOR,COM_6M_SKOR,COM_3M_SKOR,FEB2020_SKOR,MAR2020_SKOR,Normalized_5Y_LOW,Normalized_5Y_HIGH,Normalized_52W_LOW,Normalized_52W_HIGH,Normalized_COM_6M,Normalized_COM_3M,Normalized_FEB2020,Normalized_MAR2020,52W_HIGH_CHG,5Y_HIGH_CHG,52W_LOW_CHG,5Y_LOW_CHG,5Y_CHG,5Y CHG SKOR,52W_CHG,52W CHG SKOR,TOTAL_HIGH_SCORE,3M_PERF,6M_PERF,RECENT_TOTAL,MKTCAP_NORM,CRDT_NORM,SOLIDITY_SCORE,H2020_SKOR,H2020_NORM,L2020_SKOR,L2020_NORM,COM_6M_NORM,COM_3M_NORM,MKTCAP_RANGE
MBINN,MBIN,,NR,12/13/2024,,,0.38,6.00%,24.23,16.50,c600,19.77,3.27,-4.46,20.51,21.42,-3.59,-7.69,18.31,24.34,16.31,24.34,85.00,19.75,31.27,27.25,53.27,37.35,38.28,9.89,53.27,1.43,8.00,14.23,9.49,2.16,-0.41,0.15,-0.41,-0.16,-0.18,1.20,2.30,90.00,52.83,21.80,52.83,-3.31,-4.57,127.05,117.19,86.27,71.97,4.60,8.79,37.17,14.61,59.73,40.39,-0.41,-0.41,0.15,2.16,2.16,37.26,0.15,23.29,52.83,-0.18,-0.16,-0.34,41.08,10.90,40.39,29.60,38.38,29.91,40.34,44.94,25.55,<1B USD
MET PRE,MET,,12,11/27/2024,,,0.35,5.63%,26.50,21.22,c550,23.50,2.28,-3.00,23.69,24.18,-0.81,-2.83,22.66,25.19,21.03,25.23,69.00,23.42,77.35,65.21,89.05,81.25,82.16,34.82,89.05,51.92,12.00,51.88,24.38,1.22,-0.13,0.19,-0.13,-0.05,-0.06,0.49,2.17,90.00,78.18,24.89,78.18,-0.34,-1.46,78.16,111.91,78.99,96.21,74.29,55.07,54.84,44.97,37.13,38.62,-0.13,-0.13,0.19,1.22,1.22,25.36,0.19,26.96,78.18,-0.06,-0.05,-0.11,77.31,50.50,73.09,38.79,49.98,36.07,48.45,60.42,52.02,<1B USD
MET PRF,MET,,12,11/27/2024,,,0.30,4.75%,24.56,18.50,c475,19.33,0.83,-5.23,20.01,20.89,-3.40,-7.46,19.00,23.21,18.33,23.21,69.00,19.26,77.35,65.21,89.05,81.25,82.16,34.82,89.05,51.92,12.00,51.88,24.38,1.22,-0.13,0.19,-0.13,-0.05,-0.06,0.49,2.17,90.00,78.18,24.89,78.18,-0.34,-1.46,78.16,111.91,78.99,96.21,74.29,55.07,54.84,44.97,37.13,38.62,-0.13,-0.13,0.19,1.22,1.22,25.36,0.19,26.96,78.18,-0.06,-0.05,-0.11,77.31,50.50,73.09,38.79,49.98,36.07,48.45,60.42,52.02,<1B USD
MFA PRB,MFA,,NR,11/27/2024,4/15/2018,,0.47,7.50%,21.92,18.34,c750,20.36,2.02,-1.56,21.15,21.58,-3.73,-5.65,18.27,23.67,17.01,23.67,69.00,20.25,9.66,7.85,13.45,10.73,10.91,7.15,19.60,0.99,8.00,70.51,43.76,0.35,-0.51,0.23,-0.28,-0.10,-0.11,0.30,1.31,38.08,44.36,28.45,64.64,-1.68,-2.86,,,63.20,59.53,77.86,33.79,46.88,31.32,,,-0.28,-0.51,0.23,0.35,0.35,14.35,0.23,31.18,54.50,-0.11,-0.10,-0.21,39.95,10.90,20.65,0.00,1.00,0.00,1.00,53.45,40.11,<1B USD
MGR,AMG,BB,12,12/27/2024,,,0.37,5.88%,26.29,19.60,c575,20.39,0.79,-5.90,21.31,22.70,-4.33,-10.17,19.91,25.15,19.43,25.17,9.00,20.06,182.01,139.22,199.52,186.67,165.14,62.19,199.52,5.17,12.00,82.30,48.77,1.93,-0.09,0.31,-0.09,-0.02,0.10,1.21,2.73,90.00,82.10,34.59,82.10,0.26,2.56,128.03,136.04,84.80,6.75,82.69,98.96,58.39,84.14,60.18,46.73,-0.09,-0.09,0.31,1.93,1.93,34.29,0.31,38.48,82.10,0.10,-0.02,0.08,50.34,50.50,65.50,44.34,56.99,43.72,58.52,63.53,86.17,<1B USD
MGRB,AMG,BB,12,12/27/2024,,,0.30,4.75%,22.01,16.09,c475,16.74,0.65,-5.27,17.44,18.75,-4.01,-10.70,16.13,21.00,15.83,21.00,9.00,16.47,182.01,139.22,199.52,186.67,165.14,62.19,199.52,5.17,12.00,82.30,48.77,1.93,-0.09,0.31,-0.09,-0.02,0.10,1.21,2.73,90.00,82.10,34.59,82.10,0.26,2.56,128.03,136.04,84.80,6.75,82.69,98.96,58.39,84.14,60.18,46.73,-0.09,-0.09,0.31,1.93,1.93,34.29,0.31,38.48,82.10,0.10,-0.02,0.08,50.34,50.50,65.50,44.34,56.99,43.72,58.52,63.53,86.17,<1B USD
MGRD,AMG,BB,12,12/27/2024,,,0.26,4.20%,19.50,15.18,c425,15.04,-0.14,-4.46,15.58,16.59,-3.48,-9.36,14.61,18.37,14.61,18.37,9.00,14.81,182.01,139.22,199.52,186.67,165.14,62.19,199.52,5.17,12.00,82.30,48.77,1.93,-0.09,0.31,-0.09,-0.02,0.10,1.21,2.73,90.00,82.10,34.59,82.10,0.26,2.56,128.03,136.04,84.80,6.75,82.69,98.96,58.39,84.14,60.18,46.73,-0.09,-0.09,0.31,1.93,1.93,34.29,0.31,38.48,82.10,0.10,-0.02,0.08,50.34,50.50,65.50,44.34,56.99,43.72,58.52,63.53,86.17,<1B USD
MS PRK,MS,,11,12/27/2024,,,0.37,5.85%,26.38,21.40,c575,23.14,1.74,-3.24,23.70,24.48,-2.35,-5.47,22.52,25.76,21.16,26.00,9.00,22.81,129.80,90.94,142.03,127.74,117.96,44.60,142.03,207.74,11.00,55.35,29.67,1.91,-0.09,0.43,-0.09,0.02,0.10,1.35,3.37,90.00,82.25,44.19,82.25,1.32,2.52,137.27,163.78,84.69,6.74,88.27,98.70,64.71,83.70,64.45,56.05,-0.09,-0.09,0.43,1.91,1.91,34.08,0.43,49.87,82.25,0.10,0.02,0.12,90.13,40.60,77.82,39.48,50.87,37.94,50.91,69.07,85.79,<1B USD
MS PRL,MS,,11,12/27/2024,,,0.30,4.88%,24.00,18.32,c475,19.53,1.21,-4.47,20.27,21.81,-3.67,-10.45,19.26,24.32,18.15,24.49,9.00,19.26,129.80,90.94,142.03,127.74,117.96,44.60,142.03,207.74,11.00,55.35,29.67,1.91,-0.09,0.43,-0.09,0.02,0.10,1.35,3.37,90.00,82.25,44.19,82.25,1.32,2.52,137.27,163.78,84.69,6.74,88.27,98.70,64.71,83.70,64.45,56.05,-0.09,-0.09,0.43,1.91,1.91,34.08,0.43,49.87,82.25,0.10,0.02,0.12,90.13,40.60,77.82,39.48,50.87,37.94,50.91,69.07,85.79,<1B USD
MS PRO,MS,,11,12/27/2024,,,0.27,4.25%,20.77,15.90,c425,17.01,1.11,-3.76,17.80,18.83,-4.43,-9.65,16.77,21.47,15.70,21.47,9.00,16.77,129.80,90.94,142.03,127.74,117.96,44.60,142.03,207.74,11.00,55.35,29.67,1.91,-0.09,0.43,-0.09,0.02,0.10,1.35,3.37,90.00,82.25,44.19,82.25,1.32,2.52,137.27,163.78,84.69,6.74,88.27,98.70,64.71,83.70,64.45,56.05,-0.09,-0.09,0.43,1.91,1.91,34.08,0.43,49.87,82.25,0.10,0.02,0.12,90.13,40.60,77.82,39.48,50.87,37.94,50.91,69.07,85.79,<1B USD
