PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
ANG PRB,ANG-B,-,FF,,9.0,05/16/2025,9/1/2025,NONE,0.41,6.63%,,,-,-,,73.0,,,,,,25.02,,,25.09,25.01,-0.51,-0.2,24.55,25.9,22.0,25.9,24.88,0.33,-1.02,42.120885,44.062101,78.224299,21.466227,-1.02,2.88,18.737589,70.047059,43084,57094,52500,50893
ANG PRD,ANG-D,-,,,9.0,06/30/2025,1/15/2030,,0.49,7.38%,,,-,-,,28.0,,,,,,25.18,,,,,,,23.54,26.54,23.54,26.54,24.67,1.13,-1.87,,,63.271028,32.668863,-1.87,1.13,28.382979,81.027451,42348,37423,12284,30685
AOMN,AOMN,AOMR,,BB,8.0,07/14/2025,7/30/2026,7/30/2029,0.59,9.50%,,,23.50,Reit,,42.0,,,,,,24.87,,,,,,,23.6,26.1,23.6,26.1,24.58,0.98,-1.52,,,66.074766,28.056013,-1.52,0.98,24.411348,81.968627,8371,7426,8065,7954
APOS,APOS,APO,NFF,,13.0,05/30/2025,12/15/2028,9/15/2053,0.48,7.63%,,,571.72,Assetmanagement,,87.0,,,,,,26.05,,,26.47,26.74,-2.7,-3.67,24.89,27.74,24.89,27.77,25.74,0.85,-2.0,51.575823,55.869843,68.504673,34.382208,-2.03,0.85,30.198582,82.784314,29500,33767,30770,31345
AQNB,AQNB,AQN,FF,,9.0,06/13/2025,7/1/2024,7/1/2079,0.55,6.20%,,,789.65,Utilities,,11.0,,,,,,25.65,,,25.42,25.46,0.65,0.51,24.59,26.5,22.71,26.5,25.11,0.52,-1.39,37.11279,41.646108,74.672897,26.342669,-1.39,2.4,22.93617,73.058824,22344,22996,15449,20263
ARGD,ARGD,-,,BB,9.5,05/30/2025,9/15/2017,9/15/2042,0.41,6.50%,24.35,21.31,-,-,,87.0,,,,,,19.82,-1.37,-4.41,20.92,21.74,-4.66,-8.3,19.19,22.85,19.19,24.24,19.93,0.74,-2.92,60.037777,71.62484,70.560748,46.507414,-4.31,0.74,56.070922,83.47451,7827,7296,5461,6862
ARGO PRA,ARGO-A,-,NFF,,8.5,05/27/2025,9/15/2025,NONE,0.44,7.00%,,,-,-,,84.0,,,,,,24.93,,,25.08,24.92,-0.62,-0.01,24.42,25.36,20.76,25.49,24.89,0.47,-0.47,42.595791,43.415568,75.607477,14.217463,-0.6,4.13,13.971631,62.203922,18158,19882,17378,18473
ARR PRC,ARR-C,ARR,,,8.0,05/15/2025,1/28/2025,,0.15,7.00%,22.6,18.06,81.90,Reit,,72.0,,,,,,20.8,2.77,-1.77,21.15,21.63,-1.49,-3.72,19.27,23.58,17.85,23.58,20.8,1.53,-2.78,46.351862,56.039983,55.794393,44.662273,-2.78,2.95,38.70922,69.607843,10851,9853,8555,9753
ASBA,ASBA,ASB,NFF,,11.0,05/15/2025,3/1/2028,3/1/2033,0.41,6.63%,,,165.95,Regionalbank,,72.0,,,,,,24.04,,,24.3,24.07,-0.46,0.49,22.99,25.3,18.82,25.3,24.11,1.12,-1.19,41.905019,41.714164,63.457944,23.706755,-1.19,5.29,20.666667,54.92549,18320,14548,17366,16745
ATCO PRD,ATCO-D,-,,,8.0,07/25/2025,1/30/2018,NONE,0.5,7.95%,25.27,23.86,-,-,,53.0,,,,,,25.04,0.98,-0.43,25.03,25.05,-0.78,-0.84,24.14,25.98,22.0,25.98,24.63,0.49,-1.35,43.286562,46.239898,75.233645,25.815486,-1.35,2.63,22.48227,71.615686,4009,4797,5687,4831
ATCO PRH,ATCO-H,-,,,8.0,07/25/2025,8/11/2021,NONE,0.49,7.88%,24.95,22.38,-,-,,53.0,,,,,,24.95,2.57,0.0,24.85,24.88,0.4,0.3,23.78,25.49,21.36,25.49,24.75,0.97,-0.74,38.192121,42.360698,66.261682,17.775947,-0.74,3.39,15.560284,66.847059,9758,10592,17669,12673
ATCOL,ATCOL,-,,,8.0,07/15/2025,5/13/2023,10/30/2027,0.45,7.13%,,,-,-,,43.0,,,,,,25.14,,,24.94,24.97,0.81,0.66,22.45,25.45,22.45,25.9,24.91,2.46,-0.54,36.422018,41.135687,38.411215,15.140033,-0.99,2.46,18.397163,72.682353,1894,2331,2146,2124
ATH PRA,ATH-A,-,NFF,,11.5,06/13/2025,6/30/2029,NONE,0.4,6.35%,,,-,-,,11.0,,,,,,24.23,,,24.28,24.55,-3.87,-4.91,21.6,25.71,19.81,25.71,22.99,1.39,-2.72,56.627091,60.089324,58.411215,43.871499,-2.72,3.18,38.028369,68.164706,36872,37473,33169,35838
ATH PRC,ATH-C,-,NFF,,11.5,06/13/2025,9/30/2025,NONE,0.4,6.38%,,,-,-,,11.0,,,,,,25.32,,,25.11,25.1,0.38,0.41,24.24,25.46,22.45,25.64,24.85,0.61,-0.61,38.278467,41.986389,72.990654,16.062603,-0.79,2.4,16.12766,73.058824,61462,66359,78211,68677
ATH PRE,ATH-E,-,NFF,,11.5,06/13/2025,12/30/2027,NONE,0.48,7.75%,,,-,-,,11.0,,,,,,26.3,,,25.74,26.23,-1.34,-3.15,24.17,27.5,23.61,27.5,24.98,0.81,-2.52,45.704263,54.100383,69.252336,41.235585,-2.52,1.37,35.758865,79.521569,21955,21495,30101,24517
ATHS,ATHS,-,NFF,,12.0,06/12/2025,3/30/2029,3/30/2064,0.45,7.25%,,,-,-,,10.0,,,,,,25.27,,,25.17,25.34,-1.85,-2.52,24.01,26.25,24.01,26.25,24.3,0.29,-1.95,47.906098,51.956614,78.971963,33.723229,-1.95,0.29,29.29078,86.298039,47270,45836,33675,42260
ATLCL,ATLCL,ATLC,,,8.0,07/11/2025,10/2/2026,12/31/2026,0.38,6.13%,24.52,21.61,15.11,Creditservices,,39.0,,,,,,23.96,2.09,-0.82,24.07,23.55,-1.53,0.63,23.2,24.76,20.62,24.76,23.48,0.28,-1.28,46.524555,41.237771,79.158879,24.892916,-1.28,2.86,21.687943,70.172549,5404,6339,7701,6482
ATLCP,ATLCP,ATLC,,,8.0,05/30/2025,6/11/2026,NONE,0.48,7.63%,24.15,20.61,15.11,Creditservices,,87.0,,,,,,22.48,2.0,-1.54,23.23,23.07,-2.68,-1.97,21.66,24.5,18.37,24.8,22.59,0.93,-1.91,51.489477,50.08507,67.009346,33.196046,-2.21,4.22,32.241135,61.639216,4141,3919,6047,4702
ATLCZ,ATLCZ,ATLC,,BB,8.0,07/01/2025,1/31/2028,1/31/2029,0.58,9.25%,,,15.11,Creditservices,,29.0,,,,,,25.05,,,25.0,24.99,-0.56,-0.51,23.4,25.5,23.4,25.5,24.47,1.07,-1.03,42.336751,45.116972,64.392523,21.598023,-1.03,1.07,18.851064,81.403922,24640,20186,10768,18531
AUB PRA,AUB-A,AUB,,,8.0,05/16/2025,9/1/2025,NONE,0.43,6.88%,26.14,19.25,142.37,Regionalbank,,73.0,,,,,,23.43,3.93,-2.96,24.52,24.26,-5.47,-4.44,22.86,25.93,19.21,25.93,23.1,0.24,-2.83,63.534808,58.490004,79.906542,45.321252,-2.83,3.89,39.276596,63.709804,14271,11285,14013,13190
BAC PRE,BAC-E,BAC,FLR,,11.0,07/25/2025,11/15/2011,NONE,0.31,4.00%,,,7537.21,Bank,,53.0,,,,,,22.09,,,22.66,23.6,-3.16,-7.02,20.81,25.5,19.52,25.5,21.81,1.0,-3.69,53.561792,67.269247,65.700935,56.655684,-3.69,2.29,49.035461,73.74902,17366,22419,18562,19449
BANC PRF,BANC-F,BANC,NFF,,8.0,05/19/2025,9/1/2027,NONE,0.49,7.75%,,,169.33,Regionalbank,,76.0,,,,,,24.63,,,24.84,24.34,-0.27,1.78,23.39,25.6,20.94,25.6,24.69,1.3,-0.91,41.084727,37.324543,60.093458,20.016474,-0.91,3.75,17.489362,64.588235,44988,35889,26065,35647
BANFP,BANFP,BANF,,TP,8.0,06/27/2025,3/21/2009,3/31/2034,0.45,7.20%,27.53,27.0,33.23,Regionalbank,,25.0,,,,,,26.09,-1.1,-1.63,26.05,25.82,-0.59,0.3,25.43,29.45,24.7,29.45,25.57,0.14,-3.88,42.466271,42.360698,81.775701,59.159802,-3.88,0.87,51.191489,82.658824,689,453,271,471
BC PRA,BC-A,BC,,BB,11.5,06/29/2025,10/15/2023,10/15/2048,0.4,6.50%,26.22,22.5,65.69,Consumercyclical,,27.0,,,,,,23.47,0.75,-2.97,24.02,24.49,-3.19,-5.05,22.58,25.43,22.09,26.39,22.97,0.39,-2.46,53.691311,60.565717,77.102804,40.444811,-3.42,0.88,45.971631,82.596078,7543,8312,11887,9247
BC PRC,BC-C,BC,,BB,11.5,06/29/2025,4/15/2024,4/15/2049,0.39,6.38%,25.99,22.33,65.69,Consumercyclical,,27.0,,,,,,23.3,0.86,-2.8,23.69,24.36,-2.13,-4.81,22.0,25.5,21.76,25.99,22.92,0.92,-2.58,49.114949,59.749043,67.196262,42.026359,-3.07,1.16,42.0,80.839216,12498,14073,14578,13716
BK PRK,BK-K,BK,NFF,,12.5,06/05/2025,3/20/2030,NONE,0.41,6.15%,,,715.58,Bank,,3.0,,,,,,25.11,,,,,,,24.54,25.83,24.54,25.83,24.94,0.4,-0.89,,,76.915888,19.752883,-0.89,0.4,17.262411,85.607843,231356,231356,77740,180150
BML PRG,BML-G,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.33,3.00%,,,7537.21,Bank,,72.0,,,,,,20.59,,,22.04,22.47,-6.84,-8.62,20.25,23.5,19.5,23.68,20.46,0.21,-3.04,69.449541,72.713739,80.46729,48.088962,-3.22,0.96,43.702128,82.094118,5753,3509,3241,4168
BML PRH,BML-H,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.32,3.00%,,,7537.21,Bank,,72.0,,,,,,20.43,,,21.92,22.33,-7.9,-9.59,20.09,23.45,19.05,23.45,20.13,0.04,-3.32,74.025904,76.014462,83.64486,51.779242,-3.32,1.08,44.836879,81.341176,15492,15383,20079,16985
BML PRJ,BML-J,BAC,FLR,,11.0,05/15/2025,11/21/2010,NONE,0.33,4.00%,,,7537.21,Bank,,72.0,,,,,,22.16,,,22.8,23.17,-3.6,-5.15,20.7,24.69,20.0,24.69,21.91,1.21,-2.78,55.461414,60.905997,61.775701,44.662273,-2.78,1.91,38.70922,76.133333,17230,16601,10617,14816
BML PRL,BML-L,BAC,FLR,,11.0,07/01/2025,5/21/2010,NONE,0.32,4.00%,,,7537.21,Bank,,29.0,,,,,,20.58,,,22.37,22.98,-8.75,-11.19,19.8,24.77,19.49,24.77,20.19,0.39,-4.58,77.695629,81.458954,77.102804,68.385502,-4.58,0.7,59.134752,83.72549,22633,22056,29543,24744
