"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CGRUP","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","COM_LAST_PRICE","COM_52W_LOW","COM_52W_HIGH","COM_6M_PRICE","COM_3M_PRICE","COM_5Y_LOW","COM_5Y_HIGH","COM_MKTCAP","CRDT_SCORE","COM_FEB2020_PRICE","COM_MAR2020_PRICE","COM_5Y_LOW_CHG","COM_5Y_HIGH_CHG","COM_52W_LOW_CHG","COM_52W_HIGH_CHG","COM_6M_CHG","COM_3M_CHG","COM_FEB2020_CHG","COM_MAR2020_CHG","5Y_LOW_SKOR","5Y_HIGH_SKOR","52W_LOW_SKOR","52W_HIGH_SKOR","COM_6M_SKOR","COM_3M_SKOR","FEB2020_SKOR","MAR2020_SKOR","Normalized_5Y_LOW","Normalized_5Y_HIGH","Normalized_52W_LOW","Normalized_52W_HIGH","Normalized_COM_6M","Normalized_COM_3M","Normalized_FEB2020","Normalized_MAR2020"
"USB PRR","USB","","13.5","12/27/2024","","","0.250000","4.00%","21.050000","14.570000","c400","16.040000","1.470000","-5.010000","16.730000","17.800000","-4.130000","-9.900000","15.620000","20.350000","14.240000","20.350000","9.000000","15.810000","43.050000","35.180000","53.980000","49.980000","42.180000","27.270000","63.570000","66.980000","13.5","54.640000","32.570000","0.578658","-0.322794","0.223707","-0.202482","-0.138655","0.020626","-0.212116","0.321768","133.656732","392.126173","110.406016","14.384564","10.756103","8.528183","29.517219","32.036083","69.501022","83.893555","77.350517","48.895276","40.885561","64.266746","14.644996","11.769057"
"USB PRS","USB","","13.5","12/27/2024","","","0.280000","4.50%","22.080000","16.440000","c450","18.480000","2.040000","-3.600000","19.120000","20.250000","-3.370000","-8.730000","18.040000","22.970000","16.220000","22.970000","9.000000","18.230000","43.050000","35.180000","53.980000","49.980000","42.180000","27.270000","63.570000","66.980000","13.5","54.640000","32.570000","0.578658","-0.322794","0.223707","-0.202482","-0.138655","0.020626","-0.212116","0.321768","133.656732","392.126173","110.406016","14.384564","10.756103","8.528183","29.517219","32.036083","69.501022","83.893555","77.350517","48.895276","40.885561","64.266746","14.644996","11.769057"
"UZD","USM","BB","9.5","11/29/2024","9/1/2025","","0.390000","6.25%","24.160000","16.770000","c625","23.760000","6.990000","-0.400000","23.720000","23.340000","0.180000","1.800000","22.000000","24.370000","14.860000","24.800000","71.000000","23.680000","59.770000","47.590000","70.790000","61.270000","65.640000","13.790000","70.790000","5.080000","9.5","33.560000","28.210000","3.334300","-0.155672","0.255936","-0.155672","-0.024482","-0.089427","0.780989","1.118752","177.170288","437.014724","113.667236","15.015535","15.495676","4.912872","98.234563","66.426999","91.802353","93.382775","79.605791","50.996175","58.460748","37.446387","46.411129","23.329700"
"UZE","USM","BB","9.5","11/29/2024","","","0.340000","5.50%","21.800000","14.930000","c550","21.060000","6.130000","-0.740000","21.810000","21.750000","-3.450000","-3.160000","20.250000","23.220000","13.000000","23.800000","71.000000","20.990000","59.770000","47.590000","70.790000","61.270000","65.640000","13.790000","70.790000","5.080000","9.5","33.560000","28.210000","3.334300","-0.155672","0.255936","-0.155672","-0.024482","-0.089427","0.780989","1.118752","177.170288","437.014724","113.667236","15.015535","15.495676","4.912872","98.234563","66.426999","91.802353","93.382775","79.605791","50.996175","58.460748","37.446387","46.411129","23.329700"
"UZF","USM","BB","9.5","11/29/2024","6/1/2026","","0.340000","5.50%","21.750000","15.440000","c550","21.160000","5.720000","-0.590000","21.860000","21.760000","-3.190000","-2.740000","20.300000","23.500000","12.950000","23.700000","71.000000","21.090000","59.770000","47.590000","70.790000","61.270000","65.640000","13.790000","70.790000","5.080000","9.5","33.560000","28.210000","3.334300","-0.155672","0.255936","-0.155672","-0.024482","-0.089427","0.780989","1.118752","177.170288","437.014724","113.667236","15.015535","15.495676","4.912872","98.234563","66.426999","91.802353","93.382775","79.605791","50.996175","58.460748","37.446387","46.411129","23.329700"
"VNO PRL","VNO","","10.5","12/13/2024","","","0.340000","5.40%","24.160000","13.750000","c525","17.700000","3.950000","-6.460000","17.510000","17.440000","1.060000","1.490000","15.250000","19.460000","13.100000","19.460000","85.000000","17.680000","40.390000","24.760000","46.630000","44.780000","38.130000","12.310000","50.910000","8.430000","10.5","66.220000","29.660000","2.281072","-0.206639","0.631260","-0.133819","-0.098035","0.059271","-0.390063","0.361767","167.706078","464.743774","135.804894","16.115890","12.442345","9.797695","21.505278","33.762059","86.951807","99.244561","94.914936","54.659951","47.138449","73.684688","10.941297","12.349250"
"VNO PRM","VNO","","10.5","12/13/2024","","","0.330000","5.25%","23.400000","13.710000","c525","17.080000","3.370000","-6.320000","16.990000","16.970000","0.530000","0.640000","14.750000","18.990000","12.870000","18.990000","85.000000","17.060000","40.390000","24.760000","46.630000","44.780000","38.130000","12.310000","50.910000","8.430000","10.5","66.220000","29.660000","2.281072","-0.206639","0.631260","-0.133819","-0.098035","0.059271","-0.390063","0.361767","167.706078","464.743774","135.804894","16.115890","12.442345","9.797695","21.505278","33.762059","86.951807","99.244561","94.914936","54.659951","47.138449","73.684688","10.941297","12.349250"
"VNO PRN","VNO","","10.5","12/13/2024","","","0.330000","5.25%","22.920000","13.760000","c525","17.000000","3.240000","-5.920000","17.030000","17.050000","-0.180000","-0.290000","14.810000","18.970000","13.060000","18.970000","85.000000","16.980000","40.390000","24.760000","46.630000","44.780000","38.130000","12.310000","50.910000","8.430000","10.5","66.220000","29.660000","2.281072","-0.206639","0.631260","-0.133819","-0.098035","0.059271","-0.390063","0.361767","167.706078","464.743774","135.804894","16.115890","12.442345","9.797695","21.505278","33.762059","86.951807","99.244561","94.914936","54.659951","47.138449","73.684688","10.941297","12.349250"
"VNO PRO","VNO","","10.5","12/13/2024","","","0.280000","4.50%","19.700000","11.600000","c450","14.550000","2.950000","-5.150000","14.650000","14.940000","-0.710000","-2.640000","12.510000","17.340000","11.280000","17.340000","85.000000","14.530000","40.390000","24.760000","46.630000","44.780000","38.130000","12.310000","50.910000","8.430000","10.5","66.220000","29.660000","2.281072","-0.206639","0.631260","-0.133819","-0.098035","0.059271","-0.390063","0.361767","167.706078","464.743774","135.804894","16.115890","12.442345","9.797695","21.505278","33.762059","86.951807","99.244561","94.914936","54.659951","47.138449","73.684688","10.941297","12.349250"
"WAFDP","WAFD","","10","12/27/2024","4/15/2026","","0.300000","4.88%","22.200000","12.600000","c475","15.570000","2.970000","-6.630000","16.300000","16.860000","-4.480000","-7.660000","15.240000","19.750000","12.020000","19.750000","9.000000","15.300000","28.070000","23.740000","38.620000","34.480000","28.340000","20.010000","39.180000","2.250000","10","34.750000","25.670000","0.402799","-0.283563","0.182393","-0.273175","-0.185905","-0.009527","-0.192230","0.093494","124.740869","416.652462","105.486915","10.339507","8.794687","7.537636","30.893181","22.185748","64.931512","89.078293","73.948747","35.426733","33.612279","56.918328","15.281066","8.457827"
