"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CGRUP","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","COM_LAST_PRICE","COM_52W_LOW","COM_52W_HIGH","COM_6M_PRICE","COM_3M_PRICE","COM_5Y_LOW","COM_5Y_HIGH","COM_MKTCAP","CRDT_SCORE","COM_FEB2020_PRICE","COM_MAR2020_PRICE","COM_5Y_LOW_CHG","COM_5Y_HIGH_CHG","COM_52W_LOW_CHG","COM_52W_HIGH_CHG","COM_6M_CHG","COM_3M_CHG","COM_FEB2020_CHG","COM_MAR2020_CHG","5Y_LOW_SKOR","5Y_HIGH_SKOR","52W_LOW_SKOR","52W_HIGH_SKOR","COM_6M_SKOR","COM_3M_SKOR","FEB2020_SKOR","MAR2020_SKOR","Normalized_5Y_LOW","Normalized_5Y_HIGH","Normalized_52W_LOW","Normalized_52W_HIGH","Normalized_COM_6M","Normalized_COM_3M","Normalized_FEB2020","Normalized_MAR2020"
"ACGLN","ACGL","","12","12/13/2024","","","0.280000","4.55%","21.700000","16.620000","c450","16.750000","0.130000","-4.950000","17.540000","18.940000","-4.500000","-11.580000","16.440000","20.990000","16.440000","21.220000","85.000000","16.730000","90.890000","82.490000","116.470000","90.530000","95.280000","26.220000","116.470000","34.100000","12","46.780000","25.970000","2.466438","-0.219627","0.101831","-0.219627","0.003977","-0.046075","0.942924","2.499807","169.653075","456.623801","3.507198","13.403516","16.677039","6.337027","109.439569","126.021386","87.949671","97.528038","3.425378","45.628748","62.841455","48.011547","51.590894","43.362590"
"ACGLO","ACGL","","11.5","12/13/2024","","","0.340000","5.45%","24.930000","19.340000","c550","20.140000","0.800000","-4.790000","20.900000","22.130000","-3.630000","-9.000000","19.990000","23.910000","19.200000","24.500000","85.000000","20.120000","90.890000","82.490000","116.470000","90.530000","95.280000","26.220000","116.470000","34.100000","12","46.780000","25.970000","2.466438","-0.219627","0.101831","-0.219627","0.003977","-0.046075","0.942924","2.499807","169.653075","456.623801","3.507198","13.403516","16.677039","6.337027","109.439569","126.021386","87.949671","97.528038","3.425378","45.628748","62.841455","48.011547","51.590894","43.362590"
"ACP PRA","ACP","","15","12/16/2024","","","0.330000","5.25%","24.610000","21.470000","c525","20.800000","-0.670000","-3.810000","21.490000","23.010000","-3.210000","-9.600000","20.210000","25.000000","19.650000","26.330000","88.000000","20.790000","5.910000","4.920000","7.000000","5.930000","5.920000","4.920000","12.410000","0.741530","15","11.650000","6.700000","0.201220","-0.523771","0.201220","-0.155714","-0.003373","-0.001689","-0.492704","-0.117910","107.849106","266.479020","107.849106","15.013391","16.371957","7.795119","12.627593","13.063347","56.274237","57.332362","75.582304","50.989035","61.710155","58.828475","6.837388","5.391296"
"ADC PRA","ADC","","11","10/22/2024","","","0.270000","4.25%","20.920000","15.830000","c425","17.130000","1.300000","-3.790000","17.490000","18.460000","-2.040000","-7.220000","16.960000","21.940000","15.710000","21.940000","33.000000","16.960000","74.550000","60.420000","79.650000","73.310000","77.160000","52.690000","80.440000","8.200000","11","77.460000","52.710000","0.414879","-0.073222","0.233863","-0.064030","0.016914","-0.033826","-0.037568","0.414343","125.466177","26.856224","111.480333","28.299293","17.214117","6.739411","41.594963","36.030781","65.303243","6.677274","78.093454","95.226175","64.833034","50.996654","20.228204","13.111890"
"AEFC","AEG","BB","12.5","11/29/2024","12/15/2024","","0.320000","5.10%","24.320000","18.560000","c500","19.400000","0.840000","-4.920000","20.130000","21.080000","-3.640000","-7.970000","18.610000","22.830000","18.240000","22.900000","71.000000","19.330000","6.940000","5.420000","7.320000","5.830000","6.570000","2.310000","138.840100","10.990000","12.5","","","2.004329","-0.950014","0.280443","-0.051913","0.190395","0.056317","","","164.484123","0.000000","115.890243","27.707404","24.415614","9.700644","","","85.300508","1.000000","81.143096","93.255403","91.537478","72.964708","",""
"AFGB","AFG","BB","11.5","12/13/2024","","","0.370000","5.88%","26.830000","21.400000","c575","20.740000","-0.660000","-6.090000","21.740000","23.270000","-4.600000","-10.880000","20.660000","25.240000","20.660000","25.270000","85.000000","20.720000","123.870000","114.730000","150.190000","137.910000","126.520000","56.730000","152.290000","10.350000","11.5","112.940000","51.160000","1.183501","-0.186618","0.079665","-0.175245","-0.101806","-0.020945","0.096777","1.421228","151.378679","419.989544","2.682267","14.029951","12.285816","7.162544","50.890879","79.479214","78.583777","89.783735","2.854903","47.714547","46.558012","54.135685","24.525449","27.717254"
"AFGC","AFG","BB","11.5","11/29/2024","","","0.320000","5.13%","26.220000","18.460000","c500","18.350000","-0.110000","-7.870000","19.290000","20.780000","-4.890000","-11.690000","18.010000","23.420000","18.010000","23.420000","71.000000","18.280000","123.870000","114.730000","150.190000","137.910000","126.520000","56.730000","152.290000","10.350000","11.5","112.940000","51.160000","1.183501","-0.186618","0.079665","-0.175245","-0.101806","-0.020945","0.096777","1.421228","151.378679","419.989544","2.682267","14.029951","12.285816","7.162544","50.890879","79.479214","78.583777","89.783735","2.854903","47.714547","46.558012","54.135685","24.525449","27.717254"
"AFGD","AFG","BB","11.5","11/15/2024","","","0.350000","5.63%","25.560000","20.360000","c550","20.030000","-0.330000","-5.530000","20.920000","22.780000","-4.270000","-12.070000","18.190000","25.610000","18.190000","25.610000","57.000000","19.900000","123.870000","114.730000","150.190000","137.910000","126.520000","56.730000","152.290000","10.350000","11.5","112.940000","51.160000","1.183501","-0.186618","0.079665","-0.175245","-0.101806","-0.020945","0.096777","1.421228","151.378679","419.989544","2.682267","14.029951","12.285816","7.162544","50.890879","79.479214","78.583777","89.783735","2.854903","47.714547","46.558012","54.135685","24.525449","27.717254"
"AFGE","AFG","BB","11.5","11/29/2024","","","0.280000","4.50%","22.310000","16.580000","c450","16.490000","-0.090000","-5.820000","17.110000","18.630000","-3.650000","-11.510000","16.110000","20.770000","16.110000","21.780000","71.000000","16.430000","123.870000","114.730000","150.190000","137.910000","126.520000","56.730000","152.290000","10.350000","11.5","112.940000","51.160000","1.183501","-0.186618","0.079665","-0.175245","-0.101806","-0.020945","0.096777","1.421228","151.378679","419.989544","2.682267","14.029951","12.285816","7.162544","50.890879","79.479214","78.583777","89.783735","2.854903","47.714547","46.558012","54.135685","24.525449","27.717254"
"AGM PRD","AGM","","NR","12/27/2024","","","0.360000","5.70%","25.280000","21.040000","c550","21.640000","0.600000","-3.640000","22.030000","22.910000","-1.790000","-5.550000","20.920000","24.860000","20.260000","25.700000","9.000000","21.320000","184.250000","159.630000","217.600000","209.190000","194.260000","57.050000","217.600000","1.980000","NR","73.290000","43.020000","2.229623","-0.153263","0.154232","-0.153263","-0.119222","-0.051529","1.513986","3.282892","167.137666","438.339967","101.476089","15.136830","11.562834","6.157855","148.953833","159.812519","86.660488","93.662925","71.175088","51.400043","43.877065","46.682349","69.857248","54.721614"
"AGM PRE","AGM","","NR","12/27/2024","","","0.360000","5.75%","24.900000","21.550000","c550","21.350000","-0.200000","-3.550000","22.140000","23.050000","-3.590000","-7.370000","21.260000","24.740000","20.310000","24.930000","9.000000","21.030000","184.250000","159.630000","217.600000","209.190000","194.260000","57.050000","217.600000","1.980000","NR","73.290000","43.020000","2.229623","-0.153263","0.154232","-0.153263","-0.119222","-0.051529","1.513986","3.282892","167.137666","438.339967","101.476089","15.136830","11.562834","6.157855","148.953833","159.812519","86.660488","93.662925","71.175088","51.400043","43.877065","46.682349","69.857248","54.721614"
"AGM PRF","AGM","","NR","12/27/2024","","","0.330000","5.25%","22.500000","19.900000","c525","19.290000","-0.610000","-3.210000","20.410000","21.220000","-5.490000","-9.110000","19.290000","23.390000","17.820000","23.990000","9.000000","18.990000","184.250000","159.630000","217.600000","209.190000","194.260000","57.050000","217.600000","1.980000","NR","73.290000","43.020000","2.229623","-0.153263","0.154232","-0.153263","-0.119222","-0.051529","1.513986","3.282892","167.137666","438.339967","101.476089","15.136830","11.562834","6.157855","148.953833","159.812519","86.660488","93.662925","71.175088","51.400043","43.877065","46.682349","69.857248","54.721614"
"AGM PRG","AGM","","NR","12/27/2024","","","0.300000","4.88%","21.800000","18.200000","c475","18.030000","-0.170000","-3.770000","19.010000","19.830000","-5.130000","-9.100000","17.880000","22.370000","17.160000","22.370000","9.000000","17.760000","184.250000","159.630000","217.600000","209.190000","194.260000","57.050000","217.600000","1.980000","NR","73.290000","43.020000","2.229623","-0.153263","0.154232","-0.153263","-0.119222","-0.051529","1.513986","3.282892","167.137666","438.339967","101.476089","15.136830","11.562834","6.157855","148.953833","159.812519","86.660488","93.662925","71.175088","51.400043","43.877065","46.682349","69.857248","54.721614"
"AHH PRA","AHH","","NR","1/2/2025","","","0.420000","6.75%","26.430000","20.500000","c675","21.850000","1.350000","-4.580000","21.930000","22.490000","-0.380000","-2.850000","19.880000","25.760000","19.520000","25.760000","15.000000","21.500000","6.860000","6.100000","12.460000","10.830000","7.650000","6.100000","15.800000","0.695240","NR","18.520000","8.200000","0.124590","-0.565823","0.124590","-0.449438","-0.366574","-0.103268","-0.629590","-0.163415","4.354251","240.189157","4.354251","0.253565","1.618429","4.458194","0.787924","11.099780","3.231617","51.774813","4.011152","1.844278","7.001426","34.073331","1.364236","4.731235"
"AIZN","AIZ","BB","10","12/27/2024","","","0.330000","5.25%","24.000000","17.740000","c525","19.520000","1.780000","-4.480000","19.700000","20.950000","-0.930000","-6.800000","18.010000","23.140000","17.700000","23.140000","9.000000","19.220000","198.170000","160.120000","230.550000","213.120000","214.690000","96.710000","230.550000","10.050000","10","137.110000","91.050000","1.049116","-0.140447","0.237634","-0.140447","-0.070148","-0.076948","0.445336","1.176496","148.385865","445.390864","111.867788","15.782176","13.599971","5.322816","75.009212","68.918740","77.049916","95.153450","78.361396","53.548806","51.431134","40.487573","35.674689","24.167309"
"ALL PRH","ALL","","12","12/27/2024","","","0.320000","5.10%","24.780000","18.740000","c500","20.890000","2.150000","-3.890000","21.210000","22.250000","-1.500000","-6.120000","19.370000","24.970000","18.380000","24.970000","9.000000","20.600000","198.920000","156.660000","213.180000","193.400000","210.100000","84.970000","213.180000","52.680000","12","123.950000","73.870000","1.341062","-0.066892","0.269756","-0.066892","0.028542","-0.053213","0.604841","1.692839","154.484559","26.701076","114.945060","28.437053","17.696793","6.102538","86.046058","91.199604","80.175586","6.644477","80.489462","95.684863","66.622885","46.271982","40.776719","31.657110"
"ALL PRI","ALL","","12","12/27/2024","","","0.300000","4.75%","24.920000","17.850000","c475","19.160000","1.310000","-5.760000","19.690000","20.920000","-2.700000","-8.430000","18.560000","24.490000","17.500000","24.490000","9.000000","18.890000","198.920000","156.660000","213.180000","193.400000","210.100000","84.970000","213.180000","52.680000","12","123.950000","73.870000","1.341062","-0.066892","0.269756","-0.066892","0.028542","-0.053213","0.604841","1.692839","154.484559","26.701076","114.945060","28.437053","17.696793","6.102538","86.046058","91.199604","80.175586","6.644477","80.489462","95.684863","66.622885","46.271982","40.776719","31.657110"
"AMH PRG","AMH","","9","12/13/2024","","","0.370000","5.88%","25.470000","21.430000","c575","22.730000","1.300000","-2.740000","23.060000","23.410000","-1.450000","-2.880000","21.760000","25.340000","21.100000","25.340000","85.000000","22.710000","36.400000","31.680000","41.410000","36.900000","36.000000","26.220000","44.070000","13.470000","9","28.300000","19.530000","0.388253","-0.174041","0.148990","-0.120985","-0.013550","0.011111","0.286219","0.863799","123.838724","426.908529","5.262344","16.762145","15.949471","8.215617","63.999215","55.425438","64.469149","91.246375","4.639138","56.811740","60.143501","61.947957","30.585071","19.631482"
"AMH PRH","AMH","","9","12/13/2024","","","0.390000","6.25%","25.850000","22.380000","c625","23.450000","1.070000","-2.400000","24.150000","24.320000","-2.900000","-3.560000","22.700000","25.490000","21.740000","26.250000","85.000000","23.430000","36.400000","31.680000","41.410000","36.900000","36.000000","26.220000","44.070000","13.470000","9","28.300000","19.530000","0.388253","-0.174041","0.148990","-0.120985","-0.013550","0.011111","0.286219","0.863799","123.838724","426.908529","5.262344","16.762145","15.949471","8.215617","63.999215","55.425438","64.469149","91.246375","4.639138","56.811740","60.143501","61.947957","30.585071","19.631482"
"ASB PRE","ASB","","10","12/2/2024","","","0.370000","5.88%","25.100000","16.770000","c575","19.820000","3.050000","-5.280000","20.600000","21.370000","-3.770000","-7.250000","19.250000","23.740000","16.200000","23.750000","74.000000","19.750000","22.820000","18.320000","28.180000","25.100000","22.220000","11.780000","28.180000","3.780000","10","20.280000","11.700000","0.937182","-0.190206","0.245633","-0.190206","-0.090837","0.027003","0.125247","0.950427","145.586667","418.015474","112.670224","13.276595","12.741156","8.737665","52.860810","59.163556","75.615287","89.366427","78.916315","45.206147","48.246492","65.820799","25.436094","20.888065"
"ASB PRF","ASB","","10","12/2/2024","","","0.350000","5.63%","25.250000","16.400000","c550","19.200000","2.800000","-6.050000","19.750000","20.450000","-2.780000","-6.120000","18.510000","22.610000","15.190000","22.910000","74.000000","19.140000","22.820000","18.320000","28.180000","25.100000","22.220000","11.780000","28.180000","3.780000","10","20.280000","11.700000","0.937182","-0.190206","0.245633","-0.190206","-0.090837","0.027003","0.125247","0.950427","145.586667","418.015474","112.670224","13.276595","12.741156","8.737665","52.860810","59.163556","75.615287","89.366427","78.916315","45.206147","48.246492","65.820799","25.436094","20.888065"
"ATH PRB","-","","11","12/13/2024","","","0.350000","5.63%","25.260000","18.000000","c550","19.270000","1.270000","-5.990000","19.820000","21.160000","-2.750000","-8.950000","18.340000","23.530000","16.660000","23.530000","85.000000","19.250000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATH PRD","-","","11","12/13/2024","","","0.300000","4.88%","21.690000","15.240000","c475","16.580000","1.340000","-5.110000","17.160000","18.370000","-3.390000","-9.740000","15.860000","20.610000","15.190000","20.610000","85.000000","16.560000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXS PRE","AXS","","11.5","12/26/2024","","","0.340000","5.50%","24.040000","19.260000","c550","20.410000","1.150000","-3.630000","20.610000","21.490000","-0.970000","-5.010000","19.450000","23.660000","18.770000","23.660000","8.000000","20.100000","102.990000","68.020000","107.190000","92.520000","95.590000","36.680000","107.190000","8.100000","11.5","65.160000","38.160000","1.807797","-0.039183","0.514113","-0.039183","0.113165","0.077414","0.580571","1.698899","161.914374","26.010413","130.740677","27.070136","21.209653","10.393705","84.366725","91.461127","83.983474","6.498474","91.412811","91.133537","79.649202","78.106217","40.000410","31.745022"
"BAC PRB","BAC","","11","10/29/2024","6/16/2023","","0.380000","6.00%","25.690000","23.020000","c600","24.500000","1.480000","-1.190000","24.770000","25.060000","-1.090000","-2.220000","24.040000","25.630000","22.300000","25.630000","40.000000","24.290000","44.090000","33.060000","48.080000","45.050000","41.440000","22.390000","50.110000","332.080000","11","34.690000","19.670000","0.969183","-0.120136","0.333636","-0.082987","-0.021310","0.063948","0.270971","1.241484","146.419430","456.565173","120.126928","29.198013","15.627358","9.951336","62.944164","71.723062","76.042090","97.515644","84.072947","98.218580","58.949048","74.824482","30.097351","25.109993"
"BAC PRK","BAC","","11","1/2/2025","","","0.370000","5.88%","25.680000","22.000000","c575","23.880000","1.880000","-1.800000","24.340000","24.770000","-1.880000","-3.610000","23.350000","25.340000","21.510000","25.430000","15.000000","23.570000","44.090000","33.060000","48.080000","45.050000","41.440000","22.390000","50.110000","332.080000","11","34.690000","19.670000","0.969183","-0.120136","0.333636","-0.082987","-0.021310","0.063948","0.270971","1.241484","146.419430","456.565173","120.126928","29.198013","15.627358","9.951336","62.944164","71.723062","76.042090","97.515644","84.072947","98.218580","58.949048","74.824482","30.097351","25.109993"
"BAC PRM","BAC","","11","12/2/2024","","","0.340000","5.38%","25.180000","20.700000","c525","21.200000","0.500000","-3.980000","22.270000","23.170000","-4.800000","-8.510000","20.830000","24.880000","20.540000","24.880000","74.000000","21.140000","44.090000","33.060000","48.080000","45.050000","41.440000","22.390000","50.110000","332.080000","11","34.690000","19.670000","0.969183","-0.120136","0.333636","-0.082987","-0.021310","0.063948","0.270971","1.241484","146.419430","456.565173","120.126928","29.198013","15.627358","9.951336","62.944164","71.723062","76.042090","97.515644","84.072947","98.218580","58.949048","74.824482","30.097351","25.109993"
"BAC PRN","BAC","","11","12/2/2024","","","0.310000","5.00%","23.900000","19.250000","c500","19.740000","0.490000","-4.160000","20.660000","21.770000","-4.450000","-9.310000","19.370000","24.040000","19.000000","24.040000","74.000000","19.680000","44.090000","33.060000","48.080000","45.050000","41.440000","22.390000","50.110000","332.080000","11","34.690000","19.670000","0.969183","-0.120136","0.333636","-0.082987","-0.021310","0.063948","0.270971","1.241484","146.419430","456.565173","120.126928","29.198013","15.627358","9.951336","62.944164","71.723062","76.042090","97.515644","84.072947","98.218580","58.949048","74.824482","30.097351","25.109993"
"BAC PRO","BAC","","11","10/15/2024","11/3/2025","","0.270000","4.38%","21.390000","16.540000","c425","17.400000","0.860000","-3.990000","18.160000","19.260000","-4.200000","-9.640000","17.140000","21.540000","16.350000","21.540000","26.000000","17.210000","44.090000","33.060000","48.080000","45.050000","41.440000","22.390000","50.110000","332.080000","11","34.690000","19.670000","0.969183","-0.120136","0.333636","-0.082987","-0.021310","0.063948","0.270971","1.241484","146.419430","456.565173","120.126928","29.198013","15.627358","9.951336","62.944164","71.723062","76.042090","97.515644","84.072947","98.218580","58.949048","74.824482","30.097351","25.109993"
"BAC PRP","BAC","","11","10/15/2024","","","0.260000","4.12%","20.800000","15.570000","c400","16.440000","0.870000","-4.360000","17.170000","18.200000","-4.260000","-9.680000","16.170000","20.580000","15.400000","20.580000","26.000000","16.260000","44.090000","33.060000","48.080000","45.050000","41.440000","22.390000","50.110000","332.080000","11","34.690000","19.670000","0.969183","-0.120136","0.333636","-0.082987","-0.021310","0.063948","0.270971","1.241484","146.419430","456.565173","120.126928","29.198013","15.627358","9.951336","62.944164","71.723062","76.042090","97.515644","84.072947","98.218580","58.949048","74.824482","30.097351","25.109993"
"BAC PRQ","BAC","","11","11/1/2024","","","0.270000","4.25%","20.460000","16.110000","c425","16.840000","0.730000","-3.620000","17.600000","18.620000","-4.300000","-9.580000","16.560000","21.000000","15.980000","21.000000","43.000000","16.700000","44.090000","33.060000","48.080000","45.050000","41.440000","22.390000","50.110000","332.080000","11","34.690000","19.670000","0.969183","-0.120136","0.333636","-0.082987","-0.021310","0.063948","0.270971","1.241484","146.419430","456.565173","120.126928","29.198013","15.627358","9.951336","62.944164","71.723062","76.042090","97.515644","84.072947","98.218580","58.949048","74.824482","30.097351","25.109993"
"BAC PRS","BAC","","11","11/1/2024","","","0.300000","4.75%","22.490000","18.240000","c475","18.870000","0.630000","-3.620000","19.700000","20.830000","-4.200000","-9.420000","18.550000","23.440000","17.820000","23.440000","43.000000","18.710000","44.090000","33.060000","48.080000","45.050000","41.440000","22.390000","50.110000","332.080000","11","34.690000","19.670000","0.969183","-0.120136","0.333636","-0.082987","-0.021310","0.063948","0.270971","1.241484","146.419430","456.565173","120.126928","29.198013","15.627358","9.951336","62.944164","71.723062","76.042090","97.515644","84.072947","98.218580","58.949048","74.824482","30.097351","25.109993"
"BCV PRA","BCV","","16","12/16/2024","","","0.340000","5.39%","24.690000","22.150000","c525","21.950000","-0.200000","-2.740000","22.260000","22.940000","-1.390000","-4.310000","21.510000","24.710000","21.510000","25.260000","88.000000","21.940000","18.170000","15.200000","18.790000","18.180000","17.460000","14.090000","36.330000","0.106510","16","26.830000","18.270000","0.289567","-0.499862","0.195395","-0.032996","-0.000550","0.040664","-0.322773","-0.005473","116.669892","281.426325","107.141833","26.754469","16.489130","9.186459","27.325431","17.915154","60.795018","60.492149","75.093194","90.082481","62.144653","69.150202","13.631793","7.022250"
"BFS PRD","BFS","","NR","12/27/2024","","","0.380000","6.13%","24.150000","19.300000","c625","21.150000","1.850000","-3.000000","20.970000","21.450000","0.860000","-1.390000","19.300000","23.770000","19.010000","23.950000","9.000000","20.810000","34.210000","31.250000","42.390000","40.170000","36.100000","23.490000","56.220000","0.828410","NR","48.090000","25.610000","0.456364","-0.391498","0.094720","-0.192970","-0.148369","-0.052355","-0.288625","0.335806","127.807878","349.173820","3.242563","13.137404","10.352857","6.130730","30.278955","32.641834","66.503399","74.813638","3.242372","44.742695","39.390253","46.481125","14.997125","11.972682"
"BFS PRE","BFS","","NR","12/27/2024","","","0.380000","6.00%","24.600000","18.930000","c600","21.140000","2.210000","-3.460000","20.820000","21.420000","1.550000","-1.310000","18.340000","24.060000","18.340000","24.490000","9.000000","20.800000","34.210000","31.250000","42.390000","40.170000","36.100000","23.490000","56.220000","0.828410","NR","48.090000","25.610000","0.456364","-0.391498","0.094720","-0.192970","-0.148369","-0.052355","-0.288625","0.335806","127.807878","349.173820","3.242563","13.137404","10.352857","6.130730","30.278955","32.641834","66.503399","74.813638","3.242372","44.742695","39.390253","46.481125","14.997125","11.972682"
"BHFAL","BHF","BB","10.5","12/2/2024","9/15/2023","","0.390000","6.25%","26.350000","20.690000","c625","19.940000","-0.750000","-6.410000","20.810000","22.650000","-4.160000","-11.960000","19.260000","25.470000","19.100000","25.470000","74.000000","19.870000","56.880000","40.000000","64.120000","48.960000","56.950000","25.130000","64.120000","3.270000","10.5","42.110000","16.150000","1.263430","-0.112913","0.422000","-0.112913","0.161765","-0.001229","0.350748","2.521981","153.002430","460.538648","125.884024","17.168604","23.227134","7.810231","68.464260","126.978221","79.415973","98.355618","88.054227","58.165097","87.130383","58.940588","32.649139","43.684234"
"BHFAM","BHF","","10.5","12/6/2024","","","0.290000","4.63%","21.130000","13.350000","c450","14.340000","0.990000","-6.790000","14.710000","16.130000","-2.510000","-11.110000","13.280000","18.950000","13.030000","18.950000","78.000000","14.300000","56.880000","40.000000","64.120000","48.960000","56.950000","25.130000","64.120000","3.270000","10.5","42.110000","16.150000","1.263430","-0.112913","0.422000","-0.112913","0.161765","-0.001229","0.350748","2.521981","153.002430","460.538648","125.884024","17.168604","23.227134","7.810231","68.464260","126.978221","79.415973","98.355618","88.054227","58.165097","87.130383","58.940588","32.649139","43.684234"
"BHFAN","BHF","","10","12/6/2024","","","0.340000","5.38%","22.690000","15.270000","c525","16.320000","1.050000","-6.370000","16.340000","18.340000","-0.120000","-11.020000","14.540000","21.630000","14.540000","21.630000","78.000000","16.270000","56.880000","40.000000","64.120000","48.960000","56.950000","25.130000","64.120000","3.270000","10.5","42.110000","16.150000","1.263430","-0.112913","0.422000","-0.112913","0.161765","-0.001229","0.350748","2.521981","153.002430","460.538648","125.884024","17.168604","23.227134","7.810231","68.464260","126.978221","79.415973","98.355618","88.054227","58.165097","87.130383","58.940588","32.649139","43.684234"
"BHFAO","BHF","","10","12/6/2024","6/25/2025","","0.420000","6.75%","26.510000","21.170000","c675","19.930000","-1.240000","-6.580000","20.800000","23.220000","-4.170000","-14.170000","18.530000","25.900000","18.530000","26.000000","78.000000","19.870000","56.880000","40.000000","64.120000","48.960000","56.950000","25.130000","64.120000","3.270000","10.5","42.110000","16.150000","1.263430","-0.112913","0.422000","-0.112913","0.161765","-0.001229","0.350748","2.521981","153.002430","460.538648","125.884024","17.168604","23.227134","7.810231","68.464260","126.978221","79.415973","98.355618","88.054227","58.165097","87.130383","58.940588","32.649139","43.684234"
"BHFAP","BHF","","10","12/6/2024","","","0.410000","6.60%","26.100000","20.010000","c650","19.660000","-0.350000","-6.440000","20.330000","22.500000","-3.290000","-12.620000","18.380000","25.510000","18.380000","25.510000","78.000000","19.610000","56.880000","40.000000","64.120000","48.960000","56.950000","25.130000","64.120000","3.270000","10.5","42.110000","16.150000","1.263430","-0.112913","0.422000","-0.112913","0.161765","-0.001229","0.350748","2.521981","153.002430","460.538648","125.884024","17.168604","23.227134","7.810231","68.464260","126.978221","79.415973","98.355618","88.054227","58.165097","87.130383","58.940588","32.649139","43.684234"
"BOH PRA","BOH","","12","10/17/2024","8/1/2026","","0.270000","4.38%","20.440000","13.050000","c425","15.110000","2.060000","-5.330000","15.690000","16.540000","-3.680000","-8.640000","14.510000","19.240000","12.860000","19.240000","28.000000","14.920000","65.360000","55.300000","82.700000","73.030000","68.770000","30.830000","99.100000","2.600000","12","90.510000","53.960000","1.120013","-0.340464","0.181917","-0.209674","-0.105025","-0.049586","-0.277870","0.211268","150.009299","381.078978","105.424231","13.973083","12.152156","6.221693","31.209243","27.267821","77.881950","81.558232","73.905398","47.525195","46.062375","47.155940","15.427172","10.166187"
"BWBBP","BWB","","NR","11/11/2024","8/17/2026","","0.370000","5.88%","23.520000","16.570000","c575","18.600000","2.030000","-4.920000","18.990000","19.100000","-2.030000","-2.590000","18.100000","21.400000","15.250000","22.000000","53.000000","18.450000","14.850000","10.650000","16.340000","15.130000","13.950000","7.900000","20.210000","0.407480","NR","13.790000","9.020000","0.879747","-0.265215","0.394366","-0.091187","-0.018506","0.064516","0.076867","0.646341","144.018710","428.123152","124.221840","29.577006","15.743732","9.970004","49.513234","46.041842","74.811686","91.503140","86.904755","99.480484","59.380583","74.962967","23.888602","16.477148"
"CADE PRA","CADE","","NR","11/1/2024","11/20/2024","","0.340000","5.50%","24.160000","16.690000","c550","20.400000","3.710000","-3.760000","20.990000","21.190000","-2.810000","-3.710000","19.600000","23.490000","16.130000","23.490000","43.000000","20.220000","30.010000","25.220000","40.200000","35.720000","30.280000","16.950000","40.200000","5.480000","NR","","","0.770501","-0.253483","0.189929","-0.253483","-0.159854","-0.008917","","","140.734216","435.458178","106.459402","11.466295","9.876093","7.557688","","","73.128335","93.053729","74.621264","39.178518","37.622324","57.067084","",""
"CFG PRE","CFG","","10","12/18/2024","","","0.310000","5.00%","22.340000","16.200000","c500","18.990000","2.790000","-3.350000","19.380000","20.310000","-2.000000","-6.520000","17.990000","23.190000","15.170000","23.380000","0.000000","18.680000","40.330000","32.600000","49.250000","44.740000","40.860000","22.530000","57.000000","17.490000","10","38.490000","17.520000","0.790058","-0.292456","0.237117","-0.181117","-0.098570","-0.012971","0.047805","1.301941","141.354785","411.092670","111.814954","13.734268","12.420150","7.424501","47.502259","74.331825","73.446386","87.902980","78.324859","46.730030","47.056144","56.079024","22.958984","25.986939"
"CFR PRB","CFR","","11.5","11/27/2024","","","0.280000","4.45%","21.800000","15.890000","c450","17.100000","1.210000","-4.700000","17.510000","18.680000","-2.360000","-8.470000","16.340000","22.150000","15.600000","22.150000","69.000000","17.030000","123.860000","94.090000","147.640000","136.620000","124.490000","61.500000","160.600000","7.960000","11.5","92.490000","53.080000","1.013984","-0.228767","0.316399","-0.161067","-0.093398","-0.005061","0.339172","1.333459","147.540566","450.909806","118.831090","14.743835","12.634840","7.684364","67.663249","75.691882","76.616688","96.320128","83.176819","50.091516","47.852254","58.006837","32.278853","26.444127"
"CIM PRA","CIM","","NR","12/11/2024","10/21/2021","","0.500000","8.00%","22.820000","18.150000","c775","22.120000","3.970000","-0.700000","21.790000","22.590000","1.500000","-2.100000","19.850000","24.560000","17.330000","24.560000","83.000000","22.080000","13.910000","9.850000","16.890000","14.860000","13.740000","9.850000","50.550000","1.130000","NR","","","0.412183","-0.724827","0.412183","-0.176436","-0.063930","0.012373","","","125.306086","140.782872","125.306086","13.969976","13.858103","8.257058","","","65.221194","30.760811","87.654557","47.514850","52.388334","62.255396","",""
