Export_Time,Symbol,Book,Strategy,Origin,Side,Full_Taxonomy,Position_Type,Quantity,Avg_Cost,Market_Value,Unrealized_PnL,Account
2026-03-05 18:15:01,OPP PRA,MM,MM,OV,Long,MM OV Long,LONG,79.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,HOVNP,MM,MM,OV,Short,MM OV Short,SHORT,-1.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,TWO PRC,MM,MM,OV,Short,MM OV Short,SHORT,-500.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,NSA PRA,MM,MM,OV,Long,MM OV Long,LONG,167.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,UNMA,MM,MM,OV,Long,MM OV Long,LONG,415.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,COF PRK,MM,MM,OV,Short,MM OV Short,SHORT,-65.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,RWTP,MM,MM,OV,Long,MM OV Long,LONG,200.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,ARR PRC,MM,MM,OV,Short,MM OV Short,SHORT,-5.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,NCZ PRA,MM,MM,OV,Long,MM OV Long,LONG,200.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,ASTI,MM,MM,OV,Short,MM OV Short,SHORT,-500.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,BML PRJ,MM,MM,OV,Long,MM OV Long,LONG,140.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,XOMAO,MM,MM,OV,Long,MM OV Long,LONG,23.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,EQH PRA,MM,MM,OV,Short,MM OV Short,SHORT,-40.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,BML PRG,MM,MM,OV,Long,MM OV Long,LONG,200.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,FITBI,MM,MM,OV,Long,MM OV Long,LONG,100.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,SHO PRH,MM,MM,OV,Short,MM OV Short,SHORT,-285.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,SEAL PRB,MM,MM,OV,Short,MM OV Short,SHORT,-91.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,OFSSO,MM,MM,OV,Short,MM OV Short,SHORT,-309.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,CHSCM,MM,MM,OV,Short,MM OV Short,SHORT,-131.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,ANG PRD,MM,MM,OV,Short,MM OV Short,SHORT,-100.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,PEB PRH,MM,MM,OV,Short,MM OV Short,SHORT,-400.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,SLV,MM,MM,OV,Long,MM OV Long,LONG,600.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,AUB PRA,MM,MM,OV,Short,MM OV Short,SHORT,-195.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,MBINN,MM,MM,OV,Short,MM OV Short,SHORT,-300.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,DSX PRB,MM,MM,OV,Short,MM OV Short,SHORT,-20.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,MHNC,MM,MM,OV,Long,MM OV Long,LONG,240.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,GDV PRH,MM,MM,OV,Long,MM OV Long,LONG,154.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,BHFAP,MM,MM,OV,Long,MM OV Long,LONG,82.0,0.0,0,0,IBKR_PED
2026-03-05 18:15:01,APOS,MM,MM,OV,Long,MM OV Long,LONG,200.0,0.0,0,0,IBKR_PED
