Export_Time,Symbol,Book,Strategy,Origin,Side,Full_Taxonomy,Position_Type,Quantity,Avg_Cost,Market_Value,Unrealized_PnL,Account
2026-02-27 05:14:37,CMRE PRC,LT,LT,OV,Short,LT OV Short,SHORT,-98.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,CIM PRC,LT,LT,OV,Long,LT OV Long,LONG,304.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,MITN,LT,LT,OV,Long,LT OV Long,LONG,33.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,FGSN,LT,LT,OV,Long,LT OV Long,LONG,558.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,INN PRF,LT,LT,OV,Short,LT OV Short,SHORT,-200.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,MHNC,LT,LT,OV,Long,LT OV Long,LONG,241.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,AMH PRH,LT,LT,OV,Long,LT OV Long,LONG,100.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,PEB PRF,LT,LT,OV,Short,LT OV Short,SHORT,-80.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,GOODN,LT,LT,OV,Long,LT OV Long,LONG,38.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,BML PRH,LT,LT,OV,Long,LT OV Long,LONG,28.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,USB PRH,LT,LT,OV,Long,LT OV Long,LONG,349.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,BFS PRE,LT,LT,OV,Short,LT OV Short,SHORT,-399.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,KEY PRJ,LT,LT,OV,Long,LT OV Long,LONG,600.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,TRTN PRA,LT,LT,OV,Long,LT OV Long,LONG,579.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,ATLCZ,LT,LT,OV,Long,LT OV Long,LONG,143.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,DSX PRB,LT,LT,OV,Short,LT OV Short,SHORT,-20.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,GL PRD,LT,LT,OV,Long,LT OV Long,LONG,100.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,NREF PRA,LT,LT,OV,Short,LT OV Short,SHORT,-179.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,ASTI,LT,LT,OV,Short,LT OV Short,SHORT,-500.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,USB PRP,LT,LT,OV,Long,LT OV Long,LONG,121.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,SYF PRA,LT,LT,OV,Short,LT OV Short,SHORT,-200.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,SOJC,LT,LT,OV,Short,LT OV Short,SHORT,-35.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,ELC,LT,LT,OV,Long,LT OV Long,LONG,50.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,PEB PRG,LT,LT,OV,Long,LT OV Long,LONG,1000.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,TDS PRU,LT,LT,OV,Long,LT OV Long,LONG,200.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,TRTN PRB,LT,LT,OV,Long,LT OV Long,LONG,61.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,KKRT,LT,LT,OV,Short,LT OV Short,SHORT,-800.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,PNFP PRC,LT,LT,OV,Long,LT OV Long,LONG,264.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,TRTX PRC,LT,LT,OV,Short,LT OV Short,SHORT,-312.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,AHL PRF,LT,LT,OV,Short,LT OV Short,SHORT,-200.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,MGRD,LT,LT,OV,Short,LT OV Short,SHORT,-81.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,ACGLO,LT,LT,OV,Long,LT OV Long,LONG,724.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,VLYPO,LT,LT,OV,Long,LT OV Long,LONG,221.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,GSL PRB,LT,LT,OV,Long,LT OV Long,LONG,100.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,AFGD,LT,LT,OV,Short,LT OV Short,SHORT,-156.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,CIM PRA,LT,LT,OV,Long,LT OV Long,LONG,41.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,REXR PRB,LT,LT,OV,Long,LT OV Long,LONG,385.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,OXLCO,LT,LT,OV,Short,LT OV Short,SHORT,-25.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,AIZN,LT,LT,OV,Long,LT OV Long,LONG,8.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,HBANM,LT,LT,OV,Long,LT OV Long,LONG,200.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,MET PRA,LT,LT,OV,Long,LT OV Long,LONG,411.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,INBKZ,LT,LT,OV,Long,LT OV Long,LONG,200.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,OPP PRB,LT,LT,OV,Short,LT OV Short,SHORT,-100.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,SHO PRI,LT,LT,OV,Short,LT OV Short,SHORT,-100.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,VLYPN,LT,LT,OV,Long,LT OV Long,LONG,200.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,WHLRD,LT,LT,OV,Short,LT OV Short,SHORT,-300.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,GAM PRB,LT,LT,OV,Long,LT OV Long,LONG,187.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,LFT PRA,LT,LT,OV,Short,LT OV Short,SHORT,-33.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,VOYA PRB,LT,LT,OV,Long,LT OV Long,LONG,99.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,RWTP,LT,LT,OV,Long,LT OV Long,LONG,200.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,CGABL,LT,LT,OV,Long,LT OV Long,LONG,165.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,RWTO,LT,LT,OV,Short,LT OV Short,SHORT,-270.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,GNL PRB,LT,LT,OV,Short,LT OV Short,SHORT,-49.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,PEB PRH,LT,LT,OV,Long,LT OV Long,LONG,40.0,0.0,0,0,IBKR_PED
2026-02-27 05:14:37,GUT PRC,LT,LT,OV,Short,LT OV Short,SHORT,-104.0,0.0,0,0,IBKR_PED
