Symbol,Group,Round_Lots_Count,Avg_Inter_Arrival_Sec,Persistence_Risk_Score,OFI_Score,Final_BB_Score,Aggressiveness,Optimal_Spread,Danger_Flag,Danger_Reason,PM_Transition_Plan,ADV
WBS PRF,heldkuponlukreorta:c525,26,4873.0,1.0,-0.12,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,6851.0
FCNCO,heldkuponlukreorta:c550,37,4598.0,1.0,-0.29,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,15327.0
HBANM,heldkuponlukreorta:c550,51,2844.0,0.79,0.24,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,9548.0
KEY PRK,heldkuponlukreorta:c550,81,1947.0,0.54,-0.09,0,NEUTRAL,0.07,False,,NORMAL,48105.0
KEY PRJ,heldkuponlukreorta:c550,103,1215.0,0.34,0.19,0,NEUTRAL,0.05,False,,NORMAL,27038.0
AGNCL,heldnff,39,3415.0,0.95,-0.57,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,12250.0
ATH PRA,heldnff,71,2258.0,0.63,0.15,0,NEUTRAL,0.07,False,,NORMAL,33355.0
BANC PRF,heldnff,115,1246.0,0.35,-0.39,0,NEUTRAL,0.05,False,,NORMAL,30518.0
CNOBP,heldnff,10,13280.0,1.0,0.48,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4530.0
EFC PRB,heldnff,21,9241.0,1.0,0.33,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,5117.0
EFC PRC,heldnff,26,4296.0,1.0,-0.04,0,NEUTRAL,0.07,True,GHOST_TOWN_RISK,STRICT_3H_EXIT,1384.0
FLG PRA,heldnff,140,1280.0,0.36,0.5,0,NEUTRAL,0.05,False,,NORMAL,30495.0
KMPB,heldnff,75,2330.0,0.65,-0.04,0,NEUTRAL,0.07,False,,NORMAL,12333.0
KEY PRL,heldnff,145,227.0,0.06,-0.49,0,NEUTRAL,0.05,False,,NORMAL,26201.0
KEY PRI,heldnff,59,2993.0,0.83,0.27,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,36478.0
MTB PRH,heldnff,39,3632.0,1.0,0.97,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,21080.0
RF PRC,heldnff,140,198.0,0.05,0.11,0,NEUTRAL,0.05,False,,NORMAL,24562.0
RZB,heldnff,101,1580.0,0.44,-0.19,0,NEUTRAL,0.05,False,,NORMAL,54090.0
RITM PRD,heldnff,69,2127.0,0.59,-0.01,0,NEUTRAL,0.07,False,,NORMAL,35152.0
TWO PRA,heldnff,182,110.0,0.03,0.04,0,NEUTRAL,0.05,False,,NORMAL,26785.0
TWO PRB,heldnff,85,1774.0,0.49,0.03,0,NEUTRAL,0.05,False,,NORMAL,22891.0
VOYA PRB,heldnff,54,2786.0,0.77,0.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,18984.0
WAL PRA,heldnff,84,1665.0,0.46,0.1,0,NEUTRAL,0.05,False,,NORMAL,38391.0
AHH PRA,heldotelremorta,54,3025.0,0.84,-0.19,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,10488.0
ARR PRC,heldotelremorta,95,1331.0,0.37,0.36,0,NEUTRAL,0.05,False,,NORMAL,12167.0
CLDT PRA,heldotelremorta,121,1040.0,0.29,-0.09,0,NEUTRAL,0.05,False,,NORMAL,11523.0
GNL PRA,heldotelremorta,13,9413.0,1.0,0.36,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,5808.0
GNL PRB,heldotelremorta,3,9115.0,1.0,1.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4006.0
GNL PRE,heldotelremorta,10,13030.0,1.0,-0.4,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4131.0
GNL PRD,heldotelremorta,34,4713.0,1.0,0.25,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,6525.0
KREF PRA,heldotelremorta,128,977.0,0.27,0.08,0,NEUTRAL,0.05,False,,NORMAL,26068.0
BFS PRE,heldotelremorta,22,6479.0,1.0,-0.2,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2946.0
BFS PRD,heldotelremorta,25,5470.0,1.0,-0.05,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2841.0
SHO PRH,heldotelremorta,73,1888.0,0.52,-0.25,0,NEUTRAL,0.07,False,,NORMAL,4494.0
SHO PRI,heldotelremorta,13,8592.0,1.0,-0.71,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4260.0
INN PRE,heldotelremorta,27,4151.0,1.0,0.22,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4496.0
INN PRF,heldotelremorta,33,3814.0,1.0,0.05,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,3243.0
PEB PRE,heldotelremorta,21,7187.0,1.0,0.49,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,8056.0
PEB PRF,heldotelremorta,45,3993.0,1.0,-0.25,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,7750.0
PEB PRH,heldotelremorta,40,2926.0,0.81,0.03,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,8777.0
PEB PRG,heldotelremorta,44,3568.0,0.99,0.06,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,9932.0
PMT PRC,heldotelremorta,54,2558.0,0.71,0.14,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,22479.0
PMT PRA,heldotelremorta,27,4997.0,1.0,0.04,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4761.0
PMT PRB,heldotelremorta,69,2274.0,0.63,0.49,0,NEUTRAL,0.07,False,,NORMAL,6958.0
BAC PRB,heldsolidbig,182,143.0,0.04,0.01,0,NEUTRAL,0.05,False,,NORMAL,63314.0
JPM PRC,heldsolidbig,123,36.0,0.01,0.3,0,NEUTRAL,0.05,False,,NORMAL,94127.0
JPM PRD,heldsolidbig,153,158.0,0.04,0.33,0,NEUTRAL,0.05,False,,NORMAL,98868.0
MS PRI,heldsolidbig,153,218.0,0.06,0.16,0,NEUTRAL,0.05,False,,NORMAL,51299.0
DUK PRA,heldsolidbig,87,397.0,0.11,0.07,0,NEUTRAL,0.05,False,,NORMAL,48176.0
SCHW PRD,heldsolidbig,113,285.0,0.08,0.07,0,NEUTRAL,0.05,False,,NORMAL,41742.0
HIG PRG,heldsolidbig,38,3270.0,0.91,0.14,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,19952.0
ACR PRC,heldtitrekhc,57,2905.0,0.81,0.37,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,5050.0
GSL PRB,heldtitrekhc,2,9333.0,1.0,1.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4760.0
MFA PRC,heldtitrekhc,24,4678.0,1.0,-0.41,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,16958.0
ADAMM,heldtitrekhc,40,3142.0,0.87,-0.22,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,12425.0
RPT PRC,heldtitrekhc,17,7705.0,1.0,0.3,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,3078.0
RLJ PRA,heldtitrekhc,52,3199.0,0.89,-0.05,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,14251.0
SEAL PRA,heldtitrekhc,27,9136.0,1.0,-0.41,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4042.0
SEAL PRB,heldtitrekhc,17,6950.0,1.0,-0.36,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4637.0
TRTN PRB,heldtitrekhc,30,4327.0,1.0,0.16,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4837.0
SPME,heldtitrekhc,13,19799.0,1.0,-0.62,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,6183.0
MITN,highmatur,12,13749.0,1.0,0.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,3193.0
MITP,highmatur,5,24129.0,1.0,0.14,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,5636.0
AOMN,highmatur,20,7269.0,1.0,-0.3,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,5931.0
AOMD,highmatur,21,6279.0,1.0,-0.22,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,5888.0
ATLCZ,highmatur,100,1448.0,0.4,0.12,0,NEUTRAL,0.05,False,,NORMAL,20609.0
CIMN,highmatur,15,11739.0,1.0,-0.14,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,6825.0
CIMO,highmatur,72,2265.0,0.63,0.17,0,NEUTRAL,0.07,False,,NORMAL,10797.0
ECCU,highmatur,7,4425.0,1.0,1.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,8047.0
ECCX,highmatur,8,12396.0,1.0,0.18,0,NEUTRAL,0.07,True,GHOST_TOWN_RISK,STRICT_3H_EXIT,1372.0
GECCI,highmatur,11,10280.0,1.0,-0.33,0,NEUTRAL,0.07,True,GHOST_TOWN_RISK,STRICT_3H_EXIT,1137.0
GECCH,highmatur,1,0.0,0.0,0.0,0,NEUTRAL,0.05,False,,NORMAL,1655.0
MFAO,highmatur,45,2810.0,0.78,0.08,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,12609.0
MFICL,highmatur,6,19873.0,1.0,0.6,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,3547.0
ADAMG,highmatur,105,1086.0,0.3,0.1,0,NEUTRAL,0.05,False,,NORMAL,16300.0
NEWTI,highmatur,1,0.0,0.0,0.0,0,NEUTRAL,0.05,False,,NORMAL,2976.0
NEWTG,highmatur,10,13410.0,1.0,0.33,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4880.0
NEWTH,highmatur,25,5432.0,1.0,-0.33,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,8607.0
OCCIM,highmatur,3,853.0,0.24,0.0,0,NEUTRAL,0.05,False,,NORMAL,2222.0
OXLCN,highmatur,10,11919.0,1.0,0.71,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,3231.0
OXLCL,highmatur,18,8744.0,1.0,0.93,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2814.0
OXLCI,highmatur,11,10217.0,1.0,0.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,8337.0
PDPA,highmatur,4,44258.0,1.0,-0.6,0,NEUTRAL,0.07,True,GHOST_TOWN_RISK,STRICT_3H_EXIT,1338.0
PMTU,highmatur,7,18116.0,1.0,-0.14,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2963.0
PMTV,highmatur,186,803.0,0.22,-0.21,0,NEUTRAL,0.05,False,,NORMAL,14320.0
METCZ,highmatur,33,3771.0,1.0,-0.44,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,6855.0
RWTN,highmatur,34,4922.0,1.0,0.29,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,7217.0
RWTO,highmatur,2,86545.0,1.0,1.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,6922.0
RWTP,highmatur,95,1583.0,0.44,0.16,0,NEUTRAL,0.05,False,,NORMAL,12480.0
RWAYL,highmatur,11,10774.0,1.0,0.29,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4308.0
RWAYZ,highmatur,8,26047.0,1.0,0.6,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4119.0
SAJ,highmatur,4,3025.0,0.84,-0.33,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4559.0
SAY,highmatur,26,7390.0,1.0,-0.12,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4371.0
SAZ,highmatur,97,1779.0,0.49,-0.16,0,NEUTRAL,0.05,False,,NORMAL,3886.0
SPMA,highmatur,8,17284.0,1.0,-0.25,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,6061.0
SWKHL,highmatur,14,14192.0,1.0,0.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2664.0
TRINI,highmatur,23,5704.0,1.0,-0.26,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,12246.0
TWOD,highmatur,16,7718.0,1.0,0.12,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,25329.0
WHFCL,highmatur,23,6420.0,1.0,-0.6,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2790.0
NMFCZ,highmatur,9,15373.0,1.0,0.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,10090.0
PRIF PRD,highmatur,2,38.0,0.01,-1.0,0,NEUTRAL,0.05,True,HEAVY_SELLING_OFI,NORMAL,2405.0
CUBB,notbesmaturlu,24,7806.0,1.0,-0.48,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,3007.0
EICA,notbesmaturlu,6,33146.0,1.0,0.33,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,3357.0
ECCC,notbesmaturlu,13,8105.0,1.0,0.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,5858.0
HTFB,notbesmaturlu,26,354.0,0.1,-0.33,0,NEUTRAL,0.05,False,,NORMAL,406.0
HTFC,notbesmaturlu,13,15426.0,1.0,-0.75,0,NEUTRAL,0.07,True,GHOST_TOWN_RISK,STRICT_3H_EXIT,1279.0
OCCIO,notbesmaturlu,1,0.0,0.0,0.0,0,NEUTRAL,0.05,False,,NORMAL,1429.0
OCCIN,notbesmaturlu,49,1766.0,0.49,-0.08,0,NEUTRAL,0.05,False,,NORMAL,2180.0
OXLCP,notbesmaturlu,9,3011.0,0.84,-0.14,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,5346.0
OXLCO,notbesmaturlu,4,34655.0,1.0,0.33,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,5160.0
OXLCZ,notbesmaturlu,5,26750.0,1.0,-1.0,0,NEUTRAL,0.07,True,HEAVY_SELLING_OFI,STRICT_3H_EXIT,5323.0
PRIF PRJ,notbesmaturlu,10,18302.0,1.0,0.75,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2603.0
PRIF PRL,notbesmaturlu,12,8219.0,1.0,0.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2479.0
SSSSL,notbesmaturlu,14,2631.0,0.73,0.75,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,8389.0
GAM PRB,notbesmaturlu,44,2986.0,0.83,0.45,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,7673.0
ACP PRA,notcefilliquid,83,1802.0,0.5,0.16,0,NEUTRAL,0.07,False,,NORMAL,4064.0
BCV PRA,notcefilliquid,6,26880.0,1.0,1.0,0,NEUTRAL,0.07,True,GHOST_TOWN_RISK,STRICT_3H_EXIT,1658.0
ECC PRD,notcefilliquid,56,2773.0,0.77,-0.25,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,14814.0
ECF PRA,notcefilliquid,1,0.0,0.0,0.0,0,NEUTRAL,0.05,False,,NORMAL,1551.0
ENJ,notcefilliquid,4,29212.0,1.0,0.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2448.0
ETI PR,notcefilliquid,22,13870.0,1.0,-0.33,0,NEUTRAL,0.07,True,GHOST_TOWN_RISK,STRICT_3H_EXIT,1674.0
AGM PRE,notcefilliquid,5,22573.0,1.0,0.14,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4965.0
GDV PRH,notcefilliquid,43,3037.0,0.84,0.53,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,3002.0
GDV PRK,notcefilliquid,47,4105.0,1.0,0.21,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,7186.0
GAB PRH,notcefilliquid,32,4870.0,1.0,0.24,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,8418.0
GAB PRG,notcefilliquid,17,5959.0,1.0,-0.08,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,3957.0
GAB PRK,notcefilliquid,31,5520.0,1.0,-0.19,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,6991.0
GGT PRE,notcefilliquid,4,49017.0,1.0,1.0,0,NEUTRAL,0.07,True,GHOST_TOWN_RISK,STRICT_3H_EXIT,1336.0
GGT PRG,notcefilliquid,10,12947.0,1.0,0.0,0,NEUTRAL,0.07,True,GHOST_TOWN_RISK,STRICT_3H_EXIT,1240.0
GUT PRC,notcefilliquid,26,5035.0,1.0,-0.11,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4093.0
GGN PRB,notcefilliquid,28,5706.0,1.0,0.66,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,5130.0
GNT PRA,notcefilliquid,1,0.0,0.0,0.0,0,NEUTRAL,0.05,False,,NORMAL,1130.0
OPP PRA,notcefilliquid,17,10350.0,1.0,0.2,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,5935.0
OPP PRB,notcefilliquid,5,43648.0,1.0,-0.33,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4035.0
NCV PRA,notcefilliquid,96,1771.0,0.49,-0.16,0,NEUTRAL,0.05,False,,NORMAL,3168.0
NCZ PRA,notcefilliquid,85,2705.0,0.75,0.35,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,6017.0
AGM PRD,notcefilliquid,94,1526.0,0.42,0.2,0,NEUTRAL,0.05,False,,NORMAL,6520.0
REXR PRB,notcefilliquid,67,1772.0,0.49,-0.05,0,NEUTRAL,0.05,True,GHOST_TOWN_RISK,NORMAL,1939.0
REXR PRC,notcefilliquid,69,1921.0,0.53,0.11,0,NEUTRAL,0.07,False,,NORMAL,2220.0
RIV PRA,notcefilliquid,12,9190.0,1.0,0.33,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,6302.0
MITT PRC,nottitrekhc,70,2125.0,0.59,0.32,0,NEUTRAL,0.07,False,,NORMAL,6038.0
ALTG PRA,nottitrekhc,13,7651.0,1.0,-0.2,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2047.0
CHMI PRB,nottitrekhc,17,7152.0,1.0,0.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2258.0
CMRE PRC,nottitrekhc,30,2395.0,0.67,0.0,0,NEUTRAL,0.07,False,,NORMAL,3121.0
CMRE PRD,nottitrekhc,81,1903.0,0.53,0.3,0,NEUTRAL,0.07,False,,NORMAL,2091.0
CMRE PRB,nottitrekhc,55,2528.0,0.7,0.38,0,NEUTRAL,0.07,True,GHOST_TOWN_RISK,STRICT_3H_EXIT,1342.0
DSX PRB,nottitrekhc,10,12283.0,1.0,0.25,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4908.0
INBKZ,nottitrekhc,6,1621.0,0.45,-0.56,0,NEUTRAL,0.05,False,,NORMAL,2017.0
FRMEP,nottitrekhc,1,0.0,0.0,0.0,0,NEUTRAL,0.05,False,,NORMAL,749.0
RWT PRA,nottitrekhc,16,6977.0,1.0,0.5,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,8196.0
SB PRD,nottitrekhc,11,10530.0,1.0,-0.11,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2674.0
TRTN PRA,nottitrekhc,10,11306.0,1.0,0.5,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,3964.0
XOMAO,nottitrekhc,17,6602.0,1.0,-0.11,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,7236.0
BANFP,nottitrekhc,7,16813.0,1.0,-0.2,0,NEUTRAL,0.07,True,GHOST_TOWN_RISK,STRICT_3H_EXIT,452.0
BWBBP,salakilliquid,3,8809.0,1.0,0.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,3123.0
CTO PRA,salakilliquid,4,11445.0,1.0,-0.33,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,3456.0
EFSCP,salakilliquid,45,2681.0,0.74,0.15,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2199.0
FGBIP,salakilliquid,30,4005.0,1.0,0.36,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,3052.0
GOODN,salakilliquid,39,2886.0,0.8,0.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4355.0
GOODO,salakilliquid,96,1093.0,0.3,0.04,0,NEUTRAL,0.05,False,,NORMAL,4116.0
LANDO,salakilliquid,170,216.0,0.06,0.2,0,NEUTRAL,0.05,False,,NORMAL,13424.0
LANDP,salakilliquid,134,998.0,0.28,0.09,0,NEUTRAL,0.05,False,,NORMAL,23393.0
GMRE PRA,salakilliquid,22,5329.0,1.0,-0.5,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,6096.0
GRBK PRA,salakilliquid,40,3592.0,1.0,0.03,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2434.0
HOVNP,salakilliquid,75,1676.0,0.47,-0.18,0,NEUTRAL,0.05,False,,NORMAL,8411.0
LBRDP,salakilliquid,182,106.0,0.03,0.2,0,NEUTRAL,0.05,False,,NORMAL,4232.0
LFT PRA,salakilliquid,7,17847.0,1.0,-0.23,0,NEUTRAL,0.07,True,GHOST_TOWN_RISK,STRICT_3H_EXIT,1666.0
MHNC,salakilliquid,9,15420.0,1.0,0.2,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,6479.0
MHLA,salakilliquid,5,23288.0,1.0,0.5,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,11816.0
MNSBP,salakilliquid,3,0.0,0.0,0.0,0,NEUTRAL,0.05,False,,NORMAL,1070.0
NHPAP,salakilliquid,17,6554.0,1.0,-0.14,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,6823.0
NHPBP,salakilliquid,27,6580.0,1.0,-0.1,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4041.0
NREF PRA,salakilliquid,25,3834.0,1.0,0.48,0,NEUTRAL,0.07,True,GHOST_TOWN_RISK,STRICT_3H_EXIT,1517.0
PRIF PRK,salakilliquid,10,14748.0,1.0,0.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2199.0
HFRO PRA,salakilliquid,23,6103.0,1.0,0.56,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,10270.0
ACR PRD,shitremhc,11,10483.0,1.0,0.5,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,4541.0
MITT PRA,shitremhc,4,48079.0,1.0,1.0,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,2622.0
MITT PRB,shitremhc,9,17559.0,1.0,0.38,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,5399.0
CHMI PRA,shitremhc,24,4807.0,1.0,0.08,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,3597.0
CIM PRA,shitremhc,28,4200.0,1.0,0.06,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,7322.0
CIO PRA,shitremhc,12,1654.0,0.46,0.33,0,NEUTRAL,0.05,False,,NORMAL,13668.0
FBRT PRE,shitremhc,115,1171.0,0.33,-0.1,0,NEUTRAL,0.05,False,,NORMAL,12306.0
MFA PRB,shitremhc,34,3508.0,0.97,0.08,0,NEUTRAL,0.07,False,,STRICT_3H_EXIT,17168.0
