symbol,total_qty,weighted_avg_cost,weighted_pff_fill,weighted_time_fill,last_updated
MS PRO,98,17.375,31.25,20.0,2026-03-28T15:09:43.171051
NCV PRA,47,20.72,31.25,20.0,2026-03-28T15:09:43.171051
NCZ PRA,75,20.065,31.25,20.0,2026-03-28T15:09:43.171051
NMFCZ,36,25.32,31.42,24.0,2026-03-28T15:09:43.171051
NSA PRA,100,22.45,31.25,20.0,2026-03-28T15:09:43.171051
NTRSO,0,18.9,30.76,15.5,2026-04-06T22:40:34.715262
OCCIN,60,24.58,31.28,25.0,2026-04-06T19:53:12.003262
OPP PRB,100,18.3553,31.25,20.0,2026-03-28T15:09:43.171051
OXLCL,104,23.765,31.5122,34.42,2026-04-08T20:01:18.049245
OXLCZ,6,24.38,31.6669,34.91,2026-03-28T15:09:43.171051
PBI PRB,-50,19.88,31.25,20.0,2026-03-28T15:09:43.171051
PEB PRE,100,19.8,31.25,20.0,2026-03-28T15:09:43.171051
PEB PRF,108,20.02,31.25,20.0,2026-03-28T15:09:43.171051
PEB PRG,123,19.95,31.25,20.0,2026-03-28T15:09:43.171051
PNFP PRA,-31,25.0415,31.25,20.0,2026-03-28T15:09:43.171051
PRIF PRK,-170,21.5,31.25,20.0,2026-03-28T15:09:43.171051
PSA PRF,380,20.09,31.25,20.0,2026-03-28T15:09:43.171051
PSA PRG,307,19.61,31.25,20.0,2026-03-28T15:09:43.171051
PSA PRI,18,19.03,31.25,20.0,2026-03-28T15:09:43.171051
PSA PRJ,-29,18.22,31.25,20.0,2026-03-28T15:09:43.171051
PSA PRK,123,18.46,31.25,20.0,2026-03-28T15:09:43.171051
PSA PRM,60,15.86,31.25,20.0,2026-03-28T15:09:43.171051
PSA PRN,9,14.79,31.25,20.0,2026-03-28T15:09:43.171051
PSA PRQ,395,15.19,31.25,20.0,2026-03-28T15:09:43.171051
PSA PRS,-123,15.68,31.25,20.0,2026-03-28T15:09:43.171051
